	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
Number of genes	18188	15130	14612	17701	17244	13936	15064	13161	13266
Number of genes in orthogroups	15764	13853	13189	15990	15444	13769	14923	12692	13209
Number of unassigned genes	2424	1277	1423	1711	1800	167	141	469	57
Percentage of genes in orthogroups	86.7	91.6	90.3	90.3	89.6	98.8	99.1	96.4	99.6
Percentage of unassigned genes	13.3	8.4	9.7	9.7	10.4	1.2	0.9	3.6	0.4
Number of orthogroups containing species	11668	11567	9841	11188	11137	10847	10997	10361	10752
Percentage of orthogroups containing species	83.2	82.5	70.2	79.8	79.4	77.3	78.4	73.9	76.7
Number of species-specific orthogroups	172	53	104	149	116	35	61	19	19
Number of genes in species-specific orthogroups	667	169	278	1072	424	115	457	63	56
Percentage of genes in species-specific orthogroups	3.7	1.1	1.9	6.1	2.5	0.8	3.0	0.5	0.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2359	2460	4186	2839	2890	3180	3030	3666	3275
'1	9673	9986	7904	9745	9044	9278	9261	8843	9209
'2	1368	1220	1365	926	1404	1057	1065	1179	1065
'3	319	217	335	207	331	275	347	209	272
'4	104	78	101	95	128	110	113	60	105
'5	55	20	46	50	65	37	75	24	50
'6	40	18	30	33	45	26	28	15	20
'7	21	11	19	22	22	12	21	6	16
'8	18	7	6	13	17	6	12	2	5
'9	12	3	4	11	12	7	6	6	3
'10	5	2	4	15	11	13	8	3	3
11-15	37	4	20	25	31	17	25	7	3
16-20	4	0	3	9	16	4	16	2	1
21-50	10	1	3	23	11	5	20	5	0
51-100	1	0	1	8	0	0	0	0	0
101-150	1	0	0	5	0	0	0	0	0
151-200	0	0	0	1	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0
