Orthogroup	Danaus_plexippus	Vanessa_tameamea
OG0000000	DPOGS204561-PA	XP_026490098.1
OG0000000	DPOGS208590-PA	XP_026493394.1
OG0000001	DPOGS205612-PA	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1
OG0000001	DPOGS206033-PA	XP_026485054.1
OG0000003	DPOGS213976-PA	XP_026493386.1, XP_026496911.1
OG0000004	DPOGS214685-PA	XP_026497789.1, XP_026497757.1, XP_026497758.1, XP_026497760.1, XP_026497755.1, XP_026497761.1, XP_026497765.1
OG0000007	DPOGS202008-PA	XP_026496812.1
OG0000007	DPOGS201926-PA	XP_026494722.1
OG0000007	DPOGS209071-PA	XP_026487005.1
OG0000007	DPOGS210283-PA	XP_026498823.1
OG0000007	DPOGS204060-PA, DPOGS204061-PA, DPOGS204071-PA	XP_026489575.1
OG0000007	DPOGS204062-PA	XP_026489574.1
OG0000007	DPOGS201332-PA	XP_026487630.1
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1
OG0000010	DPOGS213850-PA, DPOGS215023-PA	XP_026497515.1
OG0000011	DPOGS205480-PA	XP_026500011.1
OG0000011	DPOGS200223-PA	XP_026494591.1
OG0000011	DPOGS210883-PA	XP_026494592.1
OG0000011	DPOGS208006-PA	XP_026487937.1
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	XP_026487932.1
