Orthogroup	Heliconius_melpomene_melpomene	Junonia_coenia
OG0000000	HMEL037287g1.t1, HMEL036621g1.t1, HMEL031731g1.t1, HMEL031358g1.t1	JC_06702-RA
OG0000000	HMEL006377g1.t1, HMEL034894g1.t1, HMEL002383g1.t1	JC_09836-RA
OG0000000	HMEL003177g1.t1	JC_02930-RA
OG0000000	HMEL030479g1.t1	JC_06345-RA
OG0000000	HMEL035211g1.t1	JC_15003-RA
OG0000000	HMEL037994g1.t1, HMEL036590g1.t1, HMEL036561g1.t1, HMEL036024g1.t1, HMEL034790g1.t1, HMEL038003g1.t1, HMEL031475g1.t1, HMEL031699g1.t1	JC_15655-RA
OG0000001	HMEL035948g1.t1, HMEL036899g1.t1, HMEL036975g1.t1, HMEL031105g1.t1, HMEL016914g1.t1, HMEL036425g1.t1, HMEL033330g1.t1, HMEL036034g1.t1, HMEL035200g1.t1, HMEL036885g1.t1, HMEL032934g1.t1, HMEL032942g1.t1, HMEL033464g1.t1, HMEL033322g1.t1, HMEL030158g1.t1, HMEL032944g1.t1, HMEL035885g1.t1, HMEL031657g1.t1, HMEL035495g1.t1, HMEL031161g1.t1, HMEL034726g1.t1, HMEL035940g1.t1, HMEL037232g1.t1, HMEL030002g1.t1, HMEL038221g1.t1, HMEL017756g1.t1, HMEL035464g1.t1, HMEL005819g1.t1, HMEL034670g1.t1, HMEL035422g1.t1, HMEL014143g1.t1, HMEL009419g1.t1, HMEL035436g1.t1, HMEL030858g1.t1, HMEL014652g1.t1, HMEL033652g1.t1, HMEL030773g1.t1, HMEL036655g1.t1, HMEL030157g1.t1, HMEL034616g1.t1, HMEL036178g1.t1, HMEL033439g1.t1, HMEL030014g1.t1, HMEL031162g1.t1, HMEL030042g1.t1, HMEL012633g1.t1, HMEL036959g1.t1, HMEL034291g1.t1, HMEL036264g1.t1, HMEL035611g1.t1, HMEL037700g1.t1, HMEL036526g1.t1, HMEL034995g1.t1, HMEL030584g1.t1, HMEL030324g1.t1, HMEL036835g1.t1, HMEL036838g1.t1, HMEL030634g1.t1, HMEL031491g1.t1, HMEL033325g1.t1, HMEL035879g1.t1, HMEL002598g1.t1, HMEL005489g1.t1, HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1, HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1, HMEL036523g1.t1, HMEL036658g1.t1, HMEL033087g1.t1, HMEL037525g1.t1, HMEL035628g1.t1, HMEL031588g1.t1, HMEL033046g1.t1, HMEL036928g1.t1, HMEL031587g1.t1, HMEL032983g1.t1, HMEL036310g1.t1, HMEL034323g1.t1, HMEL030449g1.t1, HMEL030375g1.t1, HMEL032965g1.t1, HMEL031010g1.t1, HMEL036405g1.t1, HMEL036126g1.t1, HMEL033133g1.t1, HMEL038142g1.t1, HMEL035343g1.t1, HMEL034840g1.t1, HMEL033773g1.t1, HMEL032939g1.t1, HMEL032340g1.t1, HMEL034356g1.t1, HMEL036929g1.t1, HMEL030080g1.t1, HMEL033189g1.t1, HMEL035251g1.t1, HMEL035443g1.t1, HMEL031449g1.t1, HMEL034355g1.t1, HMEL036127g1.t1, HMEL033885g1.t1, HMEL036811g1.t1, HMEL030322g1.t1, HMEL036866g1.t1, HMEL035861g1.t1, HMEL033273g1.t1, HMEL032335g1.t1, HMEL033520g1.t1, HMEL031560g1.t1, HMEL034378g1.t1, HMEL035108g1.t1, HMEL013866g1.t1, HMEL034359g1.t1, HMEL034568g1.t1, HMEL035494g1.t1, HMEL035171g1.t1, HMEL032760g1.t1, HMEL006440g1.t1, HMEL030077g1.t1, HMEL037983g1.t1, HMEL035414g1.t1, HMEL034173g1.t1, HMEL035881g1.t1, HMEL035416g1.t1, HMEL033413g1.t1, HMEL030846g1.t1, HMEL032281g1.t1, HMEL033045g1.t1, HMEL037356g1.t1, HMEL033086g1.t1, HMEL033483g1.t1, HMEL031233g1.t1, HMEL037127g1.t1, HMEL035838g1.t1, HMEL034964g1.t1, HMEL033592g1.t1, HMEL036601g1.t1, HMEL036839g1.t1, HMEL036836g1.t1, HMEL032905g1.t1, HMEL035503g1.t1, HMEL032822g1.t1, HMEL034648g1.t1, HMEL034552g1.t1, HMEL034142g1.t1	JC_02051-RA
OG0000003	HMEL032743g1.t1, HMEL003905g1.t1, HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1	JC_11525-RA
OG0000004	HMEL022560-RA	JC_13607-RA
OG0000004	HMEL022644-RA	JC_13597-RA
