Orthogroup	Junonia_coenia	Pararge_aegeria
OG0000000	JC_15003-RA	XP_039749195.1
OG0000001	JC_02051-RA	XP_039755304.1
OG0000003	JC_11525-RA	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1
OG0000004	JC_13605-RA	XP_039758007.1
OG0000004	JC_13594-RA	XP_039765531.1
OG0000004	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA	XP_039765606.1
OG0000007	JC_08873-RA	XP_039749697.1
OG0000007	JC_01109-RA	XP_039761305.1
OG0000007	JC_01591-RA	XP_039754496.1
OG0000007	JC_14896-RA	XP_039760528.1
OG0000007	JC_14757-RA	XP_039760566.1
OG0000007	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA	XP_039764480.1, XP_039764478.1
OG0000009	JC_16098-RA	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1
OG0000009	JC_16100-RA, JC_14973-RA, JC_16099-RA	XP_039748430.1, XP_039748472.1
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000011	JC_11451-RA, JC_11450-RA	XP_039757162.1
OG0000011	JC_11394-RA	XP_039757108.1
OG0000011	JC_11395-RA	XP_039757385.1
OG0000011	JC_11383-RA	XP_039757384.1, XP_039757107.1, XP_039757124.1
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA	XP_039757277.1
OG0000012	JC_06279-RA	XP_039750455.1
OG0000016	JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	XP_039745450.1, XP_039759548.1, XP_039761445.1
OG0000017	JC_15131-RA	XP_039764358.1
OG0000017	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA	XP_039748749.1
OG0000018	JC_13020-RA	XP_039760351.1
OG0000018	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	XP_039752824.1
OG0000020	JC_14441-RA	XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1
OG0000021	JC_15264-RA	XP_039763920.1, XP_039746712.1, XP_039757893.1, XP_039754386.1, XP_039764088.1, XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1
OG0000021	JC_11735-RA	XP_039760392.1
OG0000021	JC_14788-RA	XP_039750867.1, XP_039749157.1, XP_039749098.1, XP_039751427.1, XP_039754626.1, XP_039765547.1, XP_039746166.1, XP_039764907.1, XP_039762383.1, XP_039761554.1, XP_039759837.1, XP_039762160.1, XP_039757159.1, XP_039756236.1, XP_039755859.1, XP_039749062.1, XP_039751697.1, XP_039747748.1, XP_039745313.1, XP_039751534.1, XP_039751398.1, XP_039751591.1, XP_039752615.1, XP_039753758.1, XP_039755644.1, XP_039755825.1, XP_039756555.1, XP_039758311.1, XP_039759241.1, XP_039745055.1, XP_039762908.1, XP_039762090.1, XP_039763847.1, XP_039763990.1, XP_039763899.1, XP_039761717.1, XP_039758093.1
OG0000022	JC_00074-RA	XP_039765727.1
OG0000022	JC_00072-RA	XP_039765296.1
OG0000022	JC_16481-RA	XP_039762875.1
OG0000022	JC_16435-RA	XP_039762709.1
OG0000022	JC_00073-RA	XP_039765728.1
OG0000022	JC_15640-RA	XP_039761167.1
OG0000022	JC_14598-RA	XP_039747684.1
OG0000022	JC_14595-RA	XP_039751415.1
OG0000022	JC_14602-RA	XP_039750917.1, XP_039752986.1
OG0000024	JC_07395-RA	XP_039763211.1, XP_039753156.1, XP_039763722.1
OG0000024	JC_07382-RA	XP_039753155.1
OG0000025	JC_16102-RA, JC_16101-RA	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1
OG0000026	JC_09420-RA	XP_039750797.1, XP_039761461.1, XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1
OG0000026	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA	XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1
OG0000028	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA	XP_039754209.1, XP_039752265.1
OG0000029	JC_11808-RA, JC_11809-RA, JC_11807-RA	XP_039751951.1
OG0000029	JC_00248-RA, JC_00251-RA	XP_039745529.1
OG0000029	JC_00252-RA, JC_00249-RA, JC_12809-RA	XP_039745528.1
OG0000029	JC_00247-RA	XP_039745420.1, XP_039745525.1
OG0000031	JC_07638-RA	XP_039753010.1
OG0000032	JC_08098-RA	XP_039763077.1, XP_039764294.1
OG0000032	JC_15112-RA	XP_039757087.1
OG0000034	JC_02761-RA	XP_039746294.1
OG0000034	JC_02341-RA	XP_039746103.1
OG0000034	JC_02354-RA	XP_039746398.1
OG0000034	JC_02348-RA, JC_02347-RA	XP_039746268.1
OG0000036	JC_14663-RA	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1
OG0000037	JC_15113-RA	XP_039754332.1
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	XP_039749533.1
OG0000039	JC_12161-RA, JC_12165-RA	XP_039752715.1
OG0000039	JC_12154-RA	XP_039752213.1, XP_039752212.1
OG0000040	JC_11683-RA	XP_039746162.1, XP_039764273.1, XP_039757383.1
OG0000040	JC_00269-RA	XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1
OG0000041	JC_09842-RA	XP_039759472.1
OG0000044	JC_06620-RA	XP_039762498.1, XP_039762486.1, XP_039762637.1
OG0000045	JC_06642-RA	XP_039750219.1, XP_039750218.1
OG0000045	JC_16748-RA	XP_039762676.1
OG0000045	JC_09127-RA	XP_039750023.1
OG0000045	JC_04431-RA	XP_039761923.1
OG0000045	JC_15568-RA, JC_15572-RA	XP_039760955.1
OG0000046	JC_05584-RA	XP_039755063.1
OG0000046	JC_05581-RA, JC_05583-RA	XP_039755067.1, XP_039755066.1
