Orthogroup	Bicyclus_anynana	Maniola_hyperantus
OG0000000	Bany_10989-RA, Bany_11431-RA	XP_034833605.1
OG0000000	Bany_18012-RA	XP_034832243.1
OG0000000	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA	XP_034839969.1
OG0000000	Bany_17433-RA, Bany_12973-RA	XP_034830096.1
OG0000000	Bany_12885-RA	XP_034837767.1
OG0000001	Bany_13515-RA	XP_034840840.1
OG0000001	Bany_07607-RA	XP_034838060.1
OG0000002	Bany_13333-RA, Bany_02352-RA	XP_034832765.1
OG0000004	Bany_02377-RA	XP_034826574.1
OG0000004	Bany_01306-RA	XP_034826575.1
OG0000004	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA	XP_034826589.1, XP_034825964.1
OG0000004	Bany_02376-RA	XP_034826572.1, XP_034825836.1
OG0000006	Bany_07769-RA, Bany_12743-RA	XP_034828886.1
OG0000007	Bany_12085-RA	XP_034829843.1
OG0000007	Bany_05169-RA	XP_034833027.1
OG0000007	Bany_17822-RA	XP_034837123.1, XP_034837198.1
OG0000007	Bany_18091-RA	XP_034837239.1, XP_034837071.1
OG0000007	Bany_18092-RA	XP_034837070.1
OG0000007	Bany_03694-RA	XP_034840218.1
OG0000007	Bany_12803-RA, Bany_12804-RA	XP_034838053.1
OG0000007	Bany_03693-RA	XP_034840808.1
OG0000009	Bany_06680-RA, Bany_06677-RA	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000010	Bany_03810-RA	XP_034837882.1
OG0000011	Bany_13339-RA	XP_034832805.1
OG0000011	Bany_13158-RA	XP_034832845.1
OG0000011	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000011	Bany_13052-RA	XP_034832960.1, XP_034833028.1
OG0000011	Bany_13051-RA	XP_034833030.1, XP_034833029.1
OG0000011	Bany_13053-RA	XP_034833025.1, XP_034832955.1
OG0000011	Bany_13055-RA	XP_034832953.1, XP_034832961.1
OG0000013	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA	XP_034833645.1
OG0000013	Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA	XP_034830827.1
OG0000013	Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA	XP_034839862.1
OG0000013	Bany_11488-RA	XP_034839913.1, XP_034830013.1
OG0000013	Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA	XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1
OG0000017	Bany_02945-RA	XP_034828788.1, XP_034832231.1
OG0000018	Bany_16974-RA	XP_034836233.1
OG0000018	Bany_04504-RA	XP_034839259.1, XP_034833257.1
OG0000019	Bany_12599-RA, Bany_12465-RA, Bany_00014-RA, Bany_12600-RA, Bany_16259-RA, Bany_16338-RA, Bany_16344-RA, Bany_16159-RA, Bany_06732-RA, Bany_12615-RA, Bany_12617-RA, Bany_12956-RA, Bany_12943-RA, Bany_12942-RA, Bany_14960-RA, Bany_16158-RA, Bany_16067-RA, Bany_16155-RA, Bany_16168-RA, Bany_16154-RA, Bany_16275-RA, Bany_12564-RA, Bany_12509-RA, Bany_12569-RA, Bany_12518-RA, Bany_12515-RA, Bany_12511-RA, Bany_16404-RA, Bany_16336-RA, Bany_12604-RA, Bany_16324-RA, Bany_12651-RA, Bany_12650-RA, Bany_12619-RA, Bany_12563-RA, Bany_16353-RA, Bany_17487-RA, Bany_16321-RA, Bany_16320-RA, Bany_02750-RA, Bany_08880-RA, Bany_16161-RA, Bany_16066-RA, Bany_08420-RA, Bany_17817-RA, Bany_16352-RA, Bany_16068-RA, Bany_12508-RA, Bany_12461-RA, Bany_16152-RA, Bany_16153-RA, Bany_16151-RA, Bany_12543-RA, Bany_12513-RA, Bany_12496-RA, Bany_12512-RA, Bany_12514-RA, Bany_12570-RA, Bany_12608-RA, Bany_13449-RA, Bany_12618-RA, Bany_12799-RA, Bany_16277-RA, Bany_16276-RA, Bany_12562-RA, Bany_08937-RA, Bany_15553-RA, Bany_11475-RA, Bany_16160-RA, Bany_09711-RA, Bany_12601-RA, Bany_12610-RA, Bany_12950-RA, Bany_12945-RA	XP_034824469.1
OG0000019	Bany_12595-RA	XP_034838037.1
OG0000020	Bany_12772-RA	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1
OG0000020	Bany_17011-RA	XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1
OG0000021	Bany_12775-RA	XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1
OG0000022	Bany_00839-RA	XP_034840993.1
OG0000022	Bany_16283-RA	XP_034839051.1
OG0000022	Bany_17573-RA	XP_034836910.1
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	XP_034826667.1
OG0000023	Bany_10369-RA, Bany_10129-RA	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1
OG0000024	Bany_07225-RA, Bany_07782-RA	XP_034831723.1
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000028	Bany_14270-RA, Bany_14337-RA	XP_034826918.1, XP_034826917.1
OG0000028	Bany_14336-RA	XP_034834764.1, XP_034834919.1, XP_034834728.1
OG0000028	Bany_14338-RA, Bany_14339-RA	XP_034834730.1, XP_034834731.1
OG0000028	Bany_07987-RA	XP_034830316.1
OG0000028	Bany_01182-RA	XP_034828236.1
OG0000029	Bany_01625-RA	XP_034827860.1
OG0000029	Bany_01626-RA	XP_034827780.1, XP_034827861.1, XP_034827854.1
OG0000029	Bany_00663-RA, Bany_00664-RA	XP_034841164.1
OG0000031	Bany_03256-RA	XP_034832420.1
OG0000032	Bany_00996-RA	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1
OG0000032	Bany_08618-RA, Bany_04078-RA, Bany_12187-RA, Bany_05278-RA	XP_034837854.1
OG0000032	Bany_08457-RA, Bany_05258-RA, Bany_05674-RA	XP_034832603.1
OG0000032	Bany_14909-RA, Bany_07405-RA	XP_034839638.1
OG0000032	Bany_12629-RA	XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1
OG0000034	Bany_05845-RA	XP_034825411.1
OG0000034	Bany_05846-RA, Bany_05861-RA	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	Bany_05253-RA	XP_034825541.1
OG0000034	Bany_05243-RA	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	Bany_05248-RA	XP_034825435.1
