Orthogroup	Pararge_aegeria	Danaus_plexippus
OG0000000	XP_039764486.1	DPOGS204561-PA
OG0000000	XP_039759598.1	DPOGS208590-PA
OG0000001	XP_039755304.1	DPOGS206033-PA
OG0000003	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1	DPOGS205613-PA, DPOGS211043-PA
OG0000003	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1	DPOGS208672-PA
OG0000004	XP_039757795.1, XP_039758007.1, XP_039765531.1, XP_039746222.1, XP_039746211.1, XP_039765606.1	DPOGS214685-PA
OG0000007	XP_039749697.1	DPOGS202008-PA
OG0000007	XP_039761305.1	DPOGS201926-PA
OG0000007	XP_039754496.1	DPOGS209071-PA
OG0000007	XP_039760528.1	DPOGS210283-PA
OG0000007	XP_039760566.1	DPOGS204071-PA
OG0000007	XP_039760400.1	DPOGS204062-PA
OG0000007	XP_039762034.1	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA
OG0000007	XP_039764480.1, XP_039764478.1	DPOGS201332-PA
OG0000009	XP_039748430.1, XP_039748472.1	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA
OG0000010	XP_039764126.1, XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1	DPOGS213850-PA, DPOGS215023-PA
OG0000011	XP_039757162.1	DPOGS205480-PA
OG0000011	XP_039757108.1	DPOGS200223-PA
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	DPOGS210883-PA
OG0000011	XP_039757277.1	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000012	XP_039750455.1	DPOGS208259-PA
OG0000013	XP_039764230.1, XP_039746104.1, XP_039746147.1	DPOGS211040-PA
OG0000016	XP_039761457.1, XP_039760429.1, XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1, XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1, XP_039745450.1, XP_039759548.1, XP_039761445.1, XP_039760421.1	DPOGS200806-PA
OG0000018	XP_039752797.1, XP_039760351.1, XP_039752787.1, XP_039752828.1, XP_039752810.1, XP_039752824.1	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1, XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1	DPOGS208960-PA
OG0000022	XP_039765727.1	DPOGS202417-PA
OG0000022	XP_039765296.1	DPOGS202402-PA
OG0000022	XP_039762875.1	DPOGS200512-PA
OG0000022	XP_039762709.1	DPOGS209862-PA
OG0000022	XP_039765728.1	DPOGS202403-PA
OG0000022	XP_039761167.1	DPOGS215440-PA
OG0000022	XP_039751415.1	DPOGS213388-PA
OG0000022	XP_039750917.1, XP_039752986.1	DPOGS213385-PA
OG0000024	XP_039763211.1, XP_039753156.1, XP_039763722.1, XP_039753155.1	DPOGS200042-PA
OG0000025	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1	DPOGS206751-PA, DPOGS206755-PA
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	XP_039756644.1, XP_039756364.1, XP_039756209.1, XP_039756129.1, XP_039756114.1, XP_039756115.1, XP_039754209.1, XP_039752265.1	DPOGS205336-PA
OG0000031	XP_039753010.1	DPOGS212301-PA
OG0000032	XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1, XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1, XP_039758874.1, XP_039764419.1, XP_039749234.1, XP_039763077.1, XP_039764294.1, XP_039757087.1	DPOGS200472-PA
OG0000034	XP_039746294.1	DPOGS205641-PA
OG0000034	XP_039746452.1	DPOGS205642-PA
OG0000034	XP_039746103.1	DPOGS202647-PA
OG0000034	XP_039746398.1	DPOGS202676-PA
OG0000034	XP_039746268.1	DPOGS202644-PA
