Orthogroup	Vanessa_cardui	Vanessa_tameamea
OG0000001	Vcard_DToL15240-RA	XP_026498239.1
OG0000001	Vcard_DToL03608-RA	XP_026498877.1, XP_026484140.1
OG0000002	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA	XP_026490714.1
OG0000002	Vcard_DToL02904-RA	XP_026483300.1
OG0000003	Vcard_DToL07346-RA, Vcard_DToL15598-RA	XP_026493386.1, XP_026496911.1
OG0000004	Vcard_DToL15634-RA, Vcard_DToL15635-RA	XP_026497789.1
OG0000004	Vcard_DToL15675-RA	XP_026497761.1
OG0000004	Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA	XP_026497765.1
OG0000006	Vcard_DToL12185-RA	XP_026499547.1
OG0000007	Vcard_DToL07313-RA	XP_026496812.1
OG0000007	Vcard_DToL00838-RA, Vcard_DToL00839-RA	XP_026487005.1
OG0000007	Vcard_DToL16046-RA	XP_026498823.1
OG0000009	Vcard_DToL17636-RA	XP_026490612.1
OG0000009	Vcard_DToL17635-RA	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA	XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1
OG0000009	Vcard_DToL17673-RA	XP_026490596.1
OG0000011	Vcard_DToL11283-RA	XP_026500011.1
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	XP_026494591.1
OG0000011	Vcard_DToL11230-RA	XP_026494592.1
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	XP_026500174.1
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA	XP_026486406.1
OG0000018	Vcard_DToL01560-RA	XP_026486403.1
OG0000018	Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA	XP_026486538.1
OG0000018	Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA	XP_026497909.1
OG0000020	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	XP_026499906.1, XP_026498149.1
OG0000021	Vcard_DToL14989-RA	XP_026499326.1, XP_026498522.1
OG0000021	Vcard_DToL15926-RA	XP_026500954.1
OG0000022	Vcard_DToL16722-RA	XP_026496869.1
OG0000023	Vcard_DToL04995-RA, Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA	XP_026492743.1
OG0000023	Vcard_DToL16418-RA, Vcard_DToL02679-RA, Vcard_DToL12373-RA, Vcard_DToL09824-RA	XP_026499323.1
OG0000023	Vcard_DToL09585-RA	XP_026497990.1, XP_026489171.1, XP_026489048.1
OG0000025	Vcard_DToL17639-RA	XP_026490605.1
OG0000025	Vcard_DToL17634-RA	XP_026490616.1
