Orthogroup	Junonia_coenia	Vanessa_cardui
OG0000003	JC_11525-RA	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA
OG0000004	JC_13607-RA	Vcard_DToL15634-RA, Vcard_DToL15635-RA
OG0000004	JC_13611-RA	Vcard_DToL15667-RA
OG0000004	JC_13594-RA	Vcard_DToL15629-RA
OG0000004	JC_13582-RA	Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA
OG0000006	JC_09745-RA	Vcard_DToL12185-RA, Vcard_DToL14984-RA, Vcard_DToL10389-RA
OG0000007	JC_08873-RA	Vcard_DToL07313-RA
OG0000007	JC_01591-RA	Vcard_DToL00839-RA
OG0000007	JC_14896-RA	Vcard_DToL16046-RA
OG0000009	JC_16098-RA	Vcard_DToL17636-RA
OG0000009	JC_16100-RA, JC_14973-RA, JC_16099-RA	Vcard_DToL17635-RA
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA	Vcard_DToL17681-RA, Vcard_DToL17679-RA
OG0000009	JC_16044-RA	Vcard_DToL17673-RA
OG0000011	JC_11451-RA, JC_11450-RA	Vcard_DToL11283-RA
OG0000011	JC_11394-RA	Vcard_DToL11246-RA, Vcard_DToL11242-RA
OG0000011	JC_11383-RA	Vcard_DToL11231-RA
OG0000012	JC_06297-RA	Vcard_DToL10647-RA
OG0000012	JC_06291-RA	Vcard_DToL10669-RA
OG0000012	JC_06281-RA	Vcard_DToL10661-RA
OG0000016	JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	Vcard_DToL05496-RA
