Orthogroup	Vanessa_tameamea	Vanessa_cardui
OG0000001	XP_026498239.1	Vcard_DToL15240-RA
OG0000001	XP_026498877.1, XP_026484140.1	Vcard_DToL03608-RA
OG0000002	XP_026490714.1	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA
OG0000002	XP_026483300.1	Vcard_DToL02904-RA
OG0000003	XP_026493386.1, XP_026496911.1	Vcard_DToL07346-RA, Vcard_DToL15598-RA
OG0000004	XP_026497789.1	Vcard_DToL15634-RA, Vcard_DToL15635-RA
OG0000004	XP_026497761.1	Vcard_DToL15675-RA
OG0000004	XP_026497765.1	Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA
OG0000006	XP_026499547.1	Vcard_DToL12185-RA
OG0000007	XP_026496812.1	Vcard_DToL07313-RA
OG0000007	XP_026487005.1	Vcard_DToL00838-RA, Vcard_DToL00839-RA
OG0000007	XP_026498823.1	Vcard_DToL16046-RA
OG0000009	XP_026490612.1	Vcard_DToL17636-RA
OG0000009	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1	Vcard_DToL17635-RA
OG0000009	XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1	Vcard_DToL17681-RA, Vcard_DToL17679-RA
OG0000009	XP_026490596.1	Vcard_DToL17673-RA
OG0000011	XP_026500011.1	Vcard_DToL11283-RA
OG0000011	XP_026494591.1	Vcard_DToL11246-RA, Vcard_DToL11242-RA
OG0000011	XP_026494592.1	Vcard_DToL11230-RA
OG0000018	XP_026500174.1	Vcard_DToL15155-RA, Vcard_DToL15154-RA
OG0000018	XP_026486406.1	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA
OG0000018	XP_026486403.1	Vcard_DToL01560-RA
OG0000018	XP_026486538.1	Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA
OG0000018	XP_026497909.1	Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA
