Orthogroup	Danaus_plexippus	Pararge_aegeria
OG0000000	DPOGS204561-PA	XP_039764486.1
OG0000000	DPOGS208590-PA	XP_039759598.1
OG0000001	DPOGS206033-PA	XP_039755304.1
OG0000003	DPOGS205613-PA, DPOGS211043-PA	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1
OG0000003	DPOGS208672-PA	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1
OG0000004	DPOGS214685-PA	XP_039757795.1, XP_039758007.1, XP_039765531.1, XP_039746222.1, XP_039746211.1, XP_039765606.1
OG0000007	DPOGS202008-PA	XP_039749697.1
OG0000007	DPOGS201926-PA	XP_039761305.1
OG0000007	DPOGS209071-PA	XP_039754496.1
OG0000007	DPOGS210283-PA	XP_039760528.1
OG0000007	DPOGS204071-PA	XP_039760566.1
OG0000007	DPOGS204062-PA	XP_039760400.1
OG0000007	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA	XP_039762034.1
OG0000007	DPOGS201332-PA	XP_039764480.1, XP_039764478.1
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	XP_039748430.1, XP_039748472.1
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000010	DPOGS213850-PA, DPOGS215023-PA	XP_039764126.1, XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1
OG0000011	DPOGS205480-PA	XP_039757162.1
OG0000011	DPOGS200223-PA	XP_039757108.1
OG0000011	DPOGS210883-PA	XP_039757384.1, XP_039757107.1, XP_039757124.1
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	XP_039757277.1
OG0000012	DPOGS208259-PA	XP_039750455.1
OG0000013	DPOGS211040-PA	XP_039764230.1, XP_039746104.1, XP_039746147.1
