Orthogroup	Bicyclus_anynana	Heliconius_erato_lativitta
OG0000000	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA	HEL_012692-RA
OG0000002	Bany_05116-RA, Bany_03179-RA, Bany_13153-RA, Bany_05863-RA, Bany_08981-RA	HEL_005892-RA
OG0000002	Bany_04889-RA	HEL_009732-RA
OG0000002	Bany_12916-RA	HEL_002913-RA
OG0000002	Bany_13903-RA, Bany_08398-RA	HEL_006847-RA, HEL_000682-RA, HEL_008606-RA, HEL_009708-RA, HEL_000256-RA, HEL_006734-RA
OG0000002	Bany_07688-RA	HEL_005603-RA
OG0000002	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA	HEL_005215-RA, HEL_000681-RA, HEL_006991-RA, HEL_003218-RA, HEL_006733-RA
OG0000002	Bany_13333-RA, Bany_02352-RA	HEL_008500-RA, HEL_007729-RA, HEL_000120-RA, HEL_002268-RA, HEL_011538-RA, HEL_003028-RA
OG0000004	Bany_01306-RA	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA
OG0000004	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA
OG0000007	Bany_12085-RA	HEL_006143-RA
OG0000007	Bany_04365-RA	HEL_012397-RA
OG0000007	Bany_17822-RA	HEL_013500-RA
OG0000007	Bany_18091-RA	HEL_009509-RA
OG0000007	Bany_03694-RA, Bany_12803-RA, Bany_12804-RA	HEL_002389-RA
OG0000007	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA	HEL_013093-RA
OG0000007	Bany_03693-RA, Bany_03690-RA	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA
OG0000007	Bany_17911-RA	HEL_009310-RA
OG0000009	Bany_06680-RA, Bany_06677-RA	HEL_011324-RA
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA
OG0000009	Bany_06679-RA	HEL_011320-RA
OG0000009	Bany_06751-RA, Bany_06753-RA	HEL_011376-RA
OG0000011	Bany_13339-RA	HEL_008992-RA
OG0000011	Bany_13176-RA	HEL_011236-RA
OG0000011	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	HEL_011238-RA
OG0000011	Bany_13052-RA	HEL_008930-RA, HEL_008933-RA
OG0000011	Bany_13051-RA	HEL_008932-RA
OG0000011	Bany_05712-RA, Bany_13053-RA	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA
OG0000011	Bany_13055-RA	HEL_008927-RA
OG0000012	Bany_10581-RA	HEL_011034-RA
OG0000012	Bany_10588-RA	HEL_011035-RA
OG0000012	Bany_10591-RA	HEL_011036-RA
OG0000012	Bany_10596-RA	HEL_011043-RA
OG0000012	Bany_10593-RA	HEL_011037-RA, HEL_011038-RA, HEL_011042-RA
OG0000012	Bany_10592-RA	HEL_011040-RA
OG0000012	Bany_10615-RA	HEL_011049-RA
