Orthogroup	Danaus_plexippus	Vanessa_cardui
OG0000001	DPOGS205612-PA	Vcard_DToL18102-RA, Vcard_DToL15240-RA, Vcard_DToL03608-RA
OG0000003	DPOGS213976-PA	Vcard_DToL07346-RA, Vcard_DToL15598-RA
OG0000003	DPOGS205613-PA, DPOGS211043-PA, DPOGS208672-PA	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA
OG0000004	DPOGS214685-PA	Vcard_DToL15634-RA, Vcard_DToL15635-RA, Vcard_DToL15667-RA, Vcard_DToL15629-RA, Vcard_DToL15675-RA, Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA
OG0000007	DPOGS202008-PA	Vcard_DToL07313-RA
OG0000007	DPOGS209071-PA	Vcard_DToL00839-RA
OG0000007	DPOGS210283-PA	Vcard_DToL16046-RA
OG0000008	DPOGS210936-PA	Vcard_DToL17096-RA
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	Vcard_DToL17635-RA
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA
OG0000011	DPOGS205480-PA	Vcard_DToL11283-RA
OG0000011	DPOGS200223-PA	Vcard_DToL11246-RA, Vcard_DToL11242-RA
OG0000011	DPOGS210883-PA	Vcard_DToL11230-RA, Vcard_DToL11231-RA
OG0000012	DPOGS208243-PA, DPOGS208244-PA	Vcard_DToL10647-RA
OG0000012	DPOGS208249-PA	Vcard_DToL10656-RA
OG0000012	DPOGS208283-PA	Vcard_DToL10669-RA
OG0000013	DPOGS211040-PA	Vcard_DToL17989-RA, Vcard_DToL07085-RA, Vcard_DToL16772-RA
OG0000016	DPOGS200806-PA	Vcard_DToL05496-RA
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	Vcard_DToL15155-RA, Vcard_DToL15154-RA, Vcard_DToL00987-RA, Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA, Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA
OG0000020	DPOGS208960-PA	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA
OG0000022	DPOGS213385-PA	Vcard_DToL16722-RA
OG0000024	DPOGS200042-PA	Vcard_DToL09638-RA, Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA, Vcard_DToL09635-RA, Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	Vcard_DToL17639-RA, Vcard_DToL17634-RA
OG0000028	DPOGS205336-PA	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA, Vcard_DToL18861-RA
OG0000031	DPOGS212301-PA	Vcard_DToL09360-RA
OG0000031	DPOGS211828-PA	Vcard_DToL09361-RA
OG0000034	DPOGS205642-PA	Vcard_DToL03971-RA
OG0000034	DPOGS205643-PA	Vcard_DToL03973-RA
OG0000034	DPOGS202676-PA	Vcard_DToL03370-RA
OG0000034	DPOGS202644-PA	Vcard_DToL03379-RA
OG0000035	DPOGS204320-PA, DPOGS215450-PA	Vcard_DToL15716-RA
OG0000035	DPOGS209410-PA	Vcard_DToL18302-RA
OG0000038	DPOGS214966-PA	Vcard_DToL16692-RA, Vcard_DToL16690-RA
OG0000039	DPOGS201794-PA, DPOGS201792-PA	Vcard_DToL07681-RA, Vcard_DToL07680-RA
OG0000041	DPOGS210496-PA	Vcard_DToL13154-RA
OG0000045	DPOGS210702-PA, DPOGS210700-PA	Vcard_DToL10351-RA
OG0000045	DPOGS210663-PA	Vcard_DToL18745-RA
OG0000045	DPOGS210250-PA	Vcard_DToL07613-RA
OG0000045	DPOGS212775-PA	Vcard_DToL07709-RA
OG0000045	DPOGS213925-PA, DPOGS213901-PA	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA
OG0000046	DPOGS209145-PA	Vcard_DToL03287-RA
OG0000046	DPOGS209146-PA	Vcard_DToL03286-RA
OG0000049	DPOGS201061-PA	Vcard_DToL06466-RA, Vcard_DToL06446-RA, Vcard_DToL06452-RA, Vcard_DToL06451-RA
OG0000050	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA	Vcard_DToL13078-RA
