Orthogroup	Junonia_coenia	Vanessa_tameamea
OG0000000	JC_14731-RA	XP_026484840.1
OG0000001	JC_02051-RA	XP_026485054.1
OG0000004	JC_13607-RA	XP_026497789.1
OG0000004	JC_13597-RA	XP_026497757.1, XP_026497758.1
OG0000004	JC_13589-RA, JC_13591-RA	XP_026497760.1
OG0000004	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA	XP_026497755.1
OG0000004	JC_13582-RA	XP_026497765.1
OG0000006	JC_09745-RA	XP_026499547.1, XP_026484138.1
OG0000007	JC_08873-RA	XP_026496812.1
OG0000007	JC_01109-RA	XP_026494722.1
OG0000007	JC_01591-RA	XP_026487005.1
OG0000007	JC_14896-RA	XP_026498823.1
OG0000007	JC_14757-RA	XP_026489575.1
OG0000007	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA	XP_026487630.1
OG0000009	JC_16098-RA	XP_026490612.1
OG0000009	JC_16100-RA	XP_026490614.1
OG0000009	JC_14973-RA	XP_026490617.1, XP_026490618.1
OG0000009	JC_16099-RA	XP_026490613.1
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA	XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1
OG0000009	JC_16044-RA	XP_026490596.1
OG0000010	JC_15129-RA, JC_17221-RA, JC_15688-RA	XP_026497515.1
OG0000011	JC_11451-RA, JC_11450-RA	XP_026500011.1
OG0000011	JC_11394-RA	XP_026494591.1
OG0000011	JC_11395-RA	XP_026494618.1
OG0000011	JC_11508-RA, JC_11506-RA, JC_11505-RA	XP_026487937.1
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA	XP_026487932.1
OG0000013	JC_03051-RA, JC_03952-RA	XP_026485615.1
OG0000016	JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA	XP_026487868.1
OG0000018	JC_13020-RA	XP_026500174.1
OG0000018	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA	XP_026486406.1
OG0000018	JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA	XP_026486403.1
OG0000018	JC_01162-RA	XP_026501049.1
OG0000018	JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	XP_026486538.1, XP_026497909.1
OG0000020	JC_14441-RA, JC_12860-RA, JC_08804-RA, JC_15272-RA	XP_026499906.1, XP_026498149.1
OG0000021	JC_15264-RA	XP_026499326.1, XP_026498522.1
OG0000021	JC_14438-RA, JC_16725-RA	XP_026500954.1
OG0000022	JC_00074-RA	XP_026484827.1
OG0000022	JC_00072-RA	XP_026484834.1
OG0000022	JC_16481-RA	XP_026486487.1
OG0000022	JC_16435-RA	XP_026483171.1
OG0000022	JC_00073-RA	XP_026484818.1
OG0000022	JC_15640-RA	XP_026486002.1
OG0000022	JC_14595-RA	XP_026489859.1
OG0000022	JC_14602-RA	XP_026496869.1
OG0000025	JC_16102-RA, JC_16101-RA	XP_026490616.1
OG0000026	JC_09420-RA, JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA	XP_026499909.1, XP_026483831.1, XP_026499747.1
OG0000028	JC_16613-RA	XP_026495729.1
OG0000028	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA	XP_026495795.1
OG0000028	JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA	XP_026498861.1
OG0000029	JC_11804-RA	XP_026490764.1
OG0000029	JC_11805-RA	XP_026490766.1
OG0000029	JC_00248-RA, JC_00251-RA	XP_026485191.1, XP_026485189.1
OG0000029	JC_00252-RA, JC_00249-RA, JC_12809-RA	XP_026485194.1, XP_026485192.1
OG0000031	JC_07638-RA	XP_026499704.1, XP_026499703.1
