Orthogroup	Bicyclus_anynana	Pararge_aegeria
OG0000000	Bany_10989-RA, Bany_11431-RA	XP_039751997.1
OG0000000	Bany_13444-RA, Bany_02521-RA	XP_039764486.1
OG0000000	Bany_02142-RA, Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA, Bany_12351-RA, Bany_13990-RA, Bany_17561-RA, Bany_07205-RA	XP_039749195.1
OG0000000	Bany_08916-RA	XP_039759598.1
OG0000001	Bany_07607-RA	XP_039755304.1
OG0000002	Bany_05116-RA, Bany_03179-RA	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1
OG0000002	Bany_13153-RA, Bany_05863-RA, Bany_08981-RA	XP_039763478.1, XP_039764272.1
OG0000002	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA	XP_039749643.1, XP_039755482.1, XP_039756937.1
OG0000002	Bany_13333-RA, Bany_02352-RA	XP_039763065.1, XP_039747912.1
OG0000002	Bany_06561-RA	XP_039753711.1
OG0000002	Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA	XP_039761423.1, XP_039761888.1, XP_039760354.1
OG0000003	Bany_16601-RA	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1
OG0000004	Bany_02377-RA	XP_039757795.1
OG0000004	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA	XP_039758007.1
OG0000004	Bany_02376-RA	XP_039746222.1, XP_039746211.1
OG0000005	Bany_02782-RA, Bany_16371-RA, Bany_04515-RA, Bany_13174-RA	XP_039757157.1
OG0000007	Bany_12085-RA	XP_039749697.1
OG0000007	Bany_05169-RA	XP_039761305.1
OG0000007	Bany_04365-RA	XP_039754496.1
OG0000007	Bany_17822-RA	XP_039760528.1
OG0000007	Bany_18092-RA	XP_039760566.1
OG0000007	Bany_12803-RA, Bany_12804-RA	XP_039762034.1
OG0000007	Bany_03693-RA	XP_039764480.1
OG0000007	Bany_03690-RA	XP_039764478.1
OG0000009	Bany_06680-RA, Bany_06677-RA	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000010	Bany_03810-RA	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1
OG0000011	Bany_13339-RA	XP_039757162.1
OG0000011	Bany_13158-RA	XP_039757385.1
OG0000011	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	XP_039757384.1, XP_039757107.1, XP_039757124.1
OG0000011	Bany_13052-RA	XP_039757274.1
OG0000011	Bany_13053-RA	XP_039757277.1
OG0000011	Bany_13055-RA	XP_039757275.1
OG0000012	Bany_10610-RA	XP_039750455.1
OG0000017	Bany_02945-RA	XP_039764358.1
OG0000017	Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA	XP_039748749.1
OG0000018	Bany_16974-RA	XP_039760351.1
OG0000018	Bany_04504-RA	XP_039752828.1, XP_039752810.1, XP_039752824.1
