Orthogroup	Vanessa_cardui	Danaus_plexippus
OG0000001	Vcard_DToL18102-RA, Vcard_DToL15240-RA, Vcard_DToL03608-RA	DPOGS205612-PA
OG0000003	Vcard_DToL07346-RA, Vcard_DToL15598-RA	DPOGS213976-PA
OG0000003	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA	DPOGS205613-PA, DPOGS211043-PA, DPOGS208672-PA
OG0000004	Vcard_DToL15634-RA, Vcard_DToL15635-RA, Vcard_DToL15667-RA, Vcard_DToL15629-RA, Vcard_DToL15675-RA, Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA	DPOGS214685-PA
OG0000007	Vcard_DToL07313-RA	DPOGS202008-PA
OG0000007	Vcard_DToL00839-RA	DPOGS209071-PA
OG0000007	Vcard_DToL16046-RA	DPOGS210283-PA
OG0000008	Vcard_DToL17096-RA	DPOGS210936-PA
OG0000009	Vcard_DToL17635-RA	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA
OG0000011	Vcard_DToL11283-RA	DPOGS205480-PA
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	DPOGS200223-PA
OG0000011	Vcard_DToL11230-RA, Vcard_DToL11231-RA	DPOGS210883-PA
OG0000012	Vcard_DToL10647-RA	DPOGS208243-PA, DPOGS208244-PA
OG0000012	Vcard_DToL10656-RA	DPOGS208249-PA
OG0000012	Vcard_DToL10669-RA	DPOGS208283-PA
OG0000013	Vcard_DToL17989-RA, Vcard_DToL07085-RA, Vcard_DToL16772-RA	DPOGS211040-PA
OG0000016	Vcard_DToL05496-RA	DPOGS200806-PA
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA, Vcard_DToL00987-RA, Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA, Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	DPOGS208960-PA
OG0000022	Vcard_DToL16722-RA	DPOGS213385-PA
OG0000024	Vcard_DToL09638-RA, Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA, Vcard_DToL09635-RA, Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA	DPOGS200042-PA
OG0000025	Vcard_DToL17639-RA, Vcard_DToL17634-RA	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA, Vcard_DToL18861-RA	DPOGS205336-PA
OG0000031	Vcard_DToL09360-RA	DPOGS212301-PA
OG0000031	Vcard_DToL09361-RA	DPOGS211828-PA
OG0000034	Vcard_DToL03971-RA	DPOGS205642-PA
OG0000034	Vcard_DToL03973-RA	DPOGS205643-PA
OG0000034	Vcard_DToL03370-RA	DPOGS202676-PA
OG0000034	Vcard_DToL03379-RA	DPOGS202644-PA
OG0000035	Vcard_DToL15716-RA	DPOGS204320-PA, DPOGS215450-PA
OG0000035	Vcard_DToL18302-RA	DPOGS209410-PA
OG0000038	Vcard_DToL16692-RA, Vcard_DToL16690-RA	DPOGS214966-PA
OG0000039	Vcard_DToL07681-RA, Vcard_DToL07680-RA	DPOGS201794-PA, DPOGS201792-PA
OG0000041	Vcard_DToL13154-RA	DPOGS210496-PA
OG0000045	Vcard_DToL10351-RA	DPOGS210702-PA, DPOGS210700-PA
OG0000045	Vcard_DToL18745-RA	DPOGS210663-PA
OG0000045	Vcard_DToL07613-RA	DPOGS210250-PA
OG0000045	Vcard_DToL07709-RA	DPOGS212775-PA
OG0000045	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA	DPOGS213925-PA, DPOGS213901-PA
OG0000046	Vcard_DToL03287-RA	DPOGS209145-PA
OG0000046	Vcard_DToL03286-RA	DPOGS209146-PA
OG0000049	Vcard_DToL06466-RA, Vcard_DToL06446-RA, Vcard_DToL06452-RA, Vcard_DToL06451-RA	DPOGS201061-PA
OG0000050	Vcard_DToL13078-RA	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000052	Vcard_DToL12448-RA, Vcard_DToL12449-RA	DPOGS210331-PA
OG0000053	Vcard_DToL01328-RA	DPOGS201540-PA
OG0000053	Vcard_DToL01334-RA	DPOGS201420-PA
OG0000053	Vcard_DToL01331-RA	DPOGS201419-PA
OG0000053	Vcard_DToL01333-RA	DPOGS201422-PA
OG0000053	Vcard_DToL01332-RA	DPOGS201421-PA
OG0000053	Vcard_DToL01335-RA	DPOGS201423-PA
OG0000054	Vcard_DToL09709-RA	DPOGS201193-PA
OG0000054	Vcard_DToL09712-RA	DPOGS201191-PA, DPOGS201192-PA, DPOGS201177-PA
OG0000054	Vcard_DToL09711-RA	DPOGS201176-PA, DPOGS201175-PA
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA
OG0000055	Vcard_DToL18025-RA	DPOGS213967-PA
OG0000056	Vcard_DToL16041-RA	DPOGS210281-PA
OG0000056	Vcard_DToL16040-RA	DPOGS206182-PA
OG0000057	Vcard_DToL13794-RA	DPOGS209909-PA
OG0000057	Vcard_DToL13796-RA	DPOGS209884-PA
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	DPOGS209997-PA, DPOGS209996-PA, DPOGS209998-PA
OG0000058	Vcard_DToL02890-RA	DPOGS215426-PA
OG0000058	Vcard_DToL07050-RA, Vcard_DToL15938-RA	DPOGS213962-PA
OG0000061	Vcard_DToL04117-RA	DPOGS201160-PA
OG0000062	Vcard_DToL05449-RA	DPOGS202468-PA, DPOGS202469-PA
OG0000062	Vcard_DToL17485-RA	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA
OG0000062	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA	DPOGS207201-PA
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	DPOGS201994-PA
OG0000063	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	DPOGS201995-PA
OG0000063	Vcard_DToL09866-RA	DPOGS205397-PA
OG0000063	Vcard_DToL07425-RA	DPOGS208887-PA
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	DPOGS210132-PA
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	DPOGS204359-PA
OG0000067	Vcard_DToL15558-RA	DPOGS204361-PA, DPOGS204360-PA
OG0000068	Vcard_DToL16340-RA, Vcard_DToL16337-RA	DPOGS213409-PA, DPOGS212680-PA
OG0000069	Vcard_DToL07820-RA, Vcard_DToL07819-RA, Vcard_DToL07818-RA	DPOGS206989-PA
OG0000071	Vcard_DToL11272-RA	DPOGS205454-PA
OG0000071	Vcard_DToL15245-RA	DPOGS200879-PA
OG0000073	Vcard_DToL06863-RA	DPOGS205799-PA
OG0000073	Vcard_DToL06621-RA	DPOGS208534-PA
OG0000073	Vcard_DToL06614-RA	DPOGS213705-PA
OG0000075	Vcard_DToL04138-RA	DPOGS201167-PA
OG0000075	Vcard_DToL04124-RA	DPOGS201162-PA
OG0000075	Vcard_DToL04270-RA	DPOGS209261-PA
OG0000076	Vcard_DToL18781-RA	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	DPOGS207021-PA
OG0000082	Vcard_DToL17276-RA	DPOGS211069-PA
OG0000082	Vcard_DToL17266-RA	DPOGS203867-PA
OG0000084	Vcard_DToL07564-RA	DPOGS200123-PA
OG0000085	Vcard_DToL03094-RA, Vcard_DToL03096-RA, Vcard_DToL03095-RA	DPOGS215579-PA
OG0000088	Vcard_DToL06950-RA	DPOGS202810-PA
OG0000088	Vcard_DToL06952-RA	DPOGS202814-PA
OG0000089	Vcard_DToL17977-RA	DPOGS205237-PA
OG0000089	Vcard_DToL04008-RA, Vcard_DToL18811-RA, Vcard_DToL12624-RA, Vcard_DToL09485-RA, Vcard_DToL06496-RA, Vcard_DToL06859-RA, Vcard_DToL06310-RA, Vcard_DToL08080-RA, Vcard_DToL12125-RA, Vcard_DToL09462-RA, Vcard_DToL15284-RA, Vcard_DToL15224-RA, Vcard_DToL17560-RA, Vcard_DToL08537-RA, Vcard_DToL01821-RA	DPOGS215500-PA, DPOGS204954-PA
OG0000090	Vcard_DToL04847-RA	DPOGS210053-PA, DPOGS210052-PA
OG0000092	Vcard_DToL04259-RA	DPOGS209254-PA
OG0000092	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA, DPOGS209259-PA, DPOGS209253-PA, DPOGS209252-PA
