Orthogroup	Pararge_aegeria	Bicyclus_anynana
OG0000000	XP_039751997.1	Bany_10989-RA, Bany_11431-RA
OG0000000	XP_039764486.1	Bany_13444-RA, Bany_02521-RA
OG0000000	XP_039749195.1	Bany_02142-RA, Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA, Bany_12351-RA, Bany_13990-RA, Bany_17561-RA, Bany_07205-RA
OG0000000	XP_039759598.1	Bany_08916-RA
OG0000001	XP_039755304.1	Bany_07607-RA
OG0000002	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1	Bany_05116-RA, Bany_03179-RA
OG0000002	XP_039763478.1, XP_039764272.1	Bany_13153-RA, Bany_05863-RA, Bany_08981-RA
OG0000002	XP_039749643.1, XP_039755482.1, XP_039756937.1	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA
OG0000002	XP_039763065.1, XP_039747912.1	Bany_13333-RA, Bany_02352-RA
OG0000002	XP_039753711.1	Bany_06561-RA
OG0000002	XP_039761423.1, XP_039761888.1, XP_039760354.1	Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA
OG0000003	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1	Bany_16601-RA
OG0000004	XP_039757795.1	Bany_02377-RA
OG0000004	XP_039758007.1	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA
OG0000004	XP_039746222.1, XP_039746211.1	Bany_02376-RA
OG0000005	XP_039757157.1	Bany_02782-RA, Bany_16371-RA, Bany_04515-RA, Bany_13174-RA
OG0000007	XP_039749697.1	Bany_12085-RA
OG0000007	XP_039761305.1	Bany_05169-RA
OG0000007	XP_039754496.1	Bany_04365-RA
OG0000007	XP_039760528.1	Bany_17822-RA
OG0000007	XP_039760566.1	Bany_18092-RA
OG0000007	XP_039762034.1	Bany_12803-RA, Bany_12804-RA
OG0000007	XP_039764480.1	Bany_03693-RA
OG0000007	XP_039764478.1	Bany_03690-RA
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	Bany_06680-RA, Bany_06677-RA
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA
OG0000010	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1	Bany_03810-RA
OG0000011	XP_039757162.1	Bany_13339-RA
OG0000011	XP_039757385.1	Bany_13158-RA
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA
OG0000011	XP_039757274.1	Bany_13052-RA
OG0000011	XP_039757277.1	Bany_13053-RA
OG0000011	XP_039757275.1	Bany_13055-RA
OG0000012	XP_039750455.1	Bany_10610-RA
OG0000017	XP_039764358.1	Bany_02945-RA
OG0000017	XP_039748749.1	Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA
OG0000018	XP_039760351.1	Bany_16974-RA
OG0000018	XP_039752828.1, XP_039752810.1, XP_039752824.1	Bany_04504-RA
OG0000019	XP_039762413.1	Bany_12599-RA, Bany_12465-RA, Bany_00014-RA, Bany_12600-RA, Bany_16259-RA, Bany_16338-RA, Bany_16344-RA, Bany_16159-RA, Bany_06732-RA, Bany_12615-RA, Bany_12617-RA, Bany_12956-RA, Bany_12943-RA, Bany_12942-RA, Bany_14960-RA, Bany_16158-RA, Bany_16067-RA, Bany_16155-RA, Bany_16168-RA, Bany_16154-RA, Bany_16275-RA, Bany_12564-RA, Bany_12509-RA, Bany_12569-RA, Bany_12518-RA, Bany_12515-RA, Bany_12511-RA, Bany_16404-RA, Bany_16336-RA, Bany_12604-RA, Bany_16324-RA, Bany_12651-RA, Bany_12650-RA, Bany_12619-RA, Bany_12563-RA, Bany_16353-RA, Bany_17487-RA, Bany_16321-RA, Bany_16320-RA, Bany_02750-RA, Bany_08880-RA, Bany_16161-RA, Bany_16066-RA, Bany_08420-RA, Bany_17817-RA, Bany_16352-RA, Bany_16068-RA, Bany_12508-RA, Bany_12461-RA, Bany_16152-RA, Bany_16153-RA, Bany_16151-RA, Bany_12543-RA, Bany_12513-RA, Bany_12496-RA, Bany_12512-RA, Bany_12514-RA, Bany_12570-RA, Bany_12608-RA, Bany_13449-RA, Bany_12618-RA, Bany_12799-RA, Bany_16277-RA, Bany_16276-RA, Bany_12562-RA, Bany_08937-RA, Bany_15553-RA, Bany_11475-RA, Bany_16160-RA, Bany_09711-RA, Bany_12601-RA, Bany_12610-RA, Bany_12950-RA, Bany_12945-RA
OG0000020	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1	Bany_12772-RA
OG0000020	XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1	Bany_17011-RA
OG0000021	XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1	Bany_12775-RA
OG0000022	XP_039765727.1	Bany_00839-RA
OG0000022	XP_039762875.1	Bany_16283-RA
OG0000022	XP_039761167.1	Bany_17573-RA
