Orthogroup	Bicyclus_anynana	Vanessa_cardui
OG0000001	Bany_13515-RA	Vcard_DToL18102-RA, Vcard_DToL15240-RA, Vcard_DToL03608-RA
OG0000002	Bany_05116-RA, Bany_03179-RA, Bany_13153-RA, Bany_05863-RA, Bany_08981-RA	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA
OG0000002	Bany_04889-RA	Vcard_DToL02602-RA, Vcard_DToL10390-RA, Vcard_DToL17277-RA, Vcard_DToL09587-RA, Vcard_DToL15628-RA
OG0000002	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA	Vcard_DToL16862-RA
OG0000002	Bany_13333-RA, Bany_02352-RA, Bany_06561-RA, Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA	Vcard_DToL02904-RA
OG0000003	Bany_16601-RA	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA
OG0000006	Bany_07769-RA, Bany_12743-RA	Vcard_DToL12185-RA, Vcard_DToL14984-RA, Vcard_DToL10389-RA
OG0000007	Bany_12085-RA	Vcard_DToL07313-RA
OG0000007	Bany_04365-RA	Vcard_DToL00838-RA, Vcard_DToL00839-RA
OG0000007	Bany_17822-RA	Vcard_DToL16046-RA
OG0000009	Bany_06680-RA, Bany_06677-RA	Vcard_DToL17636-RA
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA
OG0000011	Bany_13339-RA	Vcard_DToL11283-RA
OG0000011	Bany_13176-RA	Vcard_DToL11230-RA
OG0000011	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	Vcard_DToL11231-RA
OG0000012	Bany_10581-RA	Vcard_DToL10647-RA
OG0000012	Bany_10596-RA	Vcard_DToL10656-RA
OG0000012	Bany_10595-RA, Bany_10594-RA, Bany_10590-RA	Vcard_DToL10653-RA
OG0000012	Bany_10585-RA	Vcard_DToL10657-RA
OG0000012	Bany_10603-RA, Bany_10627-RA	Vcard_DToL10669-RA
OG0000012	Bany_10608-RA	Vcard_DToL10661-RA
OG0000013	Bany_03476-RA	Vcard_DToL17989-RA
OG0000013	Bany_17984-RA, Bany_00934-RA	Vcard_DToL07085-RA, Vcard_DToL16772-RA
OG0000017	Bany_02945-RA	Vcard_DToL14198-RA
OG0000017	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA	Vcard_DToL17605-RA, Vcard_DToL00869-RA
OG0000018	Bany_16974-RA	Vcard_DToL15155-RA, Vcard_DToL15154-RA
OG0000018	Bany_04504-RA	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA, Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA
OG0000020	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA
OG0000022	Bany_01876-RA	Vcard_DToL16722-RA
OG0000023	Bany_10369-RA, Bany_10129-RA	Vcard_DToL04995-RA
OG0000023	Bany_05735-RA, Bany_10428-RA	Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA
OG0000023	Bany_04357-RA	Vcard_DToL16843-RA, Vcard_DToL12503-RA, Vcard_DToL01875-RA
OG0000023	Bany_17087-RA	Vcard_DToL09466-RA, Vcard_DToL18021-RA
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	Vcard_DToL17634-RA
