Orthogroup	Heliconius_erato_lativitta	Danaus_plexippus
OG0000004	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA, HEL_006845-RA, HEL_014408-RA, HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA, HEL_006840-RA, HEL_006849-RA, HEL_006848-RA, HEL_006841-RA, HEL_006846-RA	DPOGS214685-PA
OG0000007	HEL_006143-RA	DPOGS202008-PA
OG0000007	HEL_012397-RA	DPOGS209071-PA
OG0000007	HEL_013500-RA	DPOGS210283-PA
OG0000007	HEL_009509-RA	DPOGS204060-PA, DPOGS204061-PA
OG0000007	HEL_009511-RA	DPOGS204062-PA
OG0000007	HEL_002389-RA	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA
OG0000007	HEL_013093-RA	DPOGS201328-PA
OG0000007	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA	DPOGS201332-PA
OG0000007	HEL_009310-RA	DPOGS210278-PA
OG0000009	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA
OG0000009	HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA	DPOGS201056-PA
OG0000011	HEL_008992-RA	DPOGS205480-PA
OG0000011	HEL_008872-RA	DPOGS200223-PA
OG0000011	HEL_011236-RA, HEL_011238-RA	DPOGS210883-PA
OG0000011	HEL_008932-RA	DPOGS208006-PA
OG0000011	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000012	HEL_011034-RA	DPOGS208243-PA, DPOGS208244-PA
OG0000012	HEL_011043-RA	DPOGS208249-PA
OG0000012	HEL_011040-RA	DPOGS208247-PA
OG0000012	HEL_011049-RA	DPOGS208261-PA
OG0000013	HEL_002158-RA	DPOGS211040-PA
OG0000016	HEL_001996-RA	DPOGS200806-PA
