Orthogroup	Vanessa_cardui	Bicyclus_anynana
OG0000001	Vcard_DToL18102-RA, Vcard_DToL15240-RA, Vcard_DToL03608-RA	Bany_13515-RA
OG0000002	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA	Bany_05116-RA, Bany_03179-RA, Bany_13153-RA, Bany_05863-RA, Bany_08981-RA
OG0000002	Vcard_DToL02602-RA, Vcard_DToL10390-RA, Vcard_DToL17277-RA, Vcard_DToL09587-RA, Vcard_DToL15628-RA	Bany_04889-RA
OG0000002	Vcard_DToL16862-RA	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA
OG0000002	Vcard_DToL02904-RA	Bany_13333-RA, Bany_02352-RA, Bany_06561-RA, Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA
OG0000003	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA	Bany_16601-RA
OG0000006	Vcard_DToL12185-RA, Vcard_DToL14984-RA, Vcard_DToL10389-RA	Bany_07769-RA, Bany_12743-RA
OG0000007	Vcard_DToL07313-RA	Bany_12085-RA
OG0000007	Vcard_DToL00838-RA, Vcard_DToL00839-RA	Bany_04365-RA
OG0000007	Vcard_DToL16046-RA	Bany_17822-RA
OG0000009	Vcard_DToL17636-RA	Bany_06680-RA, Bany_06677-RA
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA
OG0000011	Vcard_DToL11283-RA	Bany_13339-RA
OG0000011	Vcard_DToL11230-RA	Bany_13176-RA
OG0000011	Vcard_DToL11231-RA	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA
OG0000012	Vcard_DToL10647-RA	Bany_10581-RA
OG0000012	Vcard_DToL10656-RA	Bany_10596-RA
OG0000012	Vcard_DToL10653-RA	Bany_10595-RA, Bany_10594-RA, Bany_10590-RA
OG0000012	Vcard_DToL10657-RA	Bany_10585-RA
OG0000012	Vcard_DToL10669-RA	Bany_10603-RA, Bany_10627-RA
OG0000012	Vcard_DToL10661-RA	Bany_10608-RA
OG0000013	Vcard_DToL17989-RA	Bany_03476-RA
OG0000013	Vcard_DToL07085-RA, Vcard_DToL16772-RA	Bany_17984-RA, Bany_00934-RA
OG0000017	Vcard_DToL14198-RA	Bany_02945-RA
OG0000017	Vcard_DToL17605-RA, Vcard_DToL00869-RA	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	Bany_16974-RA
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA, Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA	Bany_04504-RA
OG0000020	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA
OG0000022	Vcard_DToL16722-RA	Bany_01876-RA
OG0000023	Vcard_DToL04995-RA	Bany_10369-RA, Bany_10129-RA
OG0000023	Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA	Bany_05735-RA, Bany_10428-RA
OG0000023	Vcard_DToL16843-RA, Vcard_DToL12503-RA, Vcard_DToL01875-RA	Bany_04357-RA
OG0000023	Vcard_DToL09466-RA, Vcard_DToL18021-RA	Bany_17087-RA
OG0000025	Vcard_DToL17634-RA	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000026	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA	Bany_00115-RA
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	Bany_14335-RA
OG0000029	Vcard_DToL02471-RA	Bany_00663-RA, Bany_00664-RA
OG0000030	Vcard_DToL03994-RA	Bany_15771-RA
OG0000031	Vcard_DToL09360-RA	Bany_03256-RA
OG0000031	Vcard_DToL09361-RA	Bany_18042-RA, Bany_11193-RA
OG0000034	Vcard_DToL03971-RA	Bany_05845-RA
OG0000034	Vcard_DToL03973-RA	Bany_05846-RA, Bany_05861-RA
OG0000034	Vcard_DToL03370-RA	Bany_05243-RA
OG0000034	Vcard_DToL03379-RA	Bany_05248-RA
OG0000035	Vcard_DToL15716-RA	Bany_02371-RA, Bany_01586-RA, Bany_17576-RA, Bany_00397-RA, Bany_03849-RA, Bany_17488-RA
OG0000035	Vcard_DToL00728-RA	Bany_07002-RA, Bany_10949-RA, Bany_17092-RA, Bany_12724-RA, Bany_09887-RA, Bany_13908-RA, Bany_12281-RA
OG0000035	Vcard_DToL18302-RA	Bany_03344-RA
OG0000035	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA	Bany_05654-RA, Bany_04896-RA, Bany_13984-RA, Bany_05682-RA, Bany_01945-RA, Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA, Bany_07608-RA, Bany_15639-RA, Bany_12581-RA
OG0000038	Vcard_DToL16692-RA	Bany_01919-RA
OG0000039	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA
OG0000041	Vcard_DToL13154-RA	Bany_11570-RA
OG0000041	Vcard_DToL15605-RA	Bany_02401-RA, Bany_02400-RA
OG0000049	Vcard_DToL06466-RA	Bany_06008-RA
OG0000049	Vcard_DToL06446-RA	Bany_05882-RA, Bany_05877-RA
OG0000050	Vcard_DToL13075-RA, Vcard_DToL13076-RA	Bany_14319-RA
OG0000051	Vcard_DToL02196-RA	Bany_10418-RA, Bany_13008-RA, Bany_12773-RA, Bany_02443-RA, Bany_02332-RA, Bany_05666-RA
OG0000052	Vcard_DToL12449-RA	Bany_00561-RA
