Orthogroup	Heliconius_erato_lativitta	Maniola_hyperantus
OG0000002	HEL_008500-RA, HEL_007729-RA, HEL_000120-RA, HEL_002268-RA, HEL_011538-RA, HEL_003028-RA	XP_034832765.1
OG0000004	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA	XP_034826575.1
OG0000004	HEL_006845-RA	XP_034826576.1, XP_034829861.1, XP_034826577.1
OG0000004	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA	XP_034826589.1, XP_034825964.1
OG0000004	HEL_006840-RA	XP_034826233.1
OG0000004	HEL_006849-RA, HEL_006848-RA	XP_034826578.1
OG0000007	HEL_006143-RA	XP_034829843.1
OG0000007	HEL_013500-RA	XP_034837123.1, XP_034837198.1
OG0000007	HEL_009509-RA	XP_034837239.1, XP_034837071.1
OG0000007	HEL_009511-RA	XP_034837172.1
OG0000007	HEL_002389-RA	XP_034840218.1, XP_034838053.1
OG0000007	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA	XP_034840808.1
OG0000009	HEL_011324-RA	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA	XP_034838399.1, XP_034838398.1
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000011	HEL_008992-RA	XP_034832805.1
OG0000011	HEL_008872-RA	XP_034832852.1
OG0000011	HEL_011236-RA, HEL_011238-RA	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000011	HEL_008930-RA, HEL_008933-RA	XP_034832960.1, XP_034833028.1
OG0000011	HEL_008932-RA	XP_034833030.1, XP_034833029.1
OG0000011	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	XP_034833025.1, XP_034832955.1
OG0000011	HEL_008927-RA	XP_034832953.1, XP_034832961.1
