Orthogroup	Junonia_coenia	Heliconius_erato_lativitta
OG0000004	JC_13597-RA	HEL_006839-RA
OG0000004	JC_13588-RA	HEL_006845-RA
OG0000004	JC_12131-RA	HEL_014408-RA
OG0000004	JC_13605-RA	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA
OG0000004	JC_13594-RA	HEL_006840-RA
OG0000004	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA, JC_13620-RA, JC_13616-RA, JC_16186-RA, JC_16185-RA, JC_13582-RA	HEL_006849-RA, HEL_006848-RA
OG0000007	JC_08873-RA	HEL_006143-RA
OG0000007	JC_01110-RA	HEL_002932-RA
OG0000007	JC_01591-RA	HEL_012397-RA
OG0000007	JC_14896-RA	HEL_013500-RA
OG0000007	JC_14755-RA	HEL_013499-RA, HEL_006142-RA
OG0000007	JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA	HEL_002388-RA
OG0000009	JC_16098-RA	HEL_011324-RA
OG0000009	JC_16100-RA	HEL_011326-RA, HEL_011321-RA
OG0000009	JC_14973-RA	HEL_011323-RA
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA
OG0000011	JC_11451-RA, JC_11450-RA	HEL_008992-RA
OG0000011	JC_11394-RA	HEL_008872-RA
OG0000011	JC_11383-RA	HEL_011238-RA
OG0000011	JC_11508-RA, JC_11506-RA, JC_11505-RA	HEL_008932-RA
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA
OG0000012	JC_06297-RA	HEL_011034-RA
OG0000012	JC_06294-RA, JC_06293-RA	HEL_011037-RA, HEL_011038-RA, HEL_011042-RA
OG0000012	JC_06240-RA	HEL_011044-RA, HEL_011045-RA
OG0000012	JC_06296-RA	HEL_011040-RA
OG0000012	JC_06241-RA	HEL_011049-RA
OG0000013	JC_03051-RA, JC_03952-RA	HEL_002158-RA
OG0000016	JC_00964-RA, JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA, JC_05786-RA, JC_05770-RA, JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	HEL_001996-RA
OG0000017	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA	HEL_005435-RA
OG0000017	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA	HEL_005434-RA
OG0000018	JC_13020-RA	HEL_002556-RA
OG0000018	JC_05934-RA, JC_05935-RA	HEL_002558-RA
OG0000018	JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA	HEL_002871-RA
OG0000018	JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	HEL_002560-RA
OG0000021	JC_01672-RA, JC_14439-RA	HEL_001565-RA
OG0000022	JC_00074-RA	HEL_013117-RA
OG0000022	JC_00073-RA	HEL_012949-RA
OG0000022	JC_14598-RA	HEL_003384-RA
OG0000022	JC_14602-RA	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA
OG0000024	JC_07395-RA	HEL_003522-RA
OG0000024	JC_07382-RA	HEL_003520-RA
OG0000024	JC_07383-RA, JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA, JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA, JC_07384-RA, JC_07386-RA	HEL_010574-RA, HEL_010573-RA, HEL_003509-RA, HEL_003510-RA, HEL_003524-RA, HEL_003511-RA, HEL_003525-RA, HEL_003526-RA, HEL_003527-RA
OG0000025	JC_16102-RA, JC_16101-RA	HEL_011319-RA
OG0000028	JC_16613-RA, JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA, JC_11032-RA, JC_10533-RA, JC_13235-RA, JC_10565-RA, JC_10564-RA, JC_16342-RA, JC_10532-RA, JC_10671-RA, JC_10530-RA, JC_10529-RA, JC_10531-RA	HEL_011818-RA, HEL_011811-RA
OG0000029	JC_05549-RA	HEL_008275-RA
OG0000029	JC_00248-RA, JC_00251-RA	HEL_001272-RA
OG0000030	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA	HEL_009939-RA
OG0000031	JC_07638-RA	HEL_012127-RA
OG0000032	JC_08098-RA	HEL_003341-RA
OG0000034	JC_02760-RA	HEL_004513-RA
OG0000034	JC_02342-RA	HEL_003967-RA
OG0000034	JC_02354-RA	HEL_003973-RA
