Orthogroup	Heliconius_melpomene_melpomene	Pararge_aegeria
OG0000000	HMEL030135g1.t1, HMEL005700g1.t1	XP_039751997.1
OG0000000	HMEL030971g1.t1	XP_039764486.1
OG0000000	HMEL032721g1.t1, HMEL033318g1.t1, HMEL034443g1.t1, HMEL033590g1.t1, HMEL030870g1.t1, HMEL034014g1.t1, HMEL033778g1.t1, HMEL036222g1.t1, HMEL034751g1.t1, HMEL032362g1.t1, HMEL031474g1.t1, HMEL036564g1.t1, HMEL035707g1.t1, HMEL035697g1.t1, HMEL035708g1.t1, HMEL035211g1.t1, HMEL030621g1.t1, HMEL034201g1.t1, HMEL030853g1.t1, HMEL035551g1.t1, HMEL017933g1.t1, HMEL030113g1.t1, HMEL038130g1.t1, HMEL030881g1.t1, HMEL035429g1.t1, HMEL036892g1.t1	XP_039749195.1
OG0000000	HMEL034079g1.t1	XP_039759598.1
OG0000001	HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1	XP_039755304.1
OG0000002	HMEL036554g1.t1, HMEL034617g1.t1	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1
OG0000002	HMEL013511g1.t1, HMEL033266g1.t1, HMEL038220g1.t1, HMEL035877g1.t1	XP_039749643.1, XP_039755482.1, XP_039756937.1
OG0000002	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1, HMEL034431g1.t1, HMEL037919g1.t1, HMEL031235g1.t1, HMEL035050g1.t1, HMEL030343g1.t1	XP_039763065.1, XP_039747912.1
OG0000002	HMEL030601g1.t1	XP_039753711.1, XP_039761423.1, XP_039761888.1, XP_039760354.1
OG0000003	HMEL032743g1.t1, HMEL003905g1.t1, HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1, XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1
OG0000004	HMEL022640-RA, HMEL022652-RA	XP_039758007.1
OG0000004	HMEL022633-RA	XP_039765531.1
OG0000004	HMEL022671-RA, HMEL022653-RA	XP_039765606.1
OG0000005	HMEL031445g1.t1, HMEL033404g1.t1, HMEL033939g1.t1, HMEL030067g1.t1, HMEL030636g1.t1, HMEL036510g1.t1, HMEL036436g1.t1, HMEL032169g1.t1, HMEL031164g1.t1, HMEL038197g1.t1, HMEL031471g1.t1, HMEL036918g1.t1, HMEL034674g1.t1, HMEL030156g1.t1, HMEL033707g1.t1, HMEL031583g1.t1, HMEL033746g1.t1, HMEL031988g1.t1, HMEL017902g1.t1, HMEL031555g1.t1, HMEL030161g1.t1, HMEL036646g1.t1, HMEL030851g1.t1, HMEL033480g1.t1, HMEL034464g1.t1, HMEL034057g1.t1, HMEL030114g1.t1, HMEL034465g1.t1, HMEL033535g1.t1, HMEL035352g1.t1, HMEL035731g1.t1, HMEL035426g1.t1, HMEL031718g1.t1, HMEL034294g1.t1, HMEL036029g1.t1, HMEL031765g1.t1, HMEL034149g1.t1, HMEL033258g1.t1, HMEL032264g1.t1, HMEL030850g1.t1, HMEL035427g1.t1, HMEL034365g1.t1, HMEL030197g1.t1, HMEL030532g1.t1, HMEL034971g1.t1, HMEL033731g1.t1, HMEL033573g1.t1, HMEL030930g1.t1, HMEL030921g1.t1, HMEL033589g1.t1, HMEL031606g1.t1, HMEL036432g1.t1, HMEL036435g1.t1, HMEL035715g1.t1, HMEL031582g1.t1, HMEL036712g1.t1, HMEL037171g1.t1, HMEL034466g1.t1, HMEL036924g1.t1, HMEL037830g1.t1, HMEL036919g1.t1, HMEL030635g1.t1, HMEL032697g1.t1, HMEL038198g1.t1, HMEL030976g1.t1, HMEL031341g1.t1, HMEL034367g1.t1, HMEL034932g1.t1, HMEL036764g1.t1, HMEL036765g1.t1, HMEL030533g1.t1, HMEL031764g1.t1, HMEL034449g1.t1, HMEL034397g1.t1, HMEL037037g1.t1, HMEL031586g1.t1, HMEL034368g1.t1, HMEL034974g1.t1, HMEL030110g1.t1, HMEL033256g1.t1, HMEL034933g1.t1, HMEL033257g1.t1, HMEL034150g1.t1, HMEL035913g1.t1, HMEL031585g1.t1, HMEL034366g1.t1, HMEL034972g1.t1, HMEL036297g1.t1, HMEL033572g1.t1, HMEL034151g1.t1, HMEL030953g1.t1, HMEL030111g1.t1, HMEL036039g1.t1, HMEL037824g1.t1, HMEL032115g1.t1, HMEL033732g1.t1, HMEL035847g1.t1, HMEL030198g1.t1, HMEL012316g1.t1, HMEL030170g1.t1, HMEL031559g1.t1, HMEL034603g1.t1, HMEL030534g1.t1, HMEL034380g1.t1, HMEL030535g1.t1, HMEL033408g1.t1, HMEL034396g1.t1, HMEL034389g1.t1	XP_039757157.1
OG0000007	HMEL012825g1.t1	XP_039749697.1
OG0000007	HMEL030866g1.t1	XP_039761305.1
OG0000007	HMEL009008g1.t1	XP_039754496.1
