Orthogroup	Pararge_aegeria	Vanessa_cardui
OG0000002	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA
OG0000002	XP_039749643.1, XP_039755482.1, XP_039756937.1	Vcard_DToL16862-RA
OG0000002	XP_039763065.1, XP_039747912.1, XP_039753711.1, XP_039761423.1, XP_039761888.1, XP_039760354.1	Vcard_DToL02904-RA
OG0000003	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1, XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA
OG0000004	XP_039765531.1	Vcard_DToL15629-RA
OG0000007	XP_039749697.1	Vcard_DToL07313-RA
OG0000007	XP_039754496.1	Vcard_DToL00838-RA, Vcard_DToL00839-RA
OG0000007	XP_039760528.1	Vcard_DToL16046-RA
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	Vcard_DToL17636-RA
OG0000009	XP_039748430.1, XP_039748472.1	Vcard_DToL17635-RA
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA
OG0000011	XP_039757162.1	Vcard_DToL11283-RA
OG0000011	XP_039757108.1	Vcard_DToL11246-RA, Vcard_DToL11242-RA
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	Vcard_DToL11230-RA, Vcard_DToL11231-RA
OG0000016	XP_039745450.1, XP_039759548.1, XP_039761445.1	Vcard_DToL05496-RA
OG0000017	XP_039764358.1	Vcard_DToL14198-RA
OG0000017	XP_039748749.1	Vcard_DToL17605-RA, Vcard_DToL00869-RA
OG0000018	XP_039760351.1	Vcard_DToL15155-RA, Vcard_DToL15154-RA
OG0000018	XP_039752787.1	Vcard_DToL00987-RA
OG0000018	XP_039752824.1	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA, Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA
OG0000020	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1, XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA
OG0000021	XP_039763920.1, XP_039746712.1	Vcard_DToL14989-RA
OG0000022	XP_039750917.1, XP_039752986.1	Vcard_DToL16722-RA
OG0000023	XP_039755787.1, XP_039761864.1, XP_039763079.1	Vcard_DToL04995-RA
OG0000023	XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1	Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA
OG0000023	XP_039745421.1, XP_039753381.1	Vcard_DToL09466-RA, Vcard_DToL18021-RA
OG0000023	XP_039760398.1	Vcard_DToL12903-RA
OG0000023	XP_039760327.1, XP_039758834.1, XP_039746209.1	Vcard_DToL12529-RA, Vcard_DToL09838-RA
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	Vcard_DToL17634-RA
