Orthogroup	Bicyclus_anynana	Vanessa_tameamea
OG0000000	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA	XP_026484840.1
OG0000000	Bany_07062-RA, Bany_07743-RA	XP_026500834.1
OG0000000	Bany_10007-RA	XP_026499971.1
OG0000000	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA	XP_026499445.1
OG0000000	Bany_17531-RA, Bany_09873-RA, Bany_17433-RA, Bany_12973-RA	XP_026485065.1
OG0000000	Bany_15840-RA, Bany_12026-RA	XP_026488880.1
OG0000000	Bany_13444-RA, Bany_02521-RA	XP_026490098.1
OG0000000	Bany_12885-RA	XP_026494144.1
OG0000000	Bany_08916-RA	XP_026493394.1
OG0000001	Bany_13515-RA	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1
OG0000001	Bany_07607-RA	XP_026485054.1
OG0000002	Bany_13153-RA, Bany_05863-RA, Bany_08981-RA	XP_026490714.1
OG0000002	Bany_06561-RA, Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA	XP_026483300.1
OG0000004	Bany_01306-RA	XP_026497757.1, XP_026497758.1
OG0000006	Bany_07769-RA, Bany_12743-RA	XP_026499547.1, XP_026484138.1, XP_026490096.1
OG0000007	Bany_12085-RA	XP_026496812.1
OG0000007	Bany_05169-RA	XP_026494722.1
OG0000007	Bany_04365-RA	XP_026487005.1
OG0000007	Bany_17822-RA	XP_026498823.1
OG0000007	Bany_18091-RA, Bany_18092-RA	XP_026489575.1
OG0000007	Bany_03693-RA, Bany_03690-RA	XP_026487630.1
OG0000009	Bany_06680-RA, Bany_06677-RA	XP_026490612.1
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1
OG0000010	Bany_05761-RA, Bany_07419-RA, Bany_03810-RA, Bany_12832-RA, Bany_07420-RA, Bany_12791-RA	XP_026497515.1
OG0000011	Bany_13339-RA	XP_026500011.1
OG0000011	Bany_13158-RA	XP_026494618.1
OG0000011	Bany_13176-RA	XP_026494592.1
OG0000011	Bany_13051-RA	XP_026487937.1
OG0000011	Bany_05712-RA, Bany_13053-RA	XP_026487932.1
OG0000011	Bany_13055-RA	XP_026487933.1
OG0000013	Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA	XP_026498879.1, XP_026496138.1, XP_026497446.1
OG0000013	Bany_11488-RA	XP_026485615.1
OG0000013	Bany_08606-RA	XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1
OG0000018	Bany_16974-RA	XP_026500174.1
OG0000018	Bany_04504-RA	XP_026486406.1, XP_026486403.1, XP_026501049.1, XP_026486538.1, XP_026497909.1
OG0000020	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA	XP_026499906.1, XP_026498149.1
OG0000021	Bany_12775-RA	XP_026499326.1, XP_026498522.1
OG0000022	Bany_00839-RA	XP_026484827.1
OG0000022	Bany_16283-RA	XP_026486487.1
OG0000022	Bany_17573-RA	XP_026486002.1
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	XP_026496869.1
OG0000023	Bany_10369-RA, Bany_10129-RA, Bany_05735-RA, Bany_10428-RA	XP_026492743.1
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	XP_026490610.1
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	XP_026490616.1
OG0000026	Bany_00115-RA	XP_026499909.1, XP_026483831.1, XP_026499747.1
OG0000028	Bany_14335-RA	XP_026495729.1
OG0000028	Bany_07987-RA, Bany_01182-RA	XP_026495795.1
OG0000029	Bany_00663-RA, Bany_00664-RA	XP_026485191.1, XP_026485189.1
OG0000031	Bany_03256-RA	XP_026499704.1, XP_026499703.1
OG0000032	Bany_14909-RA, Bany_07405-RA	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
OG0000032	Bany_12629-RA	XP_026499980.1
OG0000034	Bany_05846-RA, Bany_05861-RA	XP_026491689.1
OG0000034	Bany_05253-RA	XP_026491466.1
OG0000034	Bany_05243-RA	XP_026491224.1
OG0000034	Bany_05248-RA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000035	Bany_02371-RA, Bany_01586-RA, Bany_17576-RA, Bany_00397-RA, Bany_03849-RA, Bany_17488-RA	XP_026492510.1
OG0000035	Bany_11755-RA, Bany_13020-RA	XP_026495880.1
OG0000035	Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA	XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1
OG0000036	Bany_07167-RA, Bany_18121-RA	XP_026487154.1
OG0000036	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	XP_026488619.1, XP_026499962.1
OG0000038	Bany_01919-RA	XP_026490184.1
OG0000039	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA	XP_026488878.1, XP_026488879.1
OG0000041	Bany_11570-RA	XP_026490916.1
OG0000041	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA	XP_026491898.1, XP_026483601.1
OG0000041	Bany_02401-RA, Bany_02400-RA	XP_026497785.1
OG0000044	Bany_12753-RA	XP_026500138.1
OG0000048	Bany_12304-RA	XP_026490402.1
OG0000049	Bany_06008-RA	XP_026484586.1
OG0000049	Bany_05882-RA, Bany_05877-RA	XP_026485111.1
OG0000050	Bany_14319-RA	XP_026500975.1, XP_026500978.1, XP_026500979.1
OG0000053	Bany_05073-RA	XP_026497060.1
OG0000053	Bany_05075-RA	XP_026497094.1
OG0000053	Bany_05076-RA	XP_026497149.1
OG0000054	Bany_08678-RA	XP_026492237.1
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	XP_026491734.1
OG0000056	Bany_17818-RA	XP_026498825.1
OG0000056	Bany_17820-RA	XP_026498818.1
OG0000056	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA	XP_026499964.1
OG0000057	Bany_11764-RA	XP_026496531.1
OG0000057	Bany_11763-RA	XP_026496524.1
OG0000057	Bany_10000-RA	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000058	Bany_10778-RA	XP_026489850.1, XP_026492925.1
OG0000058	Bany_05192-RA, Bany_00871-RA	XP_026490603.1
OG0000058	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA	XP_026497189.1, XP_026489550.1
OG0000059	Bany_07470-RA	XP_026497961.1, XP_026501315.1
OG0000059	Bany_10761-RA	XP_026491881.1
OG0000060	Bany_15282-RA	XP_026493438.1, XP_026493441.1
OG0000061	Bany_08020-RA	XP_026488092.1
OG0000062	Bany_10506-RA	XP_026486062.1
OG0000062	Bany_06854-RA	XP_026483731.1
OG0000062	Bany_15127-RA	XP_026493053.1, XP_026493052.1, XP_026499492.1
OG0000063	Bany_06319-RA	XP_026483335.1, XP_026483375.1
OG0000064	Bany_03190-RA, Bany_11765-RA	XP_026497737.1, XP_026491802.1
OG0000066	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA	XP_026500159.1
OG0000067	Bany_02338-RA	XP_026499417.1
OG0000067	Bany_16557-RA, Bany_16558-RA, Bany_06790-RA	XP_026492031.1
OG0000068	Bany_02228-RA, Bany_02226-RA	XP_026494442.1
OG0000069	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA, Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	XP_026489035.1
OG0000071	Bany_13125-RA	XP_026492973.1
OG0000073	Bany_06221-RA	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	Bany_06084-RA	XP_026501251.1, XP_026501242.1
OG0000073	Bany_06075-RA	XP_026483469.1
OG0000075	Bany_07998-RA	XP_026487164.1
OG0000075	Bany_08220-RA	XP_026488301.1, XP_026488302.1
OG0000076	Bany_16171-RA, Bany_16169-RA	XP_026490686.1
OG0000077	Bany_10084-RA	XP_026485880.1
OG0000077	Bany_10083-RA	XP_026485943.1
OG0000078	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA	XP_026497763.1, XP_026497768.1
OG0000079	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA	XP_026485855.1
OG0000080	Bany_08039-RA, Bany_17050-RA, Bany_16270-RA, Bany_11430-RA, Bany_10988-RA, Bany_17695-RA, Bany_15621-RA, Bany_06228-RA, Bany_12336-RA, Bany_06231-RA, Bany_04332-RA, Bany_15063-RA, Bany_00139-RA, Bany_00782-RA, Bany_04529-RA, Bany_04166-RA, Bany_08622-RA, Bany_09336-RA	XP_026485596.1
OG0000081	Bany_13067-RA, Bany_18131-RA, Bany_16366-RA	XP_026498852.1
OG0000081	Bany_08031-RA, Bany_18134-RA, Bany_17508-RA, Bany_13965-RA, Bany_07436-RA	XP_026499487.1, XP_026486537.1, XP_026500021.1
OG0000081	Bany_16193-RA	XP_026491027.1
OG0000081	Bany_08667-RA	XP_026493409.1
OG0000082	Bany_06988-RA	XP_026484136.1
OG0000082	Bany_06982-RA	XP_026484086.1
OG0000082	Bany_06548-RA	XP_026484166.1
OG0000082	Bany_06547-RA	XP_026484161.1
OG0000083	Bany_18002-RA, Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA	XP_026498757.1
OG0000084	Bany_12323-RA, Bany_12325-RA	XP_026492846.1
OG0000084	Bany_12324-RA	XP_026492749.1
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	XP_026496424.1
OG0000087	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA	XP_026491033.1, XP_026491504.1
OG0000088	Bany_16383-RA	XP_026483148.1
OG0000088	Bany_06437-RA	XP_026489494.1
OG0000091	Bany_10128-RA	XP_026496136.1
OG0000091	Bany_13092-RA	XP_026498590.1, XP_026499894.1
OG0000091	Bany_13091-RA, Bany_08216-RA, Bany_07375-RA, Bany_04928-RA, Bany_09349-RA	XP_026498210.1
OG0000092	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA	XP_026488296.1
OG0000093	Bany_07027-RA	XP_026483919.1, XP_026483920.1
OG0000093	Bany_07030-RA, Bany_07031-RA	XP_026484027.1, XP_026484028.1
OG0000094	Bany_02330-RA	XP_026488555.1
OG0000094	Bany_02336-RA, Bany_02337-RA	XP_026492024.1
OG0000095	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA	XP_026484614.1, XP_026484892.1
OG0000096	Bany_05878-RA	XP_026498766.1
OG0000096	Bany_05883-RA	XP_026489765.1, XP_026489764.1
OG0000096	Bany_05880-RA	XP_026498776.1, XP_026498782.1
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	XP_026498905.1, XP_026498928.1
OG0000098	Bany_15791-RA	XP_026498603.1
OG0000100	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA	XP_026495781.1
OG0000100	Bany_14503-RA	XP_026495693.1
OG0000101	Bany_15315-RA	XP_026493040.1, XP_026493038.1
OG0000101	Bany_15313-RA	XP_026493188.1
OG0000103	Bany_01667-RA	XP_026498404.1, XP_026498400.1, XP_026498403.1
OG0000106	Bany_03257-RA, Bany_18159-RA	XP_026485887.1
OG0000109	Bany_11580-RA, Bany_08603-RA, Bany_08602-RA	XP_026497980.1
OG0000110	Bany_01227-RA, Bany_01228-RA	XP_026488961.1, XP_026488962.1
OG0000110	Bany_01226-RA, Bany_01225-RA	XP_026489019.1
OG0000110	Bany_01235-RA	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1
OG0000111	Bany_10939-RA	XP_026485541.1
OG0000111	Bany_10437-RA	XP_026486198.1
OG0000111	Bany_10438-RA	XP_026486121.1
OG0000112	Bany_03560-RA	XP_026488156.1
OG0000112	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA	XP_026488169.1
OG0000113	Bany_15687-RA	XP_026498858.1
OG0000113	Bany_16241-RA	XP_026486407.1
OG0000114	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA	XP_026488859.1
OG0000114	Bany_01222-RA, Bany_01450-RA, Bany_01444-RA, Bany_01446-RA	XP_026488856.1
OG0000115	Bany_02238-RA	XP_026494479.1
OG0000115	Bany_06385-RA	XP_026500251.1, XP_026500243.1
OG0000115	Bany_02241-RA	XP_026494478.1
OG0000116	Bany_10490-RA	XP_026486128.1
OG0000116	Bany_17622-RA	XP_026494070.1
OG0000116	Bany_07549-RA	XP_026496653.1
OG0000117	Bany_01550-RA	XP_026488567.1
OG0000117	Bany_01549-RA, Bany_01548-RA	XP_026488566.1
OG0000118	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA	XP_026490964.1
OG0000119	Bany_15451-RA, Bany_15452-RA	XP_026496437.1
