Orthogroup	Bicyclus_anynana	Junonia_coenia
OG0000000	Bany_10957-RA	JC_00059-RA
OG0000000	Bany_09337-RA	JC_06702-RA, JC_09836-RA
OG0000000	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA	JC_14731-RA
OG0000000	Bany_06307-RA, Bany_01154-RA, Bany_16364-RA	JC_02930-RA
OG0000000	Bany_07320-RA	JC_06345-RA
OG0000000	Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA	JC_15003-RA
OG0000000	Bany_05506-RA, Bany_03267-RA, Bany_17740-RA, Bany_05667-RA	JC_15655-RA
OG0000001	Bany_07607-RA	JC_02051-RA
OG0000003	Bany_16601-RA	JC_11525-RA
OG0000004	Bany_01306-RA	JC_13597-RA
OG0000004	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA	JC_13605-RA
OG0000006	Bany_07769-RA, Bany_12743-RA	JC_09745-RA
OG0000007	Bany_12085-RA	JC_08873-RA
OG0000007	Bany_05169-RA	JC_01109-RA
OG0000007	Bany_04365-RA	JC_01591-RA
OG0000007	Bany_17822-RA	JC_14896-RA
OG0000007	Bany_18092-RA	JC_14757-RA
OG0000007	Bany_03693-RA, Bany_03690-RA	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA
OG0000009	Bany_06680-RA, Bany_06677-RA	JC_16098-RA
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA
OG0000010	Bany_12791-RA	JC_15129-RA, JC_17221-RA, JC_15688-RA
OG0000011	Bany_13339-RA	JC_11451-RA, JC_11450-RA
OG0000011	Bany_13158-RA	JC_11395-RA
OG0000011	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	JC_11383-RA
OG0000011	Bany_13051-RA	JC_11508-RA, JC_11506-RA, JC_11505-RA
OG0000011	Bany_05712-RA, Bany_13053-RA	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA
OG0000012	Bany_10581-RA	JC_06297-RA
OG0000012	Bany_10593-RA	JC_06294-RA, JC_06293-RA
OG0000012	Bany_10592-RA	JC_06296-RA
OG0000012	Bany_10603-RA, Bany_10627-RA	JC_06291-RA
OG0000012	Bany_10615-RA	JC_06241-RA
OG0000012	Bany_10610-RA	JC_06279-RA
OG0000012	Bany_10611-RA, Bany_10612-RA	JC_06277-RA
OG0000012	Bany_10608-RA	JC_06281-RA
OG0000012	Bany_10616-RA, Bany_10614-RA	JC_06276-RA
OG0000012	Bany_10625-RA, Bany_10624-RA	JC_06270-RA
OG0000012	Bany_10623-RA, Bany_10618-RA, Bany_10622-RA, Bany_10621-RA, Bany_10619-RA, Bany_10620-RA	JC_06269-RA
OG0000013	Bany_11488-RA	JC_03051-RA, JC_03952-RA
