Orthogroup	Vanessa_tameamea	Maniola_hyperantus
OG0000000	XP_026484840.1	XP_034839969.1
OG0000000	XP_026485065.1	XP_034830096.1
OG0000000	XP_026494144.1	XP_034837767.1
OG0000001	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1	XP_034840840.1
OG0000001	XP_026485054.1	XP_034838060.1
OG0000004	XP_026497757.1, XP_026497758.1	XP_034826575.1
OG0000004	XP_026497760.1	XP_034825904.1
OG0000004	XP_026497755.1	XP_034826578.1
OG0000006	XP_026499547.1, XP_026484138.1, XP_026490096.1	XP_034828886.1
OG0000007	XP_026496812.1	XP_034829843.1
OG0000007	XP_026494722.1	XP_034833027.1
OG0000007	XP_026498823.1	XP_034837123.1, XP_034837198.1
OG0000007	XP_026489575.1	XP_034837239.1, XP_034837071.1, XP_034837070.1
OG0000007	XP_026489574.1	XP_034837172.1
OG0000007	XP_026487630.1	XP_034840808.1
OG0000009	XP_026490612.1	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1	XP_034838399.1, XP_034838398.1
OG0000009	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000010	XP_026497515.1	XP_034837882.1
OG0000011	XP_026500011.1	XP_034832805.1
OG0000011	XP_026494591.1	XP_034832852.1
OG0000011	XP_026494618.1	XP_034832845.1
OG0000011	XP_026494592.1	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000011	XP_026487937.1	XP_034833030.1, XP_034833029.1
OG0000011	XP_026487932.1	XP_034833025.1, XP_034832955.1
OG0000011	XP_026487933.1	XP_034832953.1, XP_034832961.1
OG0000013	XP_026498879.1, XP_026496138.1, XP_026497446.1	XP_034839862.1
OG0000013	XP_026485615.1	XP_034839913.1, XP_034830013.1
OG0000013	XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1	XP_034837462.1
OG0000016	XP_026497219.1, XP_026498863.1	XP_034839614.1
OG0000018	XP_026500174.1	XP_034836233.1
OG0000018	XP_026486406.1, XP_026486403.1, XP_026501049.1	XP_034833257.1
OG0000020	XP_026499906.1, XP_026498149.1	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1, XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1
OG0000021	XP_026499326.1, XP_026498522.1	XP_034830035.1, XP_034835587.1, XP_034836339.1, XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1
OG0000021	XP_026497740.1	XP_034840153.1
OG0000022	XP_026484827.1	XP_034840993.1
OG0000022	XP_026484834.1	XP_034824109.1
OG0000022	XP_026486487.1	XP_034839051.1
OG0000022	XP_026483171.1	XP_034839055.1
OG0000022	XP_026484818.1	XP_034824108.1
OG0000022	XP_026486002.1	XP_034836910.1
OG0000022	XP_026496869.1	XP_034826667.1
OG0000023	XP_026492743.1	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1
OG0000025	XP_026490610.1	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1
OG0000025	XP_026490616.1	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000026	XP_026499909.1, XP_026483831.1, XP_026499747.1	XP_034837742.1, XP_034839914.1, XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1
OG0000028	XP_026495795.1	XP_034830316.1, XP_034828236.1
OG0000029	XP_026485191.1, XP_026485189.1	XP_034841164.1
OG0000029	XP_026485194.1, XP_026485192.1	XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1
OG0000031	XP_026499704.1, XP_026499703.1	XP_034832420.1
OG0000032	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1	XP_034839638.1
