Orthogroup	Vanessa_cardui	Pararge_aegeria
OG0000002	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1
OG0000002	Vcard_DToL16862-RA	XP_039749643.1, XP_039755482.1, XP_039756937.1
OG0000002	Vcard_DToL02904-RA	XP_039763065.1, XP_039747912.1, XP_039753711.1, XP_039761423.1, XP_039761888.1, XP_039760354.1
OG0000003	Vcard_DToL05329-RA, Vcard_DToL16992-RA, Vcard_DToL14245-RA	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1, XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1
OG0000004	Vcard_DToL15629-RA	XP_039765531.1
OG0000007	Vcard_DToL07313-RA	XP_039749697.1
OG0000007	Vcard_DToL00838-RA, Vcard_DToL00839-RA	XP_039754496.1
OG0000007	Vcard_DToL16046-RA	XP_039760528.1
OG0000009	Vcard_DToL17636-RA	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1
OG0000009	Vcard_DToL17635-RA	XP_039748430.1, XP_039748472.1
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000011	Vcard_DToL11283-RA	XP_039757162.1
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	XP_039757108.1
OG0000011	Vcard_DToL11230-RA, Vcard_DToL11231-RA	XP_039757384.1, XP_039757107.1, XP_039757124.1
OG0000016	Vcard_DToL05496-RA	XP_039745450.1, XP_039759548.1, XP_039761445.1
OG0000017	Vcard_DToL14198-RA	XP_039764358.1
OG0000017	Vcard_DToL17605-RA, Vcard_DToL00869-RA	XP_039748749.1
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	XP_039760351.1
