Orthogroup	Heliconius_erato_lativitta	Junonia_coenia
OG0000004	HEL_006839-RA	JC_13597-RA
OG0000004	HEL_006845-RA	JC_13588-RA
OG0000004	HEL_014408-RA	JC_12131-RA
OG0000004	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA	JC_13605-RA
OG0000004	HEL_006840-RA	JC_13594-RA
OG0000004	HEL_006849-RA, HEL_006848-RA	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA, JC_13620-RA, JC_13616-RA, JC_16186-RA, JC_16185-RA, JC_13582-RA
OG0000007	HEL_006143-RA	JC_08873-RA
OG0000007	HEL_002932-RA	JC_01110-RA
OG0000007	HEL_012397-RA	JC_01591-RA
OG0000007	HEL_013500-RA	JC_14896-RA
OG0000007	HEL_013499-RA, HEL_006142-RA	JC_14755-RA
OG0000007	HEL_002388-RA	JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA
OG0000009	HEL_011324-RA	JC_16098-RA
OG0000009	HEL_011326-RA, HEL_011321-RA	JC_16100-RA
OG0000009	HEL_011323-RA	JC_14973-RA
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA
OG0000011	HEL_008992-RA	JC_11451-RA, JC_11450-RA
OG0000011	HEL_008872-RA	JC_11394-RA
OG0000011	HEL_011238-RA	JC_11383-RA
OG0000011	HEL_008932-RA	JC_11508-RA, JC_11506-RA, JC_11505-RA
OG0000011	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA
OG0000012	HEL_011034-RA	JC_06297-RA
OG0000012	HEL_011037-RA, HEL_011038-RA, HEL_011042-RA	JC_06294-RA, JC_06293-RA
OG0000012	HEL_011044-RA, HEL_011045-RA	JC_06240-RA
OG0000012	HEL_011040-RA	JC_06296-RA
OG0000012	HEL_011049-RA	JC_06241-RA
OG0000013	HEL_002158-RA	JC_03051-RA, JC_03952-RA
OG0000016	HEL_001996-RA	JC_00964-RA, JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA, JC_05786-RA, JC_05770-RA, JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA
OG0000017	HEL_005435-RA	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA
OG0000017	HEL_005434-RA	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA
OG0000018	HEL_002556-RA	JC_13020-RA
OG0000018	HEL_002558-RA	JC_05934-RA, JC_05935-RA
OG0000018	HEL_002871-RA	JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA
OG0000018	HEL_002560-RA	JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA
OG0000021	HEL_001565-RA	JC_01672-RA, JC_14439-RA
OG0000022	HEL_013117-RA	JC_00074-RA
OG0000022	HEL_012949-RA	JC_00073-RA
OG0000022	HEL_003384-RA	JC_14598-RA
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	JC_14602-RA
OG0000024	HEL_003522-RA	JC_07395-RA
OG0000024	HEL_003520-RA	JC_07382-RA
