Orthogroup	Heliconius_erato_lativitta	Pararge_aegeria
OG0000002	HEL_005892-RA	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1
OG0000002	HEL_005215-RA, HEL_000681-RA, HEL_006991-RA, HEL_003218-RA, HEL_006733-RA	XP_039749643.1, XP_039755482.1, XP_039756937.1
OG0000002	HEL_008500-RA, HEL_007729-RA, HEL_000120-RA, HEL_002268-RA, HEL_011538-RA, HEL_003028-RA	XP_039763065.1, XP_039747912.1
OG0000004	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA	XP_039758007.1
OG0000004	HEL_006840-RA	XP_039765531.1
OG0000004	HEL_006849-RA, HEL_006848-RA	XP_039765606.1
OG0000007	HEL_006143-RA	XP_039749697.1
OG0000007	HEL_012397-RA	XP_039754496.1
OG0000007	HEL_013500-RA	XP_039760528.1
OG0000007	HEL_009511-RA	XP_039760400.1
OG0000007	HEL_002389-RA	XP_039762034.1
OG0000007	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA	XP_039764480.1, XP_039764478.1
OG0000009	HEL_011324-RA	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1
OG0000009	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA	XP_039748430.1, XP_039748472.1
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000011	HEL_008992-RA	XP_039757162.1
OG0000011	HEL_008872-RA	XP_039757108.1
OG0000011	HEL_011236-RA, HEL_011238-RA	XP_039757384.1, XP_039757107.1, XP_039757124.1
OG0000011	HEL_008930-RA, HEL_008933-RA	XP_039757274.1
OG0000011	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	XP_039757277.1
OG0000011	HEL_008927-RA	XP_039757275.1
OG0000013	HEL_002158-RA	XP_039764230.1, XP_039746104.1, XP_039746147.1
OG0000016	HEL_001996-RA	XP_039761457.1, XP_039760429.1, XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1, XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1, XP_039745450.1, XP_039759548.1, XP_039761445.1, XP_039760421.1
OG0000018	HEL_002556-RA	XP_039760351.1, XP_039752787.1
OG0000018	HEL_002557-RA	XP_039752828.1
OG0000018	HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA	XP_039752824.1
OG0000022	HEL_013117-RA	XP_039765727.1
OG0000022	HEL_012949-RA	XP_039765728.1
OG0000022	HEL_003384-RA	XP_039747684.1
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	XP_039750917.1, XP_039752986.1
OG0000024	HEL_003522-RA	XP_039763211.1, XP_039753156.1, XP_039763722.1
OG0000024	HEL_003520-RA	XP_039753155.1
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1
OG0000025	HEL_011319-RA	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1
OG0000028	HEL_011818-RA, HEL_011811-RA	XP_039756644.1, XP_039756364.1, XP_039756209.1, XP_039756129.1, XP_039756114.1, XP_039756115.1, XP_039754209.1, XP_039752265.1
OG0000029	HEL_001272-RA	XP_039745529.1
OG0000031	HEL_012127-RA	XP_039753010.1
OG0000032	HEL_003341-RA	XP_039763077.1, XP_039764294.1
OG0000034	HEL_004511-RA, HEL_004512-RA	XP_039746452.1
OG0000034	HEL_003973-RA	XP_039746398.1
OG0000034	HEL_003968-RA	XP_039746268.1
OG0000036	HEL_008947-RA, HEL_010219-RA	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1
OG0000038	HEL_003342-RA	XP_039749533.1
OG0000038	HEL_003344-RA, HEL_003333-RA	XP_039747874.1
OG0000039	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA	XP_039752715.1
OG0000039	HEL_006829-RA	XP_039752213.1, XP_039752212.1
OG0000041	HEL_014103-RA	XP_039759472.1
OG0000041	HEL_008450-RA	XP_039749285.1, XP_039749003.1
OG0000041	HEL_014422-RA	XP_039759561.1, XP_039746548.1
OG0000045	HEL_012373-RA	XP_039750219.1, XP_039750218.1
OG0000045	HEL_010335-RA	XP_039750023.1
OG0000045	HEL_013537-RA, HEL_013538-RA	XP_039752690.1
OG0000045	HEL_005377-RA	XP_039760955.1
OG0000046	HEL_005348-RA	XP_039755067.1, XP_039755066.1
OG0000049	HEL_008049-RA	XP_039751487.1, XP_039751486.1
OG0000049	HEL_008034-RA, HEL_008036-RA, HEL_008037-RA	XP_039751167.1
OG0000050	HEL_012564-RA	XP_039756635.1, XP_039756638.1, XP_039756636.1
OG0000052	HEL_000724-RA	XP_039755855.1
OG0000053	HEL_006720-RA	XP_039760715.1
OG0000053	HEL_006724-RA	XP_039761162.1
OG0000053	HEL_006722-RA	XP_039755401.1
OG0000053	HEL_006725-RA	XP_039754797.1
OG0000054	HEL_003473-RA	XP_039753385.1
OG0000054	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA	XP_039753617.1
OG0000054	HEL_003471-RA	XP_039753386.1, XP_039753387.1, XP_039753618.1
OG0000054	HEL_003470-RA	XP_039753616.1
OG0000056	HEL_013494-RA	XP_039760526.1
OG0000057	HEL_008127-RA, HEL_008126-RA	XP_039759134.1, XP_039759133.1
OG0000057	HEL_008125-RA	XP_039759135.1
OG0000057	HEL_007566-RA	XP_039749078.1
OG0000060	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA	XP_039758865.1, XP_039758409.1, XP_039758410.1
OG0000061	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA, HEL_014348-RA, HEL_014349-RA, HEL_010277-RA, HEL_014346-RA, HEL_010278-RA, HEL_014350-RA, HEL_010280-RA	XP_039753921.1, XP_039754302.1, XP_039754300.1
OG0000062	HEL_000202-RA	XP_039749293.1
OG0000063	HEL_006297-RA	XP_039751621.1, XP_039751623.1
OG0000063	HEL_011544-RA	XP_039758398.1
