Orthogroup	Junonia_coenia	Maniola_hyperantus
OG0000000	JC_14731-RA	XP_034839969.1
OG0000001	JC_02051-RA	XP_034838060.1
OG0000004	JC_13597-RA	XP_034826575.1
OG0000004	JC_13588-RA	XP_034826576.1, XP_034829861.1, XP_034826577.1
OG0000004	JC_13589-RA, JC_13591-RA	XP_034825904.1
OG0000004	JC_13605-RA	XP_034826589.1, XP_034825964.1
OG0000004	JC_13611-RA	XP_034826579.1
OG0000004	JC_13594-RA	XP_034826233.1
OG0000004	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA	XP_034826578.1
OG0000006	JC_09745-RA	XP_034828886.1
OG0000007	JC_08873-RA	XP_034829843.1
OG0000007	JC_01109-RA	XP_034833027.1
OG0000007	JC_14896-RA	XP_034837123.1, XP_034837198.1
OG0000007	JC_14757-RA	XP_034837070.1
OG0000007	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA	XP_034840808.1
OG0000009	JC_16098-RA	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	JC_16100-RA, JC_14973-RA, JC_16099-RA	XP_034838399.1, XP_034838398.1
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000011	JC_11451-RA, JC_11450-RA	XP_034832805.1
OG0000011	JC_11394-RA	XP_034832852.1
OG0000011	JC_11395-RA	XP_034832845.1
OG0000011	JC_11383-RA	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000011	JC_11508-RA, JC_11506-RA, JC_11505-RA	XP_034833030.1, XP_034833029.1
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA	XP_034833025.1, XP_034832955.1
OG0000013	JC_03051-RA, JC_03952-RA	XP_034839913.1, XP_034830013.1
OG0000016	JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1
OG0000017	JC_15131-RA	XP_034828788.1, XP_034832231.1
OG0000018	JC_13020-RA	XP_034836233.1
OG0000018	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA	XP_034833257.1
OG0000020	JC_14441-RA	XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1
OG0000021	JC_15264-RA	XP_034830035.1, XP_034835587.1, XP_034836339.1, XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1
OG0000022	JC_00074-RA	XP_034840993.1
OG0000022	JC_00072-RA	XP_034824109.1
OG0000022	JC_16481-RA	XP_034839051.1
OG0000022	JC_16435-RA	XP_034839055.1
OG0000022	JC_00073-RA	XP_034824108.1
OG0000022	JC_15640-RA	XP_034836910.1
OG0000022	JC_14598-RA	XP_034826464.1
OG0000022	JC_14602-RA	XP_034826667.1
OG0000024	JC_07395-RA	XP_034831723.1
OG0000025	JC_16102-RA, JC_16101-RA	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000026	JC_09420-RA	XP_034837742.1, XP_034839914.1, XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1
OG0000028	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA	XP_034830316.1, XP_034828236.1
OG0000029	JC_11808-RA, JC_11809-RA, JC_11807-RA	XP_034827860.1
OG0000029	JC_00248-RA, JC_00251-RA	XP_034841164.1
OG0000029	JC_00252-RA, JC_00249-RA, JC_12809-RA	XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1
OG0000031	JC_07638-RA	XP_034832420.1
OG0000032	JC_08098-RA	XP_034832603.1, XP_034839638.1
OG0000032	JC_15112-RA	XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1
OG0000034	JC_02761-RA	XP_034825265.1
OG0000034	JC_02760-RA	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	JC_02341-RA	XP_034825541.1
OG0000034	JC_02354-RA	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	JC_02348-RA, JC_02347-RA	XP_034825435.1
OG0000036	JC_14663-RA	XP_034836753.1, XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1
OG0000037	JC_15113-RA, JC_16255-RA	XP_034824832.1
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	XP_034826459.1
OG0000038	JC_14539-RA	XP_034826460.1
OG0000039	JC_12161-RA, JC_12165-RA	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1
OG0000039	JC_12154-RA	XP_034827544.1
OG0000040	JC_11683-RA	XP_034837060.1
OG0000040	JC_07552-RA	XP_034833564.1, XP_034837813.1, XP_034837824.1, XP_034836883.1, XP_034840797.1
OG0000040	JC_00269-RA	XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1
OG0000041	JC_09842-RA	XP_034835173.1
OG0000045	JC_06642-RA	XP_034828902.1
OG0000045	JC_16748-RA	XP_034838919.1
OG0000045	JC_09127-RA	XP_034830124.1
OG0000045	JC_04431-RA	XP_034838349.1
OG0000045	JC_15568-RA, JC_15572-RA	XP_034837040.1
OG0000046	JC_05584-RA	XP_034829226.1
OG0000046	JC_05581-RA, JC_05583-RA	XP_034829217.1, XP_034829227.1
OG0000047	JC_01389-RA	XP_034832109.1, XP_034833557.1
OG0000047	JC_07380-RA, JC_01597-RA, JC_05829-RA, JC_14875-RA, JC_05828-RA, JC_16797-RA, JC_16798-RA, JC_12703-RA	XP_034839860.1, XP_034833612.1, XP_034833012.1, XP_034839910.1, XP_034840761.1, XP_034833610.1, XP_034836199.1, XP_034827777.1, XP_034840350.1, XP_034824778.1, XP_034839645.1, XP_034826550.1, XP_034833626.1, XP_034838846.1, XP_034840396.1, XP_034834203.1, XP_034840351.1, XP_034827765.1, XP_034834211.1, XP_034828875.1, XP_034831595.1, XP_034824162.1, XP_034824780.1, XP_034831554.1, XP_034827957.1, XP_034840721.1, XP_034839416.1, XP_034838794.1, XP_034840397.1, XP_034827766.1, XP_034834204.1, XP_034833613.1, XP_034836225.1, XP_034833011.1
OG0000048	JC_10761-RA, JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA, JC_15164-RA	XP_034824744.1
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA	XP_034826796.1, XP_034826810.1
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA	XP_034827036.1
OG0000050	JC_10512-RA	XP_034834926.1
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1
OG0000053	JC_00967-RA	XP_034836880.1
OG0000053	JC_00969-RA	XP_034836873.1
OG0000053	JC_00971-RA	XP_034836855.1, XP_034836849.1
OG0000053	JC_00972-RA	XP_034836863.1
OG0000054	JC_07335-RA	XP_034831832.1
OG0000054	JC_07330-RA	XP_034832273.1, XP_034832263.1, XP_034832264.1
OG0000054	JC_07332-RA, JC_07331-RA	XP_034826915.1, XP_034832271.1
OG0000056	JC_14900-RA	XP_034837196.1, XP_034837120.1
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	XP_034835052.1
OG0000057	JC_04526-RA, JC_04525-RA	XP_034824341.1, XP_034824712.1
OG0000060	JC_05725-RA, JC_05737-RA, JC_05736-RA	XP_034833415.1
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	XP_034833409.1, XP_034833592.1
OG0000061	JC_03624-RA	XP_034830407.1
OG0000061	JC_03621-RA	XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1
OG0000062	JC_05075-RA	XP_034824319.1
OG0000062	JC_17219-RA, JC_17016-RA, JC_17018-RA, JC_17015-RA, JC_17012-RA	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	XP_034826742.1
OG0000063	JC_09784-RA, JC_09386-RA	XP_034826743.1
OG0000063	JC_05993-RA	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1
OG0000066	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA	XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	JC_13669-RA, JC_13668-RA	XP_034826553.1, XP_034825998.1
OG0000068	JC_14221-RA	XP_034826565.1, XP_034826563.1
OG0000069	JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA	XP_034827503.1
OG0000071	JC_11424-RA	XP_034832601.1
OG0000073	JC_09483-RA	XP_034827345.1
OG0000073	JC_09579-RA	XP_034827002.1
OG0000073	JC_09593-RA, JC_09587-RA	XP_034827001.1
OG0000075	JC_03636-RA	XP_034830498.1
OG0000075	JC_03617-RA, JC_03616-RA	XP_034830943.1
OG0000075	JC_03392-RA	XP_034830541.1
OG0000076	JC_16781-RA, JC_16784-RA	XP_034838983.1
OG0000077	JC_04601-RA	XP_034824753.1
OG0000077	JC_04603-RA	XP_034824776.1
OG0000077	JC_04599-RA	XP_034824755.1
OG0000077	JC_04598-RA	XP_034824575.1
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	XP_034827858.1, XP_034833688.1
OG0000079	JC_09170-RA, JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA	XP_034830103.1, XP_034830100.1, XP_034830101.1
OG0000081	JC_15085-RA	XP_034832758.1
OG0000082	JC_15348-RA	XP_034837737.1
OG0000082	JC_15354-RA	XP_034837495.1
OG0000082	JC_15230-RA	XP_034837708.1
OG0000082	JC_15231-RA	XP_034837588.1
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	XP_034837435.1, XP_034837073.1, XP_034837074.1
OG0000084	JC_09083-RA	XP_034829605.1
OG0000085	JC_05545-RA, JC_05548-RA	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1
OG0000085	JC_05547-RA, JC_05546-RA	XP_034829482.1, XP_034829481.1
OG0000088	JC_16432-RA	XP_034838855.1
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	XP_034826751.1
OG0000089	JC_13927-RA, JC_10950-RA, JC_03949-RA, JC_14794-RA, JC_15101-RA	XP_034833735.1, XP_034833787.1, XP_034831243.1, XP_034837631.1, XP_034837907.1, XP_034838533.1, XP_034838261.1, XP_034838260.1, XP_034831244.1, XP_034825404.1
OG0000090	JC_04442-RA, JC_04443-RA	XP_034824729.1
OG0000092	JC_03404-RA, JC_03406-RA	XP_034830971.1
OG0000093	JC_15360-RA	XP_034837580.1
OG0000093	JC_15357-RA, JC_15358-RA	XP_034837597.1
OG0000093	JC_15363-RA	XP_034837561.1
OG0000094	JC_13682-RA	XP_034826064.1, XP_034826549.1
OG0000095	JC_00267-RA, JC_00268-RA, JC_00271-RA	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	JC_09719-RA, JC_09720-RA	XP_034826970.1, XP_034826971.1
OG0000096	JC_09724-RA	XP_034826805.1
OG0000096	JC_09722-RA, JC_09721-RA	XP_034826807.1, XP_034826966.1
OG0000097	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA	XP_034832726.1
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	XP_034828987.1
OG0000098	JC_05289-RA, JC_16086-RA, JC_16084-RA	XP_034828986.1, XP_034829450.1
OG0000099	JC_12866-RA, JC_12832-RA	XP_034838222.1, XP_034837852.1, XP_034837363.1, XP_034838220.1, XP_034838201.1, XP_034824329.1, XP_034833457.1, XP_034836471.1, XP_034829001.1, XP_034838105.1, XP_034840173.1
OG0000100	JC_10662-RA	XP_034834638.1
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000101	JC_09706-RA	XP_034833313.1
OG0000102	JC_14892-RA, JC_12066-RA, JC_14237-RA, JC_12068-RA	XP_034827509.1
OG0000102	JC_12048-RA	XP_034827511.1, XP_034827504.1
OG0000103	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA	XP_034827721.1
OG0000108	JC_16471-RA	XP_034839890.1, XP_034837747.1
OG0000110	JC_12230-RA	XP_034828312.1
OG0000110	JC_12232-RA, JC_12231-RA	XP_034827561.1
OG0000110	JC_12228-RA, JC_12227-RA, JC_12226-RA	XP_034828311.1
OG0000111	JC_06517-RA	XP_034828844.1
OG0000111	JC_04966-RA	XP_034824425.1
OG0000111	JC_04964-RA	XP_034824419.1
OG0000112	JC_08001-RA	XP_034824987.1
OG0000112	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1
OG0000113	JC_16665-RA	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	JC_11661-RA	XP_034827802.1, XP_034827577.1
OG0000115	JC_14206-RA	XP_034825883.1
OG0000115	JC_09318-RA	XP_034827053.1
OG0000115	JC_14203-RA	XP_034825882.1
OG0000116	JC_05019-RA	XP_034824340.1
OG0000116	JC_15737-RA, JC_09136-RA	XP_034830236.1
OG0000117	JC_11736-RA, JC_11741-RA	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	XP_034828156.1, XP_034828155.1
OG0000118	JC_15186-RA, JC_03928-RA	XP_034839973.1
OG0000122	JC_03302-RA	XP_034830824.1
OG0000122	JC_15261-RA	XP_034837883.1, XP_034825562.1, XP_034824123.1
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	XP_034835580.1
OG0000125	JC_13371-RA	XP_034825845.1
OG0000125	JC_13370-RA, JC_13369-RA	XP_034825844.1, XP_034825846.1
