Orthogroup	Vanessa_tameamea	Heliconius_melpomene_melpomene
OG0000000	XP_026490296.1	HMEL010556g1.t1
OG0000000	XP_026499445.1	HMEL037576g1.t1, HMEL012790g1.t1
OG0000000	XP_026485065.1	HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1
OG0000000	XP_026488880.1	HMEL035743g1.t1
OG0000000	XP_026490098.1	HMEL030971g1.t1
OG0000000	XP_026494144.1	HMEL037211g1.t1
OG0000000	XP_026493394.1	HMEL034079g1.t1
OG0000001	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1	HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1
OG0000001	XP_026485054.1	HMEL035948g1.t1, HMEL036899g1.t1, HMEL036975g1.t1, HMEL031105g1.t1, HMEL016914g1.t1, HMEL036425g1.t1, HMEL033330g1.t1, HMEL036034g1.t1, HMEL035200g1.t1, HMEL036885g1.t1, HMEL032934g1.t1, HMEL032942g1.t1, HMEL033464g1.t1, HMEL033322g1.t1, HMEL030158g1.t1, HMEL032944g1.t1, HMEL035885g1.t1, HMEL031657g1.t1, HMEL035495g1.t1, HMEL031161g1.t1, HMEL034726g1.t1, HMEL035940g1.t1, HMEL037232g1.t1, HMEL030002g1.t1, HMEL038221g1.t1, HMEL017756g1.t1, HMEL035464g1.t1, HMEL005819g1.t1, HMEL034670g1.t1, HMEL035422g1.t1, HMEL014143g1.t1, HMEL009419g1.t1, HMEL035436g1.t1, HMEL030858g1.t1, HMEL014652g1.t1, HMEL033652g1.t1, HMEL030773g1.t1, HMEL036655g1.t1, HMEL030157g1.t1, HMEL034616g1.t1, HMEL036178g1.t1, HMEL033439g1.t1, HMEL030014g1.t1, HMEL031162g1.t1, HMEL030042g1.t1, HMEL012633g1.t1, HMEL036959g1.t1, HMEL034291g1.t1, HMEL036264g1.t1, HMEL035611g1.t1, HMEL037700g1.t1, HMEL036526g1.t1, HMEL034995g1.t1, HMEL030584g1.t1, HMEL030324g1.t1, HMEL036835g1.t1, HMEL036838g1.t1, HMEL030634g1.t1, HMEL031491g1.t1, HMEL033325g1.t1, HMEL035879g1.t1, HMEL002598g1.t1, HMEL005489g1.t1, HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1, HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1, HMEL036523g1.t1, HMEL036658g1.t1, HMEL033087g1.t1, HMEL037525g1.t1, HMEL035628g1.t1, HMEL031588g1.t1, HMEL033046g1.t1, HMEL036928g1.t1, HMEL031587g1.t1, HMEL032983g1.t1, HMEL036310g1.t1, HMEL034323g1.t1, HMEL030449g1.t1, HMEL030375g1.t1, HMEL032965g1.t1, HMEL031010g1.t1, HMEL036405g1.t1, HMEL036126g1.t1, HMEL033133g1.t1, HMEL038142g1.t1, HMEL035343g1.t1, HMEL034840g1.t1, HMEL033773g1.t1, HMEL032939g1.t1, HMEL032340g1.t1, HMEL034356g1.t1, HMEL036929g1.t1, HMEL030080g1.t1, HMEL033189g1.t1, HMEL035251g1.t1, HMEL035443g1.t1, HMEL031449g1.t1, HMEL034355g1.t1, HMEL036127g1.t1, HMEL033885g1.t1, HMEL036811g1.t1, HMEL030322g1.t1, HMEL036866g1.t1, HMEL035861g1.t1, HMEL033273g1.t1, HMEL032335g1.t1, HMEL033520g1.t1, HMEL031560g1.t1, HMEL034378g1.t1, HMEL035108g1.t1, HMEL013866g1.t1, HMEL034359g1.t1, HMEL034568g1.t1, HMEL035494g1.t1, HMEL035171g1.t1, HMEL032760g1.t1, HMEL006440g1.t1, HMEL030077g1.t1, HMEL037983g1.t1, HMEL035414g1.t1, HMEL034173g1.t1, HMEL035881g1.t1, HMEL035416g1.t1, HMEL033413g1.t1, HMEL030846g1.t1, HMEL032281g1.t1, HMEL033045g1.t1, HMEL037356g1.t1, HMEL033086g1.t1, HMEL033483g1.t1, HMEL031233g1.t1, HMEL037127g1.t1, HMEL035838g1.t1, HMEL034964g1.t1, HMEL033592g1.t1, HMEL036601g1.t1, HMEL036839g1.t1, HMEL036836g1.t1, HMEL032905g1.t1, HMEL035503g1.t1, HMEL032822g1.t1, HMEL034648g1.t1, HMEL034552g1.t1, HMEL034142g1.t1
OG0000002	XP_026490714.1	HMEL036554g1.t1, HMEL034617g1.t1
