Orthogroup	Vanessa_cardui	Heliconius_erato_lativitta
OG0000002	Vcard_DToL03178-RA, Vcard_DToL17192-RA, Vcard_DToL15627-RA, Vcard_DToL18254-RA	HEL_005892-RA
OG0000002	Vcard_DToL02602-RA, Vcard_DToL10390-RA, Vcard_DToL17277-RA, Vcard_DToL09587-RA, Vcard_DToL15628-RA	HEL_009732-RA
OG0000002	Vcard_DToL10140-RA, Vcard_DToL15618-RA, Vcard_DToL15764-RA, Vcard_DToL04452-RA	HEL_006659-RA, HEL_010102-RA, HEL_007204-RA
OG0000002	Vcard_DToL16862-RA	HEL_005215-RA, HEL_000681-RA, HEL_006991-RA, HEL_003218-RA, HEL_006733-RA
OG0000002	Vcard_DToL17297-RA, Vcard_DToL04360-RA, Vcard_DToL00979-RA, Vcard_DToL02889-RA, Vcard_DToL03203-RA, Vcard_DToL10908-RA	HEL_010301-RA, HEL_011377-RA, HEL_010320-RA, HEL_007568-RA
OG0000002	Vcard_DToL02904-RA	HEL_011229-RA, HEL_006621-RA, HEL_010677-RA, HEL_005319-RA, HEL_000257-RA, HEL_009459-RA, HEL_012744-RA, HEL_008500-RA, HEL_007729-RA, HEL_000120-RA, HEL_002268-RA, HEL_011538-RA, HEL_003028-RA, HEL_009246-RA, HEL_013155-RA, HEL_013115-RA
OG0000004	Vcard_DToL15629-RA	HEL_006840-RA
OG0000004	Vcard_DToL15675-RA, Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA	HEL_006849-RA, HEL_006848-RA
OG0000007	Vcard_DToL07313-RA	HEL_006143-RA
OG0000007	Vcard_DToL00839-RA	HEL_012397-RA
OG0000007	Vcard_DToL16046-RA	HEL_013500-RA
OG0000009	Vcard_DToL17636-RA	HEL_011324-RA
OG0000009	Vcard_DToL17635-RA	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA
OG0000011	Vcard_DToL11283-RA	HEL_008992-RA
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	HEL_008872-RA
OG0000011	Vcard_DToL11230-RA	HEL_011236-RA
OG0000011	Vcard_DToL11231-RA	HEL_011238-RA
OG0000012	Vcard_DToL10647-RA	HEL_011034-RA
OG0000012	Vcard_DToL10656-RA	HEL_011043-RA
OG0000013	Vcard_DToL17989-RA, Vcard_DToL07085-RA, Vcard_DToL16772-RA	HEL_002158-RA
OG0000016	Vcard_DToL05496-RA	HEL_001996-RA
OG0000017	Vcard_DToL14198-RA	HEL_005435-RA
OG0000017	Vcard_DToL17605-RA, Vcard_DToL00869-RA	HEL_005434-RA
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA, Vcard_DToL00987-RA	HEL_002556-RA
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA	HEL_002558-RA, HEL_002871-RA
