Orthogroup	Pararge_aegeria	Junonia_coenia
OG0000000	XP_039749195.1	JC_15003-RA
OG0000001	XP_039755304.1	JC_02051-RA
OG0000003	XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1	JC_11525-RA
OG0000004	XP_039758007.1	JC_13605-RA
OG0000004	XP_039765531.1	JC_13594-RA
OG0000004	XP_039765606.1	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA
OG0000007	XP_039749697.1	JC_08873-RA
OG0000007	XP_039761305.1	JC_01109-RA
OG0000007	XP_039754496.1	JC_01591-RA
OG0000007	XP_039760528.1	JC_14896-RA
OG0000007	XP_039760566.1	JC_14757-RA
OG0000007	XP_039764480.1, XP_039764478.1	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	JC_16098-RA
OG0000009	XP_039748430.1, XP_039748472.1	JC_16100-RA, JC_14973-RA, JC_16099-RA
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA
OG0000011	XP_039757162.1	JC_11451-RA, JC_11450-RA
OG0000011	XP_039757108.1	JC_11394-RA
OG0000011	XP_039757385.1	JC_11395-RA
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	JC_11383-RA
OG0000011	XP_039757277.1	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA
OG0000012	XP_039750455.1	JC_06279-RA
OG0000016	XP_039745450.1, XP_039759548.1, XP_039761445.1	JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA
OG0000017	XP_039764358.1	JC_15131-RA
OG0000017	XP_039748749.1	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA
OG0000018	XP_039760351.1	JC_13020-RA
OG0000018	XP_039752824.1	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA
OG0000020	XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1	JC_14441-RA
OG0000021	XP_039763920.1, XP_039746712.1, XP_039757893.1, XP_039754386.1, XP_039764088.1, XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1	JC_15264-RA
OG0000021	XP_039760392.1	JC_11735-RA
OG0000021	XP_039750867.1, XP_039749157.1, XP_039749098.1, XP_039751427.1, XP_039754626.1, XP_039765547.1, XP_039746166.1, XP_039764907.1, XP_039762383.1, XP_039761554.1, XP_039759837.1, XP_039762160.1, XP_039757159.1, XP_039756236.1, XP_039755859.1, XP_039749062.1, XP_039751697.1, XP_039747748.1, XP_039745313.1, XP_039751534.1, XP_039751398.1, XP_039751591.1, XP_039752615.1, XP_039753758.1, XP_039755644.1, XP_039755825.1, XP_039756555.1, XP_039758311.1, XP_039759241.1, XP_039745055.1, XP_039762908.1, XP_039762090.1, XP_039763847.1, XP_039763990.1, XP_039763899.1, XP_039761717.1, XP_039758093.1	JC_14788-RA
OG0000022	XP_039765727.1	JC_00074-RA
OG0000022	XP_039765296.1	JC_00072-RA
OG0000022	XP_039762875.1	JC_16481-RA
OG0000022	XP_039762709.1	JC_16435-RA
OG0000022	XP_039765728.1	JC_00073-RA
OG0000022	XP_039761167.1	JC_15640-RA
OG0000022	XP_039747684.1	JC_14598-RA
OG0000022	XP_039751415.1	JC_14595-RA
OG0000022	XP_039750917.1, XP_039752986.1	JC_14602-RA
OG0000024	XP_039763211.1, XP_039753156.1, XP_039763722.1	JC_07395-RA
OG0000024	XP_039753155.1	JC_07382-RA
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	JC_16102-RA, JC_16101-RA
OG0000026	XP_039750797.1, XP_039761461.1, XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1	JC_09420-RA
OG0000026	XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA
OG0000028	XP_039754209.1, XP_039752265.1	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA
OG0000029	XP_039751951.1	JC_11808-RA, JC_11809-RA, JC_11807-RA
OG0000029	XP_039745529.1	JC_00248-RA, JC_00251-RA
OG0000029	XP_039745528.1	JC_00252-RA, JC_00249-RA, JC_12809-RA
OG0000029	XP_039745420.1, XP_039745525.1	JC_00247-RA
OG0000031	XP_039753010.1	JC_07638-RA
OG0000032	XP_039763077.1, XP_039764294.1	JC_08098-RA
OG0000032	XP_039757087.1	JC_15112-RA
OG0000034	XP_039746294.1	JC_02761-RA
OG0000034	XP_039746103.1	JC_02341-RA
OG0000034	XP_039746398.1	JC_02354-RA
OG0000034	XP_039746268.1	JC_02348-RA, JC_02347-RA
OG0000036	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1	JC_14663-RA
OG0000037	XP_039754332.1	JC_15113-RA
OG0000038	XP_039749533.1	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA
OG0000039	XP_039752715.1	JC_12161-RA, JC_12165-RA
OG0000039	XP_039752213.1, XP_039752212.1	JC_12154-RA
OG0000040	XP_039746162.1, XP_039764273.1, XP_039757383.1	JC_11683-RA
OG0000040	XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1	JC_00269-RA
OG0000041	XP_039759472.1	JC_09842-RA
OG0000044	XP_039762498.1, XP_039762486.1, XP_039762637.1	JC_06620-RA
OG0000045	XP_039750219.1, XP_039750218.1	JC_06642-RA
OG0000045	XP_039762676.1	JC_16748-RA
OG0000045	XP_039750023.1	JC_09127-RA
OG0000045	XP_039761923.1	JC_04431-RA
OG0000045	XP_039760955.1	JC_15568-RA, JC_15572-RA
OG0000046	XP_039755063.1	JC_05584-RA
OG0000046	XP_039755067.1, XP_039755066.1	JC_05581-RA, JC_05583-RA
OG0000048	XP_039764514.1, XP_039746188.1, XP_039746229.1	JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA
OG0000049	XP_039751228.1	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA
OG0000049	XP_039751167.1	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA
OG0000050	XP_039756635.1, XP_039756638.1, XP_039756636.1	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA
OG0000052	XP_039755855.1	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA
OG0000053	XP_039752462.1	JC_00967-RA
OG0000053	XP_039760715.1	JC_00969-RA
OG0000053	XP_039761162.1	JC_00971-RA
OG0000053	XP_039754797.1	JC_00972-RA
OG0000054	XP_039753385.1	JC_07335-RA
OG0000054	XP_039753617.1, XP_039753386.1, XP_039753387.1, XP_039753618.1	JC_07330-RA
OG0000054	XP_039753616.1	JC_07332-RA, JC_07331-RA
OG0000056	XP_039760529.1, XP_039760686.1, XP_039760687.1	JC_14900-RA
OG0000057	XP_039759134.1, XP_039759133.1	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	XP_039759135.1	JC_10437-RA
OG0000057	XP_039749078.1	JC_04526-RA, JC_04525-RA
OG0000058	XP_039762497.1	JC_06466-RA
OG0000058	XP_039755222.1	JC_15097-RA
OG0000060	XP_039758412.1	JC_05725-RA
OG0000060	XP_039758865.1, XP_039758409.1, XP_039758410.1	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	JC_03626-RA, JC_03622-RA, JC_03625-RA, JC_03624-RA, JC_03621-RA, JC_03619-RA, JC_03623-RA, JC_03620-RA
OG0000062	XP_039749293.1	JC_05075-RA
OG0000062	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1	JC_17219-RA, JC_17016-RA, JC_17018-RA, JC_17015-RA, JC_17012-RA
OG0000063	XP_039751621.1, XP_039751623.1	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000063	XP_039751622.1	JC_09784-RA, JC_09386-RA
OG0000063	XP_039758398.1	JC_05993-RA
OG0000064	XP_039762469.1, XP_039762530.1, XP_039756330.1	JC_04496-RA, JC_09898-RA, JC_13551-RA
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA
OG0000066	XP_039760356.1	JC_12979-RA
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	JC_13669-RA, JC_13668-RA
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	JC_14221-RA
OG0000069	XP_039752768.1	JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA
OG0000071	XP_039757286.1	JC_11424-RA
OG0000073	XP_039751184.1, XP_039751183.1	JC_09483-RA
OG0000073	XP_039751407.1, XP_039751408.1	JC_09579-RA
OG0000073	XP_039751081.1	JC_09593-RA, JC_09587-RA
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	JC_03636-RA
OG0000075	XP_039753889.1	JC_03617-RA, JC_03616-RA
OG0000075	XP_039754353.1	JC_03392-RA
OG0000076	XP_039762746.1	JC_16781-RA, JC_16784-RA
OG0000077	XP_039749200.1	JC_04601-RA
OG0000077	XP_039748560.1, XP_039748561.1	JC_04599-RA
OG0000078	XP_039752453.1	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000079	XP_039749980.1, XP_039749979.1, XP_039749978.1	JC_09170-RA, JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA
OG0000081	XP_039759903.1, XP_039753370.1	JC_15085-RA
OG0000082	XP_039761740.1	JC_15348-RA
OG0000082	XP_039764229.1, XP_039764315.1, XP_039761712.1	JC_15354-RA
OG0000082	XP_039761433.1	JC_15231-RA
OG0000083	XP_039760601.1, XP_039760603.1, XP_039760602.1	JC_14785-RA, JC_14784-RA, JC_14786-RA
OG0000084	XP_039749417.1	JC_09083-RA
OG0000085	XP_039755091.1, XP_039749173.1, XP_039749174.1, XP_039749175.1	JC_05545-RA, JC_05548-RA
OG0000085	XP_039755026.1, XP_039755027.1, XP_039754791.1	JC_05547-RA, JC_05546-RA
OG0000088	XP_039751393.1	JC_09259-RA, JC_09269-RA
OG0000088	XP_039762785.1	JC_16432-RA
OG0000088	XP_039751496.1	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000090	XP_039749186.1	JC_04442-RA, JC_04443-RA
OG0000093	XP_039761758.1	JC_15360-RA
OG0000093	XP_039761603.1	JC_15357-RA, JC_15358-RA
OG0000093	XP_039761633.1, XP_039761632.1	JC_15363-RA
OG0000094	XP_039746862.1	JC_13682-RA
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	JC_00267-RA, JC_00268-RA, JC_00271-RA
OG0000096	XP_039751227.1	JC_09719-RA, JC_09720-RA
OG0000096	XP_039751260.1	JC_09724-RA
OG0000096	XP_039751463.1	JC_09722-RA, JC_09721-RA
OG0000097	XP_039757158.1	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA
OG0000098	XP_039754908.1	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA
OG0000098	XP_039754998.1, XP_039758854.1	JC_05289-RA, JC_16086-RA, JC_16084-RA
