Orthogroup	Heliconius_erato_lativitta	Vanessa_tameamea
OG0000000	HEL_012692-RA	XP_026499445.1
OG0000002	HEL_005892-RA	XP_026490714.1
OG0000004	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA	XP_026497757.1, XP_026497758.1
OG0000004	HEL_006849-RA, HEL_006848-RA	XP_026497755.1, XP_026497761.1, XP_026497765.1
OG0000007	HEL_006143-RA	XP_026496812.1
OG0000007	HEL_012397-RA	XP_026487005.1
OG0000007	HEL_013500-RA	XP_026498823.1
OG0000007	HEL_009509-RA	XP_026489575.1
OG0000007	HEL_009511-RA	XP_026489574.1
OG0000007	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA	XP_026487630.1
OG0000009	HEL_011324-RA	XP_026490612.1
OG0000009	HEL_011326-RA, HEL_011321-RA	XP_026490614.1
OG0000009	HEL_011323-RA	XP_026490617.1, XP_026490618.1
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1
OG0000011	HEL_008992-RA	XP_026500011.1
OG0000011	HEL_008872-RA	XP_026494591.1
OG0000011	HEL_011236-RA	XP_026494592.1
OG0000011	HEL_008932-RA	XP_026487937.1
OG0000011	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	XP_026487932.1
OG0000011	HEL_008927-RA	XP_026487933.1
OG0000013	HEL_002158-RA	XP_026497962.1, XP_026498879.1, XP_026496138.1, XP_026497446.1, XP_026485615.1, XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1, XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1
OG0000016	HEL_001996-RA	XP_026487868.1, XP_026494832.1, XP_026497219.1, XP_026498863.1
OG0000018	HEL_002556-RA	XP_026500174.1
OG0000018	HEL_002558-RA, HEL_002871-RA	XP_026486406.1
OG0000018	HEL_002560-RA	XP_026486538.1, XP_026497909.1
