Orthogroup	Danaus_plexippus	Other
OG0000041	DPOGS206520-PA	HMEL013644g1.t1
OG0000088	DPOGS202814-PA	HMEL003754g1.t1
OG0000156	DPOGS201022-PA, DPOGS201021-PA	HEL_013578-RA
OG0001014	DPOGS205566-PA	JC_09107-RA
