Orthogroup	Bicyclus_anynana	Heliconius_melpomene_melpomene
OG0000000	Bany_10989-RA, Bany_11431-RA	HMEL030135g1.t1, HMEL005700g1.t1
OG0000000	Bany_09337-RA	HMEL037287g1.t1, HMEL036621g1.t1, HMEL031731g1.t1, HMEL031358g1.t1, HMEL006377g1.t1, HMEL034894g1.t1, HMEL002383g1.t1
OG0000000	Bany_08400-RA	HMEL036333g1.t1
OG0000000	Bany_09799-RA	HMEL032009g1.t1
OG0000000	Bany_06551-RA, Bany_14763-RA	HMEL035117g1.t1, HMEL035735g1.t1
OG0000000	Bany_05444-RA	HMEL036710g1.t1, HMEL035681g1.t1, HMEL030374g1.t1
OG0000000	Bany_11260-RA	HMEL033722g1.t1
OG0000000	Bany_12392-RA	HMEL033990g1.t1, HMEL030434g1.t1, HMEL032742g1.t1, HMEL036172g1.t1, HMEL030411g1.t1, HMEL031169g1.t1, HMEL035346g1.t1, HMEL033523g1.t1, HMEL033521g1.t1, HMEL030389g1.t1, HMEL031224g1.t1, HMEL032816g1.t1, HMEL037023g1.t1, HMEL037566g1.t1, HMEL034626g1.t1, HMEL033554g1.t1, HMEL033601g1.t1, HMEL034957g1.t1, HMEL032583g1.t1, HMEL034860g1.t1, HMEL034482g1.t1
OG0000000	Bany_10374-RA, Bany_08919-RA, Bany_09274-RA	HMEL031378g1.t1
OG0000000	Bany_04291-RA, Bany_00350-RA, Bany_05622-RA, Bany_10641-RA, Bany_06111-RA, Bany_12035-RA, Bany_10617-RA, Bany_10756-RA, Bany_12415-RA, Bany_02606-RA, Bany_10051-RA, Bany_12992-RA, Bany_04852-RA, Bany_05251-RA	HMEL015405g1.t1, HMEL032483g1.t1
OG0000000	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA	HMEL037576g1.t1, HMEL012790g1.t1
OG0000000	Bany_06307-RA, Bany_01154-RA, Bany_16364-RA	HMEL003177g1.t1
OG0000000	Bany_12573-RA, Bany_00640-RA	HMEL016638g1.t1
OG0000000	Bany_13893-RA	HMEL037925g1.t1
OG0000000	Bany_16096-RA	HMEL033278g1.t1
OG0000000	Bany_17531-RA, Bany_09873-RA, Bany_17433-RA, Bany_12973-RA	HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1
OG0000000	Bany_07320-RA	HMEL030479g1.t1
OG0000000	Bany_08379-RA	HMEL037744g1.t1, HMEL033559g1.t1
OG0000000	Bany_15840-RA, Bany_12026-RA	HMEL035743g1.t1
OG0000000	Bany_09626-RA, Bany_03068-RA, Bany_16382-RA	HMEL002349g1.t1, HMEL032665g1.t1
OG0000000	Bany_13428-RA, Bany_17806-RA	HMEL036032g1.t1
OG0000000	Bany_13444-RA, Bany_02521-RA	HMEL030971g1.t1
OG0000000	Bany_12885-RA	HMEL036879g1.t1, HMEL037211g1.t1
OG0000000	Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA	HMEL035211g1.t1
OG0000000	Bany_12351-RA, Bany_13990-RA, Bany_17561-RA, Bany_07205-RA	HMEL030621g1.t1, HMEL034201g1.t1, HMEL030853g1.t1, HMEL035551g1.t1, HMEL017933g1.t1, HMEL030113g1.t1, HMEL038130g1.t1, HMEL030881g1.t1, HMEL035429g1.t1, HMEL036892g1.t1
OG0000000	Bany_05506-RA	HMEL037994g1.t1, HMEL036590g1.t1, HMEL036561g1.t1, HMEL036024g1.t1, HMEL034790g1.t1, HMEL038003g1.t1
OG0000000	Bany_03267-RA	HMEL031475g1.t1
OG0000000	Bany_17740-RA, Bany_05667-RA	HMEL031699g1.t1
