Orthogroup	Vanessa_cardui	Maniola_hyperantus
OG0000001	Vcard_DToL18102-RA, Vcard_DToL15240-RA, Vcard_DToL03608-RA	XP_034840840.1
OG0000002	Vcard_DToL02904-RA	XP_034832765.1
OG0000004	Vcard_DToL15667-RA	XP_034826579.1
OG0000004	Vcard_DToL15629-RA	XP_034826233.1
OG0000006	Vcard_DToL12185-RA, Vcard_DToL14984-RA, Vcard_DToL10389-RA	XP_034828886.1
OG0000007	Vcard_DToL07313-RA	XP_034829843.1
OG0000007	Vcard_DToL16046-RA	XP_034837123.1, XP_034837198.1
OG0000009	Vcard_DToL17636-RA	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	Vcard_DToL17635-RA	XP_034838399.1, XP_034838398.1
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000011	Vcard_DToL11283-RA	XP_034832805.1
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	XP_034832852.1
OG0000011	Vcard_DToL11230-RA, Vcard_DToL11231-RA	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000013	Vcard_DToL17989-RA, Vcard_DToL07085-RA, Vcard_DToL16772-RA	XP_034833645.1
OG0000016	Vcard_DToL05496-RA	XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1
OG0000017	Vcard_DToL14198-RA	XP_034828788.1, XP_034832231.1
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	XP_034836233.1
OG0000018	Vcard_DToL00987-RA	XP_034839247.1
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA, Vcard_DToL01560-RA	XP_034833257.1
OG0000020	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1, XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1
OG0000021	Vcard_DToL14989-RA	XP_034830035.1, XP_034835587.1, XP_034836339.1
OG0000022	Vcard_DToL16722-RA	XP_034826667.1
OG0000023	Vcard_DToL04995-RA	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1
OG0000023	Vcard_DToL09569-RA, Vcard_DToL02591-RA, Vcard_DToL09652-RA, Vcard_DToL12381-RA	XP_034833642.1
OG0000023	Vcard_DToL12529-RA, Vcard_DToL09838-RA	XP_034824447.1
OG0000025	Vcard_DToL17634-RA	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000029	Vcard_DToL02471-RA	XP_034841164.1
OG0000029	Vcard_DToL02470-RA	XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1
OG0000031	Vcard_DToL09360-RA	XP_034832420.1
OG0000034	Vcard_DToL03971-RA	XP_034825411.1
OG0000034	Vcard_DToL03973-RA	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	Vcard_DToL03370-RA	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	Vcard_DToL03379-RA	XP_034825435.1
OG0000037	Vcard_DToL07760-RA	XP_034824832.1
OG0000038	Vcard_DToL16692-RA	XP_034826459.1
OG0000038	Vcard_DToL16690-RA	XP_034826460.1
OG0000039	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1
OG0000041	Vcard_DToL13154-RA	XP_034835173.1
OG0000041	Vcard_DToL15605-RA	XP_034826598.1, XP_034826593.1
OG0000045	Vcard_DToL10351-RA	XP_034828902.1
OG0000045	Vcard_DToL18745-RA	XP_034838919.1
OG0000045	Vcard_DToL07613-RA	XP_034830124.1
