Orthogroup	Maniola_hyperantus	Pararge_aegeria
OG0000000	XP_034833605.1	XP_039751997.1
OG0000002	XP_034832765.1	XP_039763065.1, XP_039747912.1
OG0000004	XP_034826574.1	XP_039757795.1
OG0000004	XP_034826589.1, XP_034825964.1	XP_039758007.1
OG0000004	XP_034826233.1	XP_039765531.1
OG0000004	XP_034826572.1, XP_034825836.1	XP_039746222.1, XP_039746211.1
OG0000004	XP_034826578.1	XP_039765606.1
OG0000007	XP_034829843.1	XP_039749697.1
OG0000007	XP_034833027.1	XP_039761305.1
OG0000007	XP_034837123.1, XP_034837198.1	XP_039760528.1
OG0000007	XP_034837070.1	XP_039760566.1
OG0000007	XP_034837172.1	XP_039760400.1
OG0000007	XP_034838053.1	XP_039762034.1
OG0000007	XP_034840808.1	XP_039764480.1
OG0000009	XP_034838508.1	XP_039747517.1
OG0000009	XP_034838400.1	XP_039748386.1
OG0000009	XP_034838501.1, XP_034838500.1	XP_039747521.1, XP_039747518.1, XP_039747964.1
OG0000009	XP_034838399.1, XP_034838398.1	XP_039748430.1, XP_039748472.1
OG0000009	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1
OG0000010	XP_034837882.1	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1
OG0000011	XP_034832805.1	XP_039757162.1
OG0000011	XP_034832852.1	XP_039757108.1
OG0000011	XP_034832845.1	XP_039757385.1
OG0000011	XP_034833059.1	XP_039757384.1
OG0000011	XP_034832568.1	XP_039757107.1
OG0000011	XP_034832567.1	XP_039757124.1
OG0000011	XP_034832960.1, XP_034833028.1	XP_039757274.1
OG0000011	XP_034833025.1, XP_034832955.1	XP_039757277.1
OG0000011	XP_034832953.1, XP_034832961.1	XP_039757275.1
OG0000013	XP_034837462.1	XP_039764230.1
OG0000013	XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1	XP_039746104.1, XP_039746147.1
OG0000016	XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1	XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1
OG0000016	XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1	XP_039745450.1, XP_039759548.1, XP_039761445.1
OG0000017	XP_034828788.1, XP_034832231.1	XP_039764358.1
OG0000018	XP_034839317.1	XP_039752797.1
OG0000018	XP_034836233.1	XP_039760351.1
OG0000018	XP_034839247.1	XP_039752787.1
OG0000018	XP_034839259.1	XP_039752810.1
OG0000018	XP_034833257.1	XP_039752824.1
OG0000019	XP_034824469.1	XP_039762413.1
OG0000020	XP_034837626.1	XP_039758930.1, XP_039764182.1, XP_039757084.1
OG0000020	XP_034839451.1, XP_034838226.1, XP_034837941.1	XP_039745257.1, XP_039749341.1
OG0000020	XP_034837019.1	XP_039747706.1
OG0000020	XP_034829818.1	XP_039758068.1
OG0000020	XP_034836572.1	XP_039761310.1, XP_039758082.1
OG0000020	XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1	XP_039763959.1
OG0000020	XP_034829410.1	XP_039764318.1
OG0000020	XP_034827412.1	XP_039758011.1
OG0000020	XP_034824911.1	XP_039758209.1
OG0000021	XP_034835587.1	XP_039763920.1
OG0000021	XP_034836339.1	XP_039746712.1
OG0000021	XP_034840374.1, XP_034826551.1, XP_034824262.1	XP_039761857.1, XP_039750798.1
OG0000021	XP_034830007.1	XP_039764350.1
OG0000021	XP_034827881.1	XP_039759637.1
OG0000021	XP_034840153.1	XP_039751439.1
OG0000022	XP_034840993.1	XP_039765727.1
OG0000022	XP_034824109.1	XP_039765296.1
OG0000022	XP_034839051.1	XP_039762875.1
OG0000022	XP_034839055.1	XP_039762709.1
OG0000022	XP_034824108.1	XP_039765728.1
OG0000022	XP_034836910.1	XP_039761167.1
OG0000022	XP_034826464.1	XP_039747684.1
OG0000022	XP_034826667.1	XP_039752986.1
OG0000023	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1	XP_039755787.1, XP_039761864.1, XP_039763079.1
OG0000023	XP_034824447.1	XP_039760327.1, XP_039758834.1, XP_039746209.1
OG0000024	XP_034831723.1	XP_039753156.1
OG0000025	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1
OG0000025	XP_034838387.1	XP_039748242.1
OG0000025	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1
OG0000026	XP_034837742.1, XP_034839914.1	XP_039750797.1, XP_039761461.1
OG0000026	XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1	XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1
OG0000028	XP_034826918.1, XP_034826917.1	XP_039756644.1
OG0000028	XP_034834764.1	XP_039756364.1
OG0000028	XP_034834919.1	XP_039756209.1
OG0000028	XP_034834728.1	XP_039756129.1
OG0000028	XP_034834729.1	XP_039756114.1
OG0000028	XP_034834730.1, XP_034834731.1	XP_039756115.1
OG0000028	XP_034830316.1	XP_039754209.1
OG0000028	XP_034828236.1	XP_039752265.1
OG0000029	XP_034827860.1	XP_039751951.1
OG0000029	XP_034827780.1, XP_034827861.1, XP_034827854.1	XP_039752755.1
OG0000029	XP_034841164.1	XP_039745529.1
OG0000029	XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1	XP_039745528.1
OG0000031	XP_034832420.1	XP_039753010.1
OG0000032	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1	XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1
OG0000032	XP_034831602.1, XP_034836303.1, XP_034827095.1	XP_039758874.1, XP_039764419.1, XP_039749234.1
OG0000032	XP_034839638.1	XP_039763077.1, XP_039764294.1
OG0000032	XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1	XP_039757087.1
OG0000034	XP_034825265.1	XP_039746294.1
OG0000034	XP_034825411.1	XP_039746452.1
OG0000034	XP_034825541.1	XP_039746103.1
OG0000034	XP_034825327.1, XP_034825329.1, XP_034825328.1	XP_039746398.1
OG0000034	XP_034825435.1	XP_039746268.1
OG0000036	XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1	XP_039758863.1
OG0000036	XP_034833647.1	XP_039751950.1
OG0000036	XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1	XP_039749280.1, XP_039757876.1
OG0000036	XP_034833570.1	XP_039761419.1
OG0000036	XP_034829464.1	XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1
OG0000037	XP_034824832.1	XP_039754332.1
OG0000038	XP_034826459.1	XP_039749533.1
OG0000038	XP_034826458.1, XP_034826457.1	XP_039747874.1
OG0000039	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1	XP_039752715.1
OG0000039	XP_034827544.1	XP_039752213.1, XP_039752212.1
OG0000039	XP_034827796.1, XP_034828095.1, XP_034828091.1	XP_039751868.1
OG0000040	XP_034837060.1	XP_039746162.1, XP_039764273.1, XP_039757383.1
OG0000040	XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1	XP_039763948.1
OG0000040	XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1	XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1
OG0000041	XP_034835173.1	XP_039759472.1
OG0000041	XP_034826640.1	XP_039749285.1
OG0000041	XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1	XP_039749003.1
OG0000041	XP_034826598.1	XP_039759561.1
OG0000041	XP_034826593.1	XP_039746548.1
OG0000042	XP_034838869.1, XP_034838771.1, XP_034837829.1, XP_034837830.1, XP_034837848.1, XP_034841248.1, XP_034837860.1, XP_034838392.1, XP_034838162.1, XP_034837827.1, XP_034837846.1, XP_034834197.1, XP_034837823.1, XP_034839101.1, XP_034838762.1, XP_034826546.1, XP_034837817.1, XP_034837842.1, XP_034838171.1, XP_034838797.1, XP_034838796.1, XP_034836850.1, XP_034837838.1, XP_034836298.1, XP_034838376.1, XP_034838066.1, XP_034835715.1, XP_034839078.1, XP_034838048.1, XP_034838049.1, XP_034838237.1, XP_034834257.1, XP_034838868.1, XP_034837845.1, XP_034838766.1, XP_034837826.1, XP_034838769.1, XP_034838770.1, XP_034838768.1, XP_034838836.1, XP_034840357.1, XP_034838035.1, XP_034838837.1, XP_034838801.1, XP_034839082.1, XP_034837729.1, XP_034837902.1	XP_039746819.1, XP_039746820.1, XP_039746816.1, XP_039746817.1, XP_039746818.1
OG0000045	XP_034828902.1	XP_039750219.1, XP_039750218.1
OG0000045	XP_034838919.1	XP_039762676.1
OG0000045	XP_034830124.1	XP_039750023.1
OG0000045	XP_034838349.1	XP_039761923.1
OG0000045	XP_034824903.1	XP_039748547.1
OG0000045	XP_034837040.1	XP_039760955.1
OG0000046	XP_034829226.1	XP_039755063.1
OG0000046	XP_034829217.1	XP_039755067.1
OG0000046	XP_034829227.1	XP_039755066.1
OG0000046	XP_034829489.1	XP_039755249.1
OG0000046	XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1	XP_039755070.1
OG0000046	XP_034829488.1	XP_039755248.1
OG0000046	XP_034829485.1	XP_039755069.1
OG0000046	XP_034829486.1	XP_039755247.1
OG0000046	XP_034829219.1	XP_039759613.1
OG0000046	XP_034829225.1	XP_039755065.1
OG0000048	XP_034824744.1	XP_039764514.1, XP_039746188.1, XP_039746229.1
OG0000049	XP_034826808.1	XP_039751487.1, XP_039751486.1
OG0000049	XP_034826810.1	XP_039751228.1
OG0000049	XP_034827036.1	XP_039751167.1
OG0000050	XP_034834932.1	XP_039756635.1
OG0000050	XP_034834931.1, XP_034834930.1, XP_034834929.1	XP_039756638.1
OG0000050	XP_034834927.1	XP_039756636.1
OG0000051	XP_034839452.1	XP_039759681.1
OG0000051	XP_034838312.1	XP_039764323.1
OG0000051	XP_034837949.1	XP_039764161.1
OG0000051	XP_034839757.1	XP_039753845.1, XP_039755457.1, XP_039752827.1, XP_039763915.1
OG0000051	XP_034829819.1	XP_039758075.1
OG0000053	XP_034836880.1	XP_039752462.1
OG0000053	XP_034836873.1	XP_039760715.1
OG0000053	XP_034836855.1, XP_034836849.1	XP_039761162.1
OG0000053	XP_034836907.1	XP_039755401.1
OG0000053	XP_034836863.1	XP_039754797.1
OG0000054	XP_034831832.1	XP_039753385.1
OG0000054	XP_034832273.1	XP_039753617.1
OG0000054	XP_034832263.1	XP_039753386.1
OG0000054	XP_034832264.1	XP_039753387.1
OG0000054	XP_034826915.1, XP_034832271.1	XP_039753616.1
OG0000056	XP_034837121.1	XP_039760526.1
OG0000056	XP_034837196.1	XP_039760686.1
OG0000056	XP_034837120.1	XP_039760687.1
OG0000057	XP_034835052.1	XP_039759134.1, XP_039759133.1
OG0000057	XP_034835063.1, XP_034835480.1, XP_034835479.1, XP_034835477.1	XP_039759292.1
OG0000057	XP_034824341.1, XP_034824712.1	XP_039749078.1
OG0000058	XP_034826643.1, XP_034830106.1	XP_039764265.1, XP_039763616.1, XP_039756642.1, XP_039763057.1, XP_039764264.1
OG0000058	XP_034834921.1, XP_034826968.1	XP_039760434.1, XP_039755811.1
OG0000059	XP_034833588.1	XP_039747896.1
OG0000059	XP_034834965.1, XP_034833954.1	XP_039762481.1, XP_039756353.1, XP_039749179.1, XP_039755237.1
OG0000059	XP_034834180.1, XP_034840031.1, XP_034839507.1	XP_039758583.1
OG0000059	XP_034837743.1, XP_034835710.1, XP_034838760.1, XP_034827073.1, XP_034825569.1, XP_034830755.1	XP_039749996.1
OG0000059	XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1	XP_039765851.1, XP_039764468.1, XP_039753360.1, XP_039755229.1
OG0000059	XP_034831599.1, XP_034829013.1, XP_034840426.1, XP_034830771.1, XP_034825630.1	XP_039761472.1, XP_039761858.1, XP_039760350.1
OG0000060	XP_034833415.1	XP_039758412.1
OG0000060	XP_034833409.1, XP_034833592.1	XP_039758865.1, XP_039758409.1, XP_039758410.1
OG0000061	XP_034830407.1, XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1	XP_039753921.1, XP_039754302.1, XP_039754300.1
OG0000062	XP_034824319.1	XP_039749293.1
OG0000062	XP_034838466.1	XP_039748112.1, XP_039747853.1
OG0000062	XP_034838027.1	XP_039762066.1
OG0000062	XP_034838024.1	XP_039762169.1
OG0000062	XP_034838026.1	XP_039762064.1
OG0000062	XP_034838022.1	XP_039762065.1
OG0000062	XP_034838342.1	XP_039762167.1
OG0000063	XP_034826742.1	XP_039751621.1, XP_039751623.1
OG0000063	XP_034826743.1	XP_039751622.1
OG0000063	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1	XP_039758398.1
OG0000063	XP_034830217.1	XP_039749990.1
OG0000064	XP_034831574.1	XP_039750964.1, XP_039750766.1
OG0000064	XP_034826614.1	XP_039757955.1
OG0000066	XP_034836236.1, XP_034836076.1, XP_034836075.1	XP_039760006.1, XP_039760007.1, XP_039759907.1
OG0000067	XP_034826553.1	XP_039764637.1
OG0000067	XP_034825998.1	XP_039764562.1, XP_039764553.1, XP_039764569.1
OG0000067	XP_034836359.1, XP_034836360.1	XP_039748182.1
OG0000067	XP_034836439.1	XP_039748270.1, XP_039748269.1, XP_039748271.1
OG0000067	XP_034826287.1	XP_039764543.1, XP_039764531.1, XP_039764537.1, XP_039764523.1
OG0000068	XP_034826565.1	XP_039750951.1, XP_039750943.1
OG0000068	XP_034826563.1	XP_039747893.1
OG0000069	XP_034827836.1, XP_034827837.1	XP_039752244.1, XP_039752695.1
OG0000069	XP_034827503.1	XP_039752768.1
OG0000071	XP_034832601.1	XP_039757286.1
OG0000073	XP_034827345.1	XP_039751184.1, XP_039751183.1
OG0000073	XP_034827002.1	XP_039751407.1, XP_039751408.1
OG0000073	XP_034827051.1	XP_039751336.1
OG0000073	XP_034827001.1	XP_039751081.1
OG0000075	XP_034830498.1	XP_039753948.1, XP_039753946.1, XP_039753947.1
OG0000075	XP_034830943.1	XP_039753889.1
OG0000075	XP_034830541.1	XP_039754353.1
OG0000076	XP_034828827.1, XP_034838412.1	XP_039750800.1
OG0000076	XP_034838763.1	XP_039762964.1
OG0000076	XP_034838983.1	XP_039762746.1
OG0000077	XP_034824753.1	XP_039749200.1
OG0000077	XP_034824755.1	XP_039748560.1, XP_039748561.1
OG0000078	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1	XP_039751952.1
OG0000078	XP_034827858.1, XP_034833688.1	XP_039752453.1
OG0000079	XP_034830103.1, XP_034830100.1, XP_034830101.1	XP_039749980.1
OG0000080	XP_034840379.1, XP_034837725.1, XP_034827807.1, XP_034831579.1, XP_034830025.1	XP_039760880.1
OG0000081	XP_034836299.1	XP_039763045.1, XP_039746418.1, XP_039756426.1
OG0000081	XP_034839928.1	XP_039763059.1
OG0000081	XP_034840776.1, XP_034835271.1, XP_034837149.1, XP_034839444.1	XP_039761266.1
OG0000081	XP_034832758.1	XP_039759903.1, XP_039753370.1
OG0000082	XP_034837737.1	XP_039761740.1
OG0000082	XP_034837493.1	XP_039761788.1
OG0000082	XP_034837495.1	XP_039764229.1, XP_039764315.1, XP_039761712.1
OG0000082	XP_034837588.1	XP_039761433.1
