Orthogroup	Danaus_plexippus	Maniola_hyperantus
OG0000001	DPOGS205612-PA	XP_034840840.1
OG0000001	DPOGS206033-PA	XP_034838060.1
OG0000004	DPOGS214685-PA	XP_034826574.1, XP_034826575.1, XP_034826576.1, XP_034829861.1, XP_034826577.1, XP_034825904.1, XP_034826589.1, XP_034825964.1, XP_034826579.1, XP_034826233.1, XP_034826572.1, XP_034825836.1, XP_034826578.1
OG0000007	DPOGS202008-PA	XP_034829843.1
OG0000007	DPOGS201926-PA	XP_034833027.1
OG0000007	DPOGS210283-PA	XP_034837123.1, XP_034837198.1
OG0000007	DPOGS204060-PA, DPOGS204061-PA	XP_034837239.1, XP_034837071.1
OG0000007	DPOGS204071-PA	XP_034837070.1
OG0000007	DPOGS204062-PA	XP_034837172.1
OG0000007	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA	XP_034840218.1, XP_034838053.1
OG0000007	DPOGS201332-PA	XP_034840808.1
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	XP_034838399.1, XP_034838398.1
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000010	DPOGS213850-PA, DPOGS215023-PA	XP_034837882.1
OG0000011	DPOGS205480-PA	XP_034832805.1
OG0000011	DPOGS200223-PA	XP_034832852.1
OG0000011	DPOGS210883-PA	XP_034833059.1, XP_034832568.1, XP_034832567.1
OG0000011	DPOGS208006-PA	XP_034833030.1, XP_034833029.1
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	XP_034833025.1, XP_034832955.1
OG0000013	DPOGS211040-PA	XP_034833645.1, XP_034830827.1, XP_034839862.1, XP_034839913.1, XP_034830013.1, XP_034837462.1, XP_034836352.1, XP_034827825.1, XP_034832179.1, XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1, XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1
OG0000016	DPOGS200806-PA	XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1, XP_034839614.1, XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1
