HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N6.HOG0000000	OG0000000	n3				HMEL036121g1.t1, HMEL005178g1.t1, HMEL033201g1.t1, HMEL030400g1.t1					
N6.HOG0000001	OG0000000	n12				HMEL016962g1.t1, HMEL037595g1.t1, HMEL037596g1.t1					
N6.HOG0000002	OG0000000	n15				HMEL030135g1.t1, HMEL005700g1.t1					
N6.HOG0000003	OG0000000	n22				HMEL037287g1.t1, HMEL036621g1.t1, HMEL031731g1.t1, HMEL031358g1.t1					
N6.HOG0000004	OG0000000	n26				HMEL006377g1.t1, HMEL034894g1.t1, HMEL002383g1.t1					
N6.HOG0000005	OG0000000	n30				HMEL010556g1.t1					
N6.HOG0000006	OG0000000	n31				HMEL030138g1.t1, HMEL034983g1.t1					
N6.HOG0000007	OG0000000	n33				HMEL037419g1.t1					
N6.HOG0000008	OG0000000	n34				HMEL030320g1.t1					
N6.HOG0000009	OG0000000	n36				HMEL036355g1.t1, HMEL002805g1.t1, HMEL034319g1.t1					
N6.HOG0000010	OG0000000	n49				HMEL036333g1.t1					
N6.HOG0000011	OG0000000	n60				HMEL032009g1.t1					
N6.HOG0000012	OG0000000	n61				HMEL035117g1.t1, HMEL035735g1.t1					
N6.HOG0000013	OG0000000	n69				HMEL036710g1.t1, HMEL035681g1.t1, HMEL030374g1.t1					
N6.HOG0000014	OG0000000	n72				HMEL033722g1.t1					
N6.HOG0000015	OG0000000	n76				HMEL033990g1.t1, HMEL030434g1.t1, HMEL032742g1.t1, HMEL036172g1.t1, HMEL030411g1.t1, HMEL031169g1.t1, HMEL035346g1.t1, HMEL033523g1.t1, HMEL033521g1.t1, HMEL030389g1.t1, HMEL031224g1.t1, HMEL032816g1.t1, HMEL037023g1.t1, HMEL037566g1.t1, HMEL034626g1.t1, HMEL033554g1.t1, HMEL033601g1.t1, HMEL034957g1.t1, HMEL032583g1.t1, HMEL034860g1.t1, HMEL034482g1.t1					
N6.HOG0000016	OG0000000	n97				HMEL031378g1.t1					
N6.HOG0000017	OG0000000	n100				HMEL015405g1.t1, HMEL032483g1.t1					
N6.HOG0000018	OG0000000	n117			HEL_012692-RA	HMEL037576g1.t1, HMEL012790g1.t1					
N6.HOG0000019	OG0000000	n129				HMEL003177g1.t1					
N6.HOG0000020	OG0000000	n133				HMEL016638g1.t1					
N6.HOG0000021	OG0000000	n138				HMEL037925g1.t1					
N6.HOG0000022	OG0000000	n140				HMEL033278g1.t1					
N6.HOG0000023	OG0000000	n156				HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1					
N6.HOG0000024	OG0000000	n172				HMEL030479g1.t1					
N6.HOG0000025	OG0000000	n174				HMEL037744g1.t1, HMEL033559g1.t1					
N6.HOG0000026	OG0000000	n177				HMEL035743g1.t1					
N6.HOG0000027	OG0000000	n181				HMEL002349g1.t1, HMEL032665g1.t1					
N6.HOG0000028	OG0000000	n185				HMEL036032g1.t1					
N6.HOG0000029	OG0000000	n190				HMEL030971g1.t1					
N6.HOG0000030	OG0000000	n195				HMEL036879g1.t1, HMEL037211g1.t1					
N6.HOG0000031	OG0000000	n201				HMEL032721g1.t1, HMEL033318g1.t1, HMEL034443g1.t1, HMEL033590g1.t1, HMEL030870g1.t1, HMEL034014g1.t1, HMEL033778g1.t1, HMEL036222g1.t1, HMEL034751g1.t1, HMEL032362g1.t1, HMEL031474g1.t1, HMEL036564g1.t1, HMEL035707g1.t1, HMEL035697g1.t1, HMEL035708g1.t1					
N6.HOG0000032	OG0000000	n217				HMEL035211g1.t1					
N6.HOG0000033	OG0000000	n225				HMEL030621g1.t1, HMEL034201g1.t1, HMEL030853g1.t1, HMEL035551g1.t1, HMEL017933g1.t1, HMEL030113g1.t1, HMEL038130g1.t1, HMEL030881g1.t1, HMEL035429g1.t1, HMEL036892g1.t1					
N6.HOG0000034	OG0000000	n241				HMEL037994g1.t1, HMEL036590g1.t1, HMEL036561g1.t1, HMEL036024g1.t1, HMEL034790g1.t1, HMEL038003g1.t1					
N6.HOG0000035	OG0000000	n248				HMEL031475g1.t1					
