Orthogroup	Pararge_aegeria	Heliconius_erato_lativitta
OG0000002	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1	HEL_005892-RA
OG0000002	XP_039749643.1, XP_039755482.1, XP_039756937.1	HEL_005215-RA, HEL_000681-RA, HEL_006991-RA, HEL_003218-RA, HEL_006733-RA
OG0000002	XP_039763065.1, XP_039747912.1	HEL_008500-RA, HEL_007729-RA, HEL_000120-RA, HEL_002268-RA, HEL_011538-RA, HEL_003028-RA
OG0000004	XP_039758007.1	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA
OG0000004	XP_039765531.1	HEL_006840-RA
OG0000004	XP_039765606.1	HEL_006849-RA, HEL_006848-RA
OG0000007	XP_039749697.1	HEL_006143-RA
OG0000007	XP_039754496.1	HEL_012397-RA
OG0000007	XP_039760528.1	HEL_013500-RA
OG0000007	XP_039760400.1	HEL_009511-RA
OG0000007	XP_039762034.1	HEL_002389-RA
OG0000007	XP_039764480.1, XP_039764478.1	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	HEL_011324-RA
OG0000009	XP_039748430.1, XP_039748472.1	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA
OG0000011	XP_039757162.1	HEL_008992-RA
OG0000011	XP_039757108.1	HEL_008872-RA
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	HEL_011236-RA, HEL_011238-RA
OG0000011	XP_039757274.1	HEL_008930-RA, HEL_008933-RA
OG0000011	XP_039757277.1	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA
OG0000011	XP_039757275.1	HEL_008927-RA
OG0000013	XP_039764230.1, XP_039746104.1, XP_039746147.1	HEL_002158-RA
OG0000016	XP_039761457.1, XP_039760429.1, XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1, XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1, XP_039745450.1, XP_039759548.1, XP_039761445.1, XP_039760421.1	HEL_001996-RA
OG0000018	XP_039760351.1, XP_039752787.1	HEL_002556-RA
OG0000018	XP_039752828.1	HEL_002557-RA
OG0000018	XP_039752824.1	HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA
OG0000022	XP_039765727.1	HEL_013117-RA
OG0000022	XP_039765728.1	HEL_012949-RA
OG0000022	XP_039747684.1	HEL_003384-RA
OG0000022	XP_039750917.1, XP_039752986.1	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA
OG0000024	XP_039763211.1, XP_039753156.1, XP_039763722.1	HEL_003522-RA
OG0000024	XP_039753155.1	HEL_003520-RA
OG0000025	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	HEL_011319-RA
OG0000028	XP_039756644.1, XP_039756364.1, XP_039756209.1, XP_039756129.1, XP_039756114.1, XP_039756115.1, XP_039754209.1, XP_039752265.1	HEL_011818-RA, HEL_011811-RA
OG0000029	XP_039745529.1	HEL_001272-RA
OG0000031	XP_039753010.1	HEL_012127-RA
OG0000032	XP_039763077.1, XP_039764294.1	HEL_003341-RA
OG0000034	XP_039746452.1	HEL_004511-RA, HEL_004512-RA
OG0000034	XP_039746398.1	HEL_003973-RA
OG0000034	XP_039746268.1	HEL_003968-RA
OG0000036	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1	HEL_008947-RA, HEL_010219-RA
OG0000038	XP_039749533.1	HEL_003342-RA
OG0000038	XP_039747874.1	HEL_003344-RA, HEL_003333-RA
