Orthogroup	Vanessa_tameamea	Danaus_plexippus
OG0000000	XP_026490098.1	DPOGS204561-PA
OG0000000	XP_026493394.1	DPOGS208590-PA
OG0000001	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1	DPOGS205612-PA
OG0000001	XP_026485054.1	DPOGS206033-PA
OG0000003	XP_026493386.1, XP_026496911.1	DPOGS213976-PA
OG0000004	XP_026497789.1, XP_026497757.1, XP_026497758.1, XP_026497760.1, XP_026497755.1, XP_026497761.1, XP_026497765.1	DPOGS214685-PA
OG0000007	XP_026496812.1	DPOGS202008-PA
OG0000007	XP_026494722.1	DPOGS201926-PA
OG0000007	XP_026487005.1	DPOGS209071-PA
OG0000007	XP_026498823.1	DPOGS210283-PA
OG0000007	XP_026489575.1	DPOGS204060-PA, DPOGS204061-PA, DPOGS204071-PA
OG0000007	XP_026489574.1	DPOGS204062-PA
OG0000007	XP_026487630.1	DPOGS201332-PA
OG0000009	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA
OG0000010	XP_026497515.1	DPOGS213850-PA, DPOGS215023-PA
OG0000011	XP_026500011.1	DPOGS205480-PA
OG0000011	XP_026494591.1	DPOGS200223-PA
OG0000011	XP_026494592.1	DPOGS210883-PA
OG0000011	XP_026487937.1	DPOGS208006-PA
OG0000011	XP_026487932.1	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000013	XP_026497962.1, XP_026498879.1, XP_026496138.1, XP_026497446.1, XP_026485615.1, XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1, XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1	DPOGS211040-PA
OG0000016	XP_026487868.1, XP_026494832.1, XP_026497219.1, XP_026498863.1	DPOGS200806-PA
OG0000018	XP_026500174.1, XP_026486406.1, XP_026486403.1, XP_026501049.1, XP_026486538.1, XP_026497909.1	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	XP_026499906.1, XP_026498149.1	DPOGS208960-PA
OG0000022	XP_026484827.1	DPOGS202417-PA
OG0000022	XP_026484834.1	DPOGS202402-PA
OG0000022	XP_026486487.1	DPOGS200512-PA
OG0000022	XP_026483171.1	DPOGS209862-PA
OG0000022	XP_026484818.1	DPOGS202403-PA
OG0000022	XP_026486002.1	DPOGS215440-PA
OG0000022	XP_026489859.1	DPOGS213388-PA
OG0000022	XP_026496869.1	DPOGS213385-PA
OG0000025	XP_026490610.1	DPOGS206751-PA, DPOGS206755-PA
OG0000025	XP_026490605.1, XP_026490616.1	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	XP_026495729.1, XP_026495795.1, XP_026498861.1	DPOGS205336-PA
OG0000031	XP_026499704.1, XP_026499703.1	DPOGS212301-PA
OG0000032	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1, XP_026499980.1	DPOGS200472-PA
OG0000034	XP_026491775.1	DPOGS205641-PA
OG0000034	XP_026491689.1	DPOGS205643-PA
OG0000034	XP_026491466.1	DPOGS202647-PA
OG0000034	XP_026491224.1	DPOGS202676-PA
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	DPOGS202644-PA
OG0000035	XP_026492510.1	DPOGS204320-PA, DPOGS215450-PA
OG0000036	XP_026487154.1, XP_026488619.1, XP_026499962.1, XP_026500896.1, XP_026496433.1	DPOGS213885-PA
OG0000038	XP_026490184.1, XP_026490183.1	DPOGS214966-PA
OG0000039	XP_026488881.1	DPOGS201794-PA, DPOGS201792-PA
OG0000040	XP_026499742.1	DPOGS211359-PA
OG0000041	XP_026490916.1	DPOGS210496-PA
OG0000041	XP_026491898.1, XP_026483601.1	DPOGS206520-PA
OG0000041	XP_026497751.1	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA
OG0000044	XP_026500138.1	DPOGS216008-PA
OG0000045	XP_026485346.1	DPOGS210702-PA, DPOGS210700-PA
OG0000045	XP_026489199.1	DPOGS210250-PA
OG0000045	XP_026488897.1	DPOGS212775-PA
OG0000045	XP_026493800.1, XP_026493802.1	DPOGS213925-PA, DPOGS213901-PA
OG0000046	XP_026496278.1	DPOGS209145-PA
