Orthogroup	Maniola_hyperantus	Bicyclus_anynana
OG0000000	XP_034833605.1	Bany_10989-RA, Bany_11431-RA
OG0000000	XP_034832243.1	Bany_18012-RA
OG0000000	XP_034839969.1	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA
OG0000000	XP_034830096.1	Bany_17433-RA, Bany_12973-RA
OG0000000	XP_034837767.1	Bany_12885-RA
OG0000001	XP_034840840.1	Bany_13515-RA
OG0000001	XP_034838060.1	Bany_07607-RA
OG0000002	XP_034832765.1	Bany_13333-RA, Bany_02352-RA
OG0000004	XP_034826574.1	Bany_02377-RA
OG0000004	XP_034826575.1	Bany_01306-RA
OG0000004	XP_034826589.1, XP_034825964.1	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA
OG0000004	XP_034826572.1, XP_034825836.1	Bany_02376-RA
OG0000006	XP_034828886.1	Bany_07769-RA, Bany_12743-RA
OG0000007	XP_034829843.1	Bany_12085-RA
OG0000007	XP_034833027.1	Bany_05169-RA
OG0000007	XP_034837123.1, XP_034837198.1	Bany_17822-RA
OG0000007	XP_034837239.1, XP_034837071.1	Bany_18091-RA
OG0000007	XP_034837070.1	Bany_18092-RA
OG0000007	XP_034840218.1	Bany_03694-RA
OG0000007	XP_034838053.1	Bany_12803-RA, Bany_12804-RA
OG0000007	XP_034840808.1	Bany_03693-RA
OG0000009	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1	Bany_06680-RA, Bany_06677-RA
OG0000009	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA
OG0000010	XP_034837882.1	Bany_03810-RA
OG0000011	XP_034832805.1	Bany_13339-RA
OG0000011	XP_034832845.1	Bany_13158-RA
OG0000011	XP_034833059.1, XP_034832568.1, XP_034832567.1	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA
OG0000011	XP_034832960.1, XP_034833028.1	Bany_13052-RA
OG0000011	XP_034833030.1, XP_034833029.1	Bany_13051-RA
OG0000011	XP_034833025.1, XP_034832955.1	Bany_13053-RA
OG0000011	XP_034832953.1, XP_034832961.1	Bany_13055-RA
OG0000013	XP_034833645.1	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA
OG0000013	XP_034830827.1	Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA
OG0000013	XP_034839862.1	Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA
OG0000013	XP_034839913.1, XP_034830013.1	Bany_11488-RA
OG0000013	XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1	Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA
OG0000017	XP_034828788.1, XP_034832231.1	Bany_02945-RA
OG0000018	XP_034836233.1	Bany_16974-RA
OG0000018	XP_034839259.1, XP_034833257.1	Bany_04504-RA
