Orthogroup	Maniola_hyperantus	Heliconius_melpomene_melpomene
OG0000000	XP_034833605.1	HMEL030135g1.t1, HMEL005700g1.t1
OG0000000	XP_034830096.1	HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1
OG0000000	XP_034837767.1	HMEL036879g1.t1, HMEL037211g1.t1
OG0000001	XP_034840840.1	HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1
OG0000001	XP_034838060.1	HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1
OG0000002	XP_034832765.1	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1, HMEL034431g1.t1, HMEL037919g1.t1, HMEL031235g1.t1, HMEL035050g1.t1, HMEL030343g1.t1
OG0000004	XP_034826575.1	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA, HMEL022644-RA, HMEL022672-RA
OG0000004	XP_034826576.1, XP_034829861.1, XP_034826577.1	HMEL022649-RA, HMEL022642-RA
OG0000004	XP_034825904.1	HMEL022631-RA, HMEL022626-RA
OG0000004	XP_034826589.1, XP_034825964.1	HMEL022640-RA, HMEL022652-RA
OG0000004	XP_034826233.1	HMEL022633-RA
OG0000004	XP_034826578.1	HMEL022671-RA, HMEL022653-RA
OG0000006	XP_034828886.1	HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1, HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1, HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1, HMEL035992g1.t1
OG0000007	XP_034829843.1	HMEL012825g1.t1
OG0000007	XP_034833027.1	HMEL030866g1.t1
OG0000007	XP_034837123.1, XP_034837198.1	HMEL003519g1.t1
OG0000007	XP_034837239.1, XP_034837071.1	HMEL013136g1.t1
OG0000007	XP_034838053.1	HMEL033385g1.t1
OG0000007	XP_034840808.1	HMEL012399g1.t1
OG0000009	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1	HMEL037374g1.t1
OG0000009	XP_034838399.1, XP_034838398.1	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1
OG0000009	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	HMEL011209g1.t1
OG0000010	XP_034837882.1	HMEL030787g1.t1
OG0000011	XP_034832805.1	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	XP_034832852.1	HMEL033610g1.t1
OG0000011	XP_034832845.1	HMEL033611g1.t1
OG0000011	XP_034833059.1, XP_034832568.1, XP_034832567.1	HMEL017520g1.t1
OG0000011	XP_034833030.1, XP_034833029.1	HMEL003019g1.t1, HMEL003018g1.t1
OG0000011	XP_034833025.1, XP_034832955.1	HMEL003020g1.t1, HMEL011718g1.t1
OG0000011	XP_034832953.1, XP_034832961.1	HMEL003022g1.t1
OG0000013	XP_034830827.1	HMEL034362g1.t1
OG0000016	XP_034839614.1	HMEL037772g1.t1
OG0000016	XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1	HMEL030907g1.t1
OG0000017	XP_034828788.1, XP_034832231.1	HMEL035047g1.t1
OG0000018	XP_034836233.1	HMEL030430g1.t1
OG0000018	XP_034833257.1	HMEL030844g1.t1
OG0000021	XP_034830035.1, XP_034835587.1, XP_034836339.1, XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1	HMEL009528g1.t1
OG0000022	XP_034840993.1	HMEL030997g1.t1
OG0000022	XP_034824109.1	HMEL007417g1.t1
OG0000022	XP_034839051.1	HMEL017624g1.t1
OG0000022	XP_034839055.1	HMEL022608g1.t1
OG0000022	XP_034824108.1	HMEL006280g1.t1, HMEL002897g1.t1
OG0000022	XP_034826464.1	HMEL031458g1.t1
OG0000022	XP_034826667.1	HMEL031459g1.t1
OG0000023	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1	HMEL033227g1.t1
OG0000023	XP_034833642.1	HMEL031142g1.t1
OG0000025	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1	HMEL037385g1.t1
OG0000025	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1	HMEL037372g1.t1, HMEL011166g1.t1
OG0000026	XP_034837742.1, XP_034839914.1, XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1	HMEL033398g1.t1
OG0000028	XP_034826918.1, XP_034826917.1, XP_034834764.1, XP_034834919.1, XP_034834728.1, XP_034834729.1, XP_034834730.1, XP_034834731.1, XP_034830316.1, XP_034828236.1	HMEL004610g1.t1, HMEL014440g1.t1
OG0000029	XP_034841164.1, XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1	HMEL003326g1.t1
OG0000032	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1	HMEL030081g1.t1, HMEL032977g1.t1
OG0000032	XP_034832603.1, XP_034839638.1	HMEL015875g1.t1
OG0000034	XP_034825265.1	HMEL005861g1.t1
OG0000034	XP_034825541.1	HMEL033976g1.t1
OG0000034	XP_034825327.1, XP_034825329.1, XP_034825328.1	HMEL033982g1.t1
OG0000034	XP_034825435.1	HMEL033974g1.t1
OG0000036	XP_034829464.1	HMEL034344g1.t1
OG0000037	XP_034824832.1	HMEL030118g1.t1, HMEL030807g1.t1, HMEL032651g1.t1, HMEL033157g1.t1, HMEL030931g1.t1, HMEL034171g1.t1, HMEL031033g1.t1, HMEL036617g1.t1, HMEL033891g1.t1, HMEL017796g1.t1, HMEL032024g1.t1, HMEL009627g1.t1, HMEL009684g1.t1, HMEL033218g1.t1, HMEL017989g1.t1, HMEL021858g1.t1, HMEL008299g1.t1, HMEL033785g1.t1, HMEL031808g1.t1, HMEL032482g1.t1, HMEL032792g1.t1, HMEL031085g1.t1, HMEL036171g1.t1, HMEL032928g1.t1, HMEL030405g1.t1, HMEL034583g1.t1, HMEL036300g1.t1, HMEL031269g1.t1, HMEL012162g1.t1, HMEL034038g1.t1, HMEL033741g1.t1, HMEL037455g1.t1, HMEL036329g1.t1, HMEL033336g1.t1, HMEL032344g1.t1, HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1, HMEL036967g1.t1, HMEL031863g1.t1, HMEL034939g1.t1, HMEL030172g1.t1, HMEL017728g1.t1, HMEL033625g1.t1, HMEL030893g1.t1, HMEL035832g1.t1, HMEL035089g1.t1, HMEL036426g1.t1, HMEL038227g1.t1, HMEL035759g1.t1
OG0000038	XP_034826460.1	HMEL014479g1.t1
OG0000038	XP_034826458.1, XP_034826457.1	HMEL031441g1.t1
OG0000039	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA
OG0000039	XP_034827544.1	HMEL017154-RA
OG0000040	XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1	HMEL031366g1.t1
OG0000041	XP_034835173.1	HMEL032630g1.t1
OG0000041	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1	HMEL013650g1.t1
OG0000041	XP_034826598.1, XP_034826593.1	HMEL004252g1.t1
OG0000045	XP_034828902.1	HMEL036019g1.t1
OG0000045	XP_034830124.1	HMEL037144g1.t1
OG0000045	XP_034838349.1	HMEL031793g1.t1
OG0000045	XP_034837040.1	HMEL034418g1.t1
OG0000046	XP_034829217.1, XP_034829227.1, XP_034829489.1, XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1, XP_034829488.1, XP_034829485.1, XP_034829486.1, XP_034829219.1, XP_034829225.1	HMEL010111g1.t1
OG0000048	XP_034824744.1	HMEL022308g1.t1, HMEL033686g1.t1
OG0000049	XP_034826808.1	HMEL002471-RA
OG0000049	XP_034827036.1	HMEL008772-RA, HMEL003581-RA, HMEL003582-RA, HMEL008768-RA, HMEL008770-RA, HMEL003583-RA
OG0000050	XP_034834926.1	HMEL017073-RA
OG0000050	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA
OG0000053	XP_034836880.1	HMEL030922g1.t1
OG0000053	XP_034836873.1	HMEL009070g1.t1
OG0000053	XP_034836855.1, XP_034836849.1	HMEL009072g1.t1
OG0000053	XP_034836907.1	HMEL009071g1.t1
OG0000053	XP_034836863.1	HMEL009073g1.t1
OG0000054	XP_034831832.1	HMEL018015g1.t1
OG0000054	XP_034832273.1	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1
OG0000054	XP_034832263.1, XP_034832264.1	HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	XP_034826915.1, XP_034832271.1	HMEL031505g1.t1
OG0000056	XP_034837121.1	HMEL010939-RA
OG0000056	XP_034837117.1, XP_034837118.1, XP_034837116.1, XP_034837115.1, XP_034837119.1, XP_034837196.1, XP_034837120.1	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA
OG0000057	XP_034835052.1	HMEL003534g1.t1, HMEL032313g1.t1
OG0000057	XP_034824341.1, XP_034824712.1	HMEL006997g1.t1
OG0000058	XP_034834921.1, XP_034826968.1	HMEL036938g1.t1
OG0000059	XP_034833588.1	HMEL030984g1.t1, HMEL033425g1.t1
OG0000059	XP_034834965.1, XP_034833954.1, XP_034834180.1, XP_034840031.1, XP_034839507.1	HMEL014102g1.t1
OG0000059	XP_034837743.1, XP_034835710.1, XP_034838760.1, XP_034827073.1, XP_034825569.1, XP_034830755.1, XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1, XP_034831599.1, XP_034829013.1, XP_034840426.1, XP_034830771.1, XP_034825630.1	HMEL033410g1.t1
OG0000060	XP_034833415.1	HMEL012129g1.t1
