Orthogroup	Vanessa_tameamea	Bicyclus_anynana
OG0000000	XP_026484840.1	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA
OG0000000	XP_026500834.1	Bany_07062-RA, Bany_07743-RA
OG0000000	XP_026499971.1	Bany_10007-RA
OG0000000	XP_026499445.1	Bany_06480-RA, Bany_08378-RA, Bany_07342-RA, Bany_06481-RA, Bany_11220-RA, Bany_00737-RA
OG0000000	XP_026485065.1	Bany_17531-RA, Bany_09873-RA, Bany_17433-RA, Bany_12973-RA
OG0000000	XP_026488880.1	Bany_15840-RA, Bany_12026-RA
OG0000000	XP_026490098.1	Bany_13444-RA, Bany_02521-RA
OG0000000	XP_026494144.1	Bany_12885-RA
OG0000000	XP_026493394.1	Bany_08916-RA
OG0000001	XP_026501313.1, XP_026499446.1, XP_026499842.1, XP_026488483.1, XP_026490168.1, XP_026491700.1, XP_026498239.1, XP_026498877.1, XP_026484140.1	Bany_13515-RA
OG0000001	XP_026485054.1	Bany_07607-RA
OG0000002	XP_026490714.1	Bany_13153-RA, Bany_05863-RA, Bany_08981-RA
OG0000002	XP_026483300.1	Bany_06561-RA, Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA
OG0000004	XP_026497757.1, XP_026497758.1	Bany_01306-RA
OG0000006	XP_026499547.1, XP_026484138.1, XP_026490096.1	Bany_07769-RA, Bany_12743-RA
OG0000007	XP_026496812.1	Bany_12085-RA
OG0000007	XP_026494722.1	Bany_05169-RA
OG0000007	XP_026487005.1	Bany_04365-RA
OG0000007	XP_026498823.1	Bany_17822-RA
OG0000007	XP_026489575.1	Bany_18091-RA, Bany_18092-RA
OG0000007	XP_026487630.1	Bany_03693-RA, Bany_03690-RA
OG0000009	XP_026490612.1	Bany_06680-RA, Bany_06677-RA
OG0000009	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA
OG0000010	XP_026497515.1	Bany_05761-RA, Bany_07419-RA, Bany_03810-RA, Bany_12832-RA, Bany_07420-RA, Bany_12791-RA
OG0000011	XP_026500011.1	Bany_13339-RA
OG0000011	XP_026494618.1	Bany_13158-RA
OG0000011	XP_026494592.1	Bany_13176-RA
OG0000011	XP_026487937.1	Bany_13051-RA
OG0000011	XP_026487932.1	Bany_05712-RA, Bany_13053-RA
OG0000011	XP_026487933.1	Bany_13055-RA
OG0000013	XP_026498879.1, XP_026496138.1, XP_026497446.1	Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA
OG0000013	XP_026485615.1	Bany_11488-RA
OG0000013	XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1	Bany_08606-RA
OG0000018	XP_026500174.1	Bany_16974-RA
OG0000018	XP_026486406.1, XP_026486403.1, XP_026501049.1, XP_026486538.1, XP_026497909.1	Bany_04504-RA
OG0000020	XP_026499906.1, XP_026498149.1	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA
OG0000021	XP_026499326.1, XP_026498522.1	Bany_12775-RA
OG0000022	XP_026484827.1	Bany_00839-RA
OG0000022	XP_026486487.1	Bany_16283-RA
OG0000022	XP_026486002.1	Bany_17573-RA
OG0000022	XP_026496869.1	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA
OG0000023	XP_026492743.1	Bany_10369-RA, Bany_10129-RA, Bany_05735-RA, Bany_10428-RA
OG0000025	XP_026490610.1	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA
OG0000025	XP_026490616.1	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000026	XP_026499909.1, XP_026483831.1, XP_026499747.1	Bany_00115-RA
OG0000028	XP_026495729.1	Bany_14335-RA
OG0000028	XP_026495795.1	Bany_07987-RA, Bany_01182-RA
OG0000029	XP_026485191.1, XP_026485189.1	Bany_00663-RA, Bany_00664-RA
OG0000031	XP_026499704.1, XP_026499703.1	Bany_03256-RA
OG0000032	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1	Bany_14909-RA, Bany_07405-RA
OG0000032	XP_026499980.1	Bany_12629-RA
OG0000034	XP_026491689.1	Bany_05846-RA, Bany_05861-RA
OG0000034	XP_026491466.1	Bany_05253-RA
OG0000034	XP_026491224.1	Bany_05243-RA
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	Bany_05248-RA
OG0000035	XP_026492510.1	Bany_02371-RA, Bany_01586-RA, Bany_17576-RA, Bany_00397-RA, Bany_03849-RA, Bany_17488-RA
OG0000035	XP_026495880.1	Bany_11755-RA, Bany_13020-RA
OG0000035	XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1	Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA
OG0000036	XP_026487154.1	Bany_07167-RA, Bany_18121-RA
