Orthogroup	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
OG0014027	Bany_18173-RA								
OG0014028	Bany_18163-RA								
OG0014029	Bany_18184-RA								
OG0014030	Bany_18169-RA								
OG0014031	Bany_18179-RA								
OG0014032	Bany_18128-RA								
OG0014033	Bany_01805-RA								
OG0014034	Bany_11137-RA								
OG0014035	Bany_18186-RA								
OG0014036	Bany_18174-RA								
OG0014037	Bany_18132-RA								
OG0014038	Bany_15431-RA								
OG0014039	Bany_18136-RA								
OG0014040	Bany_18167-RA								
OG0014041	Bany_11824-RA								
OG0014042	Bany_15433-RA								
OG0014043	Bany_02636-RA								
OG0014044	Bany_09327-RA								
OG0014045	Bany_09328-RA								
OG0014046	Bany_02637-RA								
OG0014047	Bany_13603-RA								
OG0014048	Bany_04294-RA								
OG0014049	Bany_13604-RA								
OG0014050	Bany_03450-RA								
OG0014051	Bany_09329-RA								
OG0014052	Bany_13605-RA								
OG0014053	Bany_12441-RA								
OG0014054	Bany_05178-RA								
OG0014055	Bany_16441-RA								
OG0014056	Bany_13606-RA								
OG0014057	Bany_02638-RA								
OG0014058	Bany_04296-RA								
OG0014059	Bany_02640-RA								
OG0014060	Bany_11829-RA								
OG0014061	Bany_09330-RA								
OG0014062	Bany_11831-RA								
OG0014063	Bany_01810-RA								
OG0014064	Bany_09331-RA								
OG0014065	Bany_18111-RA								
OG0014066	Bany_08655-RA								
OG0014067	Bany_15440-RA								
OG0014068	Bany_01811-RA								
OG0014069	Bany_00919-RA								
OG0014070	Bany_13608-RA								
OG0014071	Bany_03452-RA								
OG0014072	Bany_16937-RA								
OG0014073	Bany_02641-RA								
OG0014074	Bany_00920-RA								
OG0014075	Bany_09332-RA								
OG0014076	Bany_09899-RA								
OG0014077	Bany_03455-RA								
OG0014078	Bany_04300-RA								
OG0014079	Bany_09333-RA								
OG0014080	Bany_03456-RA								
OG0014081	Bany_03457-RA								
OG0014082	Bany_02643-RA								
OG0014083	Bany_00922-RA								
OG0014084	Bany_15442-RA								
OG0014085	Bany_15443-RA								
OG0014086	Bany_13609-RA								
OG0014087	Bany_09900-RA								
OG0014088	Bany_02644-RA								
OG0014089	Bany_12444-RA								
OG0014090	Bany_09334-RA								
OG0014091	Bany_14256-RA								
