Orthogroup	Maniola_hyperantus	Danaus_plexippus
OG0000001	XP_034840840.1	DPOGS205612-PA
OG0000001	XP_034838060.1	DPOGS206033-PA
OG0000004	XP_034826574.1, XP_034826575.1, XP_034826576.1, XP_034829861.1, XP_034826577.1, XP_034825904.1, XP_034826589.1, XP_034825964.1, XP_034826579.1, XP_034826233.1, XP_034826572.1, XP_034825836.1, XP_034826578.1	DPOGS214685-PA
OG0000007	XP_034829843.1	DPOGS202008-PA
OG0000007	XP_034833027.1	DPOGS201926-PA
OG0000007	XP_034837123.1, XP_034837198.1	DPOGS210283-PA
OG0000007	XP_034837239.1, XP_034837071.1	DPOGS204060-PA, DPOGS204061-PA
OG0000007	XP_034837070.1	DPOGS204071-PA
OG0000007	XP_034837172.1	DPOGS204062-PA
OG0000007	XP_034840218.1, XP_034838053.1	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA
OG0000007	XP_034840808.1	DPOGS201332-PA
OG0000009	XP_034838399.1, XP_034838398.1	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA
OG0000010	XP_034837882.1	DPOGS213850-PA, DPOGS215023-PA
OG0000011	XP_034832805.1	DPOGS205480-PA
OG0000011	XP_034832852.1	DPOGS200223-PA
OG0000011	XP_034833059.1, XP_034832568.1, XP_034832567.1	DPOGS210883-PA
OG0000011	XP_034833030.1, XP_034833029.1	DPOGS208006-PA
OG0000011	XP_034833025.1, XP_034832955.1	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000013	XP_034833645.1, XP_034830827.1, XP_034839862.1, XP_034839913.1, XP_034830013.1, XP_034837462.1, XP_034836352.1, XP_034827825.1, XP_034832179.1, XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1, XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1	DPOGS211040-PA
OG0000016	XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1, XP_034839614.1, XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1	DPOGS200806-PA
OG0000018	XP_034839317.1, XP_034836233.1, XP_034839247.1, XP_034839259.1, XP_034833257.1	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1, XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1	DPOGS208960-PA
OG0000022	XP_034840993.1	DPOGS202417-PA
OG0000022	XP_034824109.1	DPOGS202402-PA
OG0000022	XP_034839051.1	DPOGS200512-PA
OG0000022	XP_034839055.1	DPOGS209862-PA
OG0000022	XP_034824108.1	DPOGS202403-PA
OG0000022	XP_034836910.1	DPOGS215440-PA
OG0000022	XP_034826465.1	DPOGS213386-PA
OG0000022	XP_034826667.1	DPOGS213385-PA
OG0000024	XP_034831723.1	DPOGS200042-PA
OG0000025	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1	DPOGS206751-PA, DPOGS206755-PA
OG0000025	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1, XP_034838505.1	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
