Orthogroup	Pararge_aegeria	Vanessa_tameamea
OG0000000	XP_039764486.1	XP_026490098.1
OG0000000	XP_039759598.1	XP_026493394.1
OG0000001	XP_039755304.1	XP_026485054.1
OG0000002	XP_039763478.1, XP_039764272.1	XP_026490714.1
OG0000002	XP_039753711.1, XP_039761423.1, XP_039761888.1, XP_039760354.1	XP_026483300.1
OG0000004	XP_039765606.1	XP_026497755.1
OG0000007	XP_039749697.1	XP_026496812.1
OG0000007	XP_039761305.1	XP_026494722.1
OG0000007	XP_039754496.1	XP_026487005.1
OG0000007	XP_039760528.1	XP_026498823.1
OG0000007	XP_039760566.1	XP_026489575.1
OG0000007	XP_039760400.1	XP_026489574.1
OG0000007	XP_039764480.1, XP_039764478.1	XP_026487630.1
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	XP_026490612.1
OG0000009	XP_039748430.1, XP_039748472.1	XP_026490614.1, XP_026490617.1, XP_026490618.1, XP_026490613.1
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1
OG0000010	XP_039764126.1, XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1	XP_026497515.1
OG0000011	XP_039757162.1	XP_026500011.1
OG0000011	XP_039757108.1	XP_026494591.1
OG0000011	XP_039757385.1	XP_026494618.1
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	XP_026494592.1
OG0000011	XP_039757277.1	XP_026487932.1
OG0000011	XP_039757275.1	XP_026487933.1
OG0000013	XP_039764230.1	XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1
OG0000016	XP_039761457.1, XP_039760429.1	XP_026494832.1
OG0000018	XP_039760351.1	XP_026500174.1
OG0000018	XP_039752824.1	XP_026486406.1, XP_026486403.1, XP_026501049.1, XP_026486538.1, XP_026497909.1
OG0000020	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1, XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1	XP_026499906.1, XP_026498149.1
OG0000021	XP_039763920.1, XP_039746712.1, XP_039757893.1, XP_039754386.1, XP_039764088.1, XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1	XP_026499326.1, XP_026498522.1
OG0000021	XP_039751439.1	XP_026497740.1
OG0000022	XP_039765727.1	XP_026484827.1
OG0000022	XP_039765296.1	XP_026484834.1
OG0000022	XP_039762875.1	XP_026486487.1
OG0000022	XP_039762709.1	XP_026483171.1
OG0000022	XP_039765728.1	XP_026484818.1
OG0000022	XP_039761167.1	XP_026486002.1
OG0000022	XP_039751415.1	XP_026489859.1
OG0000022	XP_039750917.1, XP_039752986.1	XP_026496869.1
OG0000023	XP_039755787.1, XP_039761864.1, XP_039763079.1, XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1	XP_026492743.1
OG0000025	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1	XP_026490610.1
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	XP_026490616.1
OG0000026	XP_039750797.1, XP_039761461.1, XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1, XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1	XP_026499909.1, XP_026483831.1, XP_026499747.1
OG0000028	XP_039754209.1, XP_039752265.1	XP_026495795.1
OG0000029	XP_039745529.1	XP_026485191.1, XP_026485189.1
OG0000029	XP_039745528.1	XP_026485194.1, XP_026485192.1
OG0000031	XP_039753010.1	XP_026499704.1, XP_026499703.1
OG0000032	XP_039763077.1, XP_039764294.1	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
OG0000032	XP_039757087.1	XP_026499980.1
OG0000034	XP_039746294.1	XP_026491775.1
OG0000034	XP_039746103.1	XP_026491466.1
OG0000034	XP_039746398.1	XP_026491224.1
OG0000034	XP_039746268.1	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000036	XP_039749280.1, XP_039757876.1	XP_026488619.1
OG0000036	XP_039761419.1	XP_026499962.1
OG0000036	XP_039750771.1, XP_039762012.1	XP_026500896.1, XP_026496433.1
OG0000037	XP_039754332.1	XP_026500143.1
OG0000038	XP_039749533.1	XP_026490184.1
OG0000039	XP_039752715.1	XP_026488878.1, XP_026488879.1
OG0000040	XP_039761434.1, XP_039764517.1, XP_039757393.1, XP_039762474.1, XP_039755530.1, XP_039761897.1, XP_039757370.1, XP_039756682.1, XP_039746317.1, XP_039757920.1, XP_039764430.1, XP_039757341.1, XP_039759545.1, XP_039764051.1, XP_039750845.1, XP_039746162.1, XP_039764273.1, XP_039757383.1, XP_039763948.1, XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1	XP_026499742.1
OG0000041	XP_039759472.1	XP_026490916.1
OG0000041	XP_039749285.1, XP_039749003.1	XP_026491898.1, XP_026483601.1
OG0000041	XP_039759561.1, XP_039746548.1	XP_026497785.1
OG0000045	XP_039750219.1, XP_039750218.1	XP_026485346.1
OG0000045	XP_039750023.1	XP_026489199.1
OG0000045	XP_039752690.1	XP_026488897.1
OG0000045	XP_039760955.1	XP_026493800.1, XP_026493802.1
OG0000046	XP_039755063.1	XP_026496278.1
OG0000046	XP_039755065.1	XP_026496280.1
OG0000048	XP_039749185.1, XP_039764331.1	XP_026488815.1
OG0000048	XP_039764514.1, XP_039746188.1, XP_039746229.1	XP_026501042.1
OG0000049	XP_039751487.1, XP_039751486.1	XP_026484586.1
OG0000049	XP_039751228.1	XP_026485111.1
OG0000049	XP_039751167.1	XP_026491363.1
OG0000050	XP_039756635.1, XP_039756638.1, XP_039756636.1	XP_026500975.1, XP_026500978.1, XP_026500979.1
OG0000052	XP_039755855.1	XP_026487271.1
OG0000053	XP_039752462.1	XP_026497060.1
OG0000053	XP_039760715.1	XP_026497094.1
OG0000053	XP_039761162.1	XP_026497148.1, XP_026497147.1
OG0000053	XP_039755401.1	XP_026497076.1, XP_026497075.1
OG0000053	XP_039754797.1	XP_026497149.1
OG0000054	XP_039753385.1	XP_026492237.1
OG0000056	XP_039760526.1	XP_026498825.1
OG0000056	XP_039760529.1	XP_026499964.1
OG0000057	XP_039759134.1, XP_039759133.1	XP_026496531.1
OG0000057	XP_039759135.1	XP_026496524.1
OG0000057	XP_039749078.1	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000058	XP_039764265.1, XP_039763616.1, XP_039756642.1, XP_039763057.1, XP_039764264.1	XP_026489850.1, XP_026492925.1
OG0000058	XP_039760434.1, XP_039755811.1, XP_039764477.1, XP_039762497.1	XP_026490603.1
OG0000058	XP_039746435.1	XP_026497189.1, XP_026489550.1
OG0000059	XP_039762481.1, XP_039756353.1, XP_039749179.1, XP_039755237.1, XP_039758583.1	XP_026497961.1, XP_026501315.1
OG0000059	XP_039765851.1, XP_039764468.1, XP_039753360.1, XP_039755229.1	XP_026491881.1
OG0000060	XP_039758412.1	XP_026493438.1, XP_026493441.1
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	XP_026488092.1, XP_026496799.1, XP_026496786.1, XP_026488110.1, XP_026488120.1, XP_026488093.1
OG0000062	XP_039749293.1	XP_026486062.1
OG0000062	XP_039748112.1, XP_039747853.1	XP_026483731.1
OG0000062	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1	XP_026493053.1, XP_026493052.1, XP_026499492.1
OG0000063	XP_039751621.1, XP_039751623.1	XP_026483335.1, XP_026483375.1
OG0000063	XP_039751622.1	XP_026483353.1
OG0000063	XP_039758398.1	XP_026493090.1
OG0000064	XP_039750964.1, XP_039750766.1	XP_026497737.1, XP_026491802.1
OG0000064	XP_039757955.1	XP_026492258.1
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1, XP_039760356.1	XP_026500159.1
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	XP_026499417.1
OG0000067	XP_039748182.1	XP_026492031.1
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	XP_026494442.1
OG0000069	XP_039752244.1, XP_039752695.1, XP_039752768.1	XP_026489035.1
OG0000071	XP_039757286.1	XP_026492973.1
OG0000073	XP_039751184.1, XP_039751183.1	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	XP_039751407.1, XP_039751408.1	XP_026501251.1, XP_026501242.1
OG0000073	XP_039751081.1	XP_026483469.1
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	XP_026487164.1
OG0000075	XP_039753889.1	XP_026488107.1
OG0000075	XP_039754353.1	XP_026488301.1, XP_026488302.1
OG0000076	XP_039762746.1	XP_026490686.1
OG0000077	XP_039749200.1	XP_026485880.1
OG0000077	XP_039748560.1, XP_039748561.1	XP_026485945.1, XP_026485951.1
OG0000078	XP_039751952.1, XP_039752453.1	XP_026497763.1, XP_026497768.1
OG0000079	XP_039749980.1, XP_039749979.1, XP_039749978.1	XP_026485855.1
OG0000080	XP_039759710.1, XP_039760344.1, XP_039764228.1, XP_039760880.1, XP_039752779.1	XP_026485596.1
OG0000081	XP_039759903.1, XP_039753370.1	XP_026493409.1
OG0000082	XP_039761740.1	XP_026484136.1
OG0000082	XP_039764229.1, XP_039764315.1, XP_039761712.1	XP_026484147.1
OG0000082	XP_039761433.1	XP_026484161.1
OG0000083	XP_039760604.1	XP_026498756.1
OG0000083	XP_039760601.1, XP_039760603.1, XP_039760602.1	XP_026498757.1
OG0000084	XP_039749417.1	XP_026492846.1
OG0000085	XP_039749173.1, XP_039749174.1, XP_039749175.1	XP_026496424.1
OG0000085	XP_039755026.1, XP_039755027.1, XP_039754791.1	XP_026496275.1
OG0000088	XP_039751393.1	XP_026489493.1
OG0000088	XP_039762785.1	XP_026483148.1
OG0000088	XP_039751496.1	XP_026489494.1
OG0000090	XP_039749186.1	XP_026490095.1
OG0000091	XP_039761446.1	XP_026498210.1
OG0000093	XP_039761758.1	XP_026483919.1, XP_026483920.1
OG0000093	XP_039761603.1	XP_026483917.1
OG0000093	XP_039761633.1, XP_039761632.1	XP_026484027.1, XP_026484028.1
OG0000094	XP_039746862.1	XP_026488555.1
OG0000094	XP_039764606.1, XP_039764616.1, XP_039764598.1	XP_026492024.1
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	XP_026484614.1, XP_026484892.1
OG0000096	XP_039751227.1	XP_026498766.1
