Orthogroup	Junonia_coenia	Bicyclus_anynana
OG0000000	JC_00059-RA	Bany_10957-RA
OG0000000	JC_06702-RA, JC_09836-RA	Bany_09337-RA
OG0000000	JC_14731-RA	Bany_18013-RA, Bany_07827-RA, Bany_05718-RA
OG0000000	JC_02930-RA	Bany_06307-RA, Bany_01154-RA, Bany_16364-RA
OG0000000	JC_06345-RA	Bany_07320-RA
OG0000000	JC_15003-RA	Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA
OG0000000	JC_15655-RA	Bany_05506-RA, Bany_03267-RA, Bany_17740-RA, Bany_05667-RA
OG0000001	JC_02051-RA	Bany_07607-RA
OG0000003	JC_11525-RA	Bany_16601-RA
OG0000004	JC_13597-RA	Bany_01306-RA
OG0000004	JC_13605-RA	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA
OG0000006	JC_09745-RA	Bany_07769-RA, Bany_12743-RA
OG0000007	JC_08873-RA	Bany_12085-RA
OG0000007	JC_01109-RA	Bany_05169-RA
OG0000007	JC_01591-RA	Bany_04365-RA
OG0000007	JC_14896-RA	Bany_17822-RA
OG0000007	JC_14757-RA	Bany_18092-RA
OG0000007	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA	Bany_03693-RA, Bany_03690-RA
OG0000009	JC_16098-RA	Bany_06680-RA, Bany_06677-RA
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA
OG0000010	JC_15129-RA, JC_17221-RA, JC_15688-RA	Bany_12791-RA
OG0000011	JC_11451-RA, JC_11450-RA	Bany_13339-RA
OG0000011	JC_11395-RA	Bany_13158-RA
OG0000011	JC_11383-RA	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA
OG0000011	JC_11508-RA, JC_11506-RA, JC_11505-RA	Bany_13051-RA
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA	Bany_05712-RA, Bany_13053-RA
OG0000012	JC_06297-RA	Bany_10581-RA
OG0000012	JC_06294-RA, JC_06293-RA	Bany_10593-RA
OG0000012	JC_06296-RA	Bany_10592-RA
OG0000012	JC_06291-RA	Bany_10603-RA, Bany_10627-RA
OG0000012	JC_06241-RA	Bany_10615-RA
OG0000012	JC_06279-RA	Bany_10610-RA
OG0000012	JC_06277-RA	Bany_10611-RA, Bany_10612-RA
OG0000012	JC_06281-RA	Bany_10608-RA
OG0000012	JC_06276-RA	Bany_10616-RA, Bany_10614-RA
OG0000012	JC_06270-RA	Bany_10625-RA, Bany_10624-RA
OG0000012	JC_06269-RA	Bany_10623-RA, Bany_10618-RA, Bany_10622-RA, Bany_10621-RA, Bany_10619-RA, Bany_10620-RA
