Orthogroup	Pararge_aegeria	Heliconius_melpomene_melpomene
OG0000000	XP_039751997.1	HMEL030135g1.t1, HMEL005700g1.t1
OG0000000	XP_039764486.1	HMEL030971g1.t1
OG0000000	XP_039749195.1	HMEL032721g1.t1, HMEL033318g1.t1, HMEL034443g1.t1, HMEL033590g1.t1, HMEL030870g1.t1, HMEL034014g1.t1, HMEL033778g1.t1, HMEL036222g1.t1, HMEL034751g1.t1, HMEL032362g1.t1, HMEL031474g1.t1, HMEL036564g1.t1, HMEL035707g1.t1, HMEL035697g1.t1, HMEL035708g1.t1, HMEL035211g1.t1, HMEL030621g1.t1, HMEL034201g1.t1, HMEL030853g1.t1, HMEL035551g1.t1, HMEL017933g1.t1, HMEL030113g1.t1, HMEL038130g1.t1, HMEL030881g1.t1, HMEL035429g1.t1, HMEL036892g1.t1
OG0000000	XP_039759598.1	HMEL034079g1.t1
OG0000001	XP_039755304.1	HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1
OG0000002	XP_039749168.1, XP_039749231.1, XP_039752022.1, XP_039764502.1, XP_039747070.1, XP_039753757.1, XP_039763478.1, XP_039764272.1	HMEL036554g1.t1, HMEL034617g1.t1
OG0000002	XP_039749643.1, XP_039755482.1, XP_039756937.1	HMEL013511g1.t1, HMEL033266g1.t1, HMEL038220g1.t1, HMEL035877g1.t1
OG0000002	XP_039763065.1, XP_039747912.1	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1, HMEL034431g1.t1, HMEL037919g1.t1, HMEL031235g1.t1, HMEL035050g1.t1, HMEL030343g1.t1
OG0000002	XP_039753711.1, XP_039761423.1, XP_039761888.1, XP_039760354.1	HMEL030601g1.t1
OG0000003	XP_039762686.1, XP_039764155.1, XP_039760787.1, XP_039758268.1, XP_039758025.1, XP_039765337.1, XP_039760410.1, XP_039750824.1, XP_039748082.1, XP_039764518.1, XP_039760412.1, XP_039755221.1	HMEL032743g1.t1, HMEL003905g1.t1, HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1
