Orthogroup	Heliconius_melpomene_melpomene	Maniola_hyperantus
OG0000000	HMEL030135g1.t1, HMEL005700g1.t1	XP_034833605.1
OG0000000	HMEL033098g1.t1, HMEL034447g1.t1, HMEL005747g1.t1, HMEL032660g1.t1, HMEL031677g1.t1, HMEL033638g1.t1	XP_034830096.1
OG0000000	HMEL036879g1.t1, HMEL037211g1.t1	XP_034837767.1
OG0000001	HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1	XP_034840840.1
OG0000001	HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1	XP_034838060.1
OG0000002	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1, HMEL034431g1.t1, HMEL037919g1.t1, HMEL031235g1.t1, HMEL035050g1.t1, HMEL030343g1.t1	XP_034832765.1
OG0000004	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA, HMEL022644-RA, HMEL022672-RA	XP_034826575.1
OG0000004	HMEL022649-RA, HMEL022642-RA	XP_034826576.1, XP_034829861.1, XP_034826577.1
OG0000004	HMEL022631-RA, HMEL022626-RA	XP_034825904.1
OG0000004	HMEL022640-RA, HMEL022652-RA	XP_034826589.1, XP_034825964.1
OG0000004	HMEL022633-RA	XP_034826233.1
OG0000004	HMEL022671-RA, HMEL022653-RA	XP_034826578.1
OG0000006	HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1, HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1, HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1, HMEL035992g1.t1	XP_034828886.1
OG0000007	HMEL012825g1.t1	XP_034829843.1
OG0000007	HMEL030866g1.t1	XP_034833027.1
OG0000007	HMEL003519g1.t1	XP_034837123.1, XP_034837198.1
OG0000007	HMEL013136g1.t1	XP_034837239.1, XP_034837071.1
OG0000007	HMEL033385g1.t1	XP_034838053.1
OG0000007	HMEL012399g1.t1	XP_034840808.1
OG0000009	HMEL037374g1.t1	XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1
OG0000009	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1	XP_034838399.1, XP_034838398.1
OG0000009	HMEL011209g1.t1	XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1
OG0000010	HMEL030787g1.t1	XP_034837882.1
OG0000011	HMEL020065g1.t1, HMEL033667g1.t1	XP_034832805.1
OG0000011	HMEL033610g1.t1	XP_034832852.1
OG0000011	HMEL033611g1.t1	XP_034832845.1
OG0000011	HMEL017520g1.t1	XP_034833059.1, XP_034832568.1, XP_034832567.1
