chrom OG0000004 OG0000009 OG0000020 OG0000074 OG0000072 OG0000473 OG0000082 OG0001335 OG0001019 OG0000231 OG0001542 OG0001328 OG0000081 OG0001548 OG0001331 OG0003727 OG0001974 OG0000600 OG0001817 OG0001329  
LR999924.1 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0  
LR999925.1 0 2 0 0 2 2 0 2 0 0 1 0 1 0 0 0 0 0 1 0  
LR999926.1 0 0 1 0 0 2 0 1 1 0 0 2 0 0 0 0 0 0 0 0  
LR999927.1 4 0 3 0 1 0 0 2 0 1 1 0 0 1 0 0 0 12 0 0  
LR999928.1 0 1 1 3 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1  
LR999929.1 2 0 1 2 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1  
LR999930.1 1 0 2 0 1 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0  
LR999931.1 2 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0  
LR999932.1 0 0 2 0 0 1 2 2 1 0 0 0 1 0 0 0 0 0 1 1  
LR999933.1 0 1 3 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1  
LR999934.1 1 2 0 1 2 0 1 0 1 0 2 1 2 1 0 0 12 0 0 0  
LR999935.1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0  
LR999936.1 1 0 1 2 2 1 1 0 0 0 2 0 0 1 1 0 0 0 1 1  
LR999937.1 2 0 0 1 1 2 4 0 2 1 0 0 0 0 0 0 0 0 0 0  
LR999938.1 1 0 0 1 0 4 0 1 1 0 1 1 1 1 0 0 0 0 0 2  
LR999939.1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0  
LR999940.1 38 36 6 10 7 0 3 0 0 1 0 0 3 9 11 0 0 0 0 0  
LR999941.1 0 1 3 1 2 1 2 0 1 1 2 0 1 0 0 0 0 0 0 0  
LR999942.1 0 0 4 1 0 0 2 1 1 0 0 2 0 0 0 12 0 0 0 0  
LR999943.1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0  
LR999944.1 1 0 0 0 2 2 2 2 0 1 0 0 1 0 0 0 0 0 0 1  
LR999945.1 0 0 3 0 1 2 2 0 1 0 0 1 1 0 0 0 0 0 0 0  
LR999946.1 1 0 1 1 1 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0  
LR999947.1 2 1 3 0 1 1 2 2 0 0 0 0 0 1 1 0 0 0 0 0  
LR999948.1 1 1 1 2 1 1 0 2 0 1 0 2 1 0 0 0 0 0 0 0  
LR999949.1 1 0 3 0 0 1 1 0 2 2 0 2 2 0 0 0 0 0 1 0  
LR999950.1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0  
LR999951.1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 3 1  
LR999952.1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0  
LR999953.1 0 1 1 1 0 0 0 0 2 3 1 2 0 0 0 0 0 0 0 0  
LR999954.1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1  
LR999955.1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1  
