Orthogroup	Vanessa_tameamea	Heliconius_erato_lativitta
OG0000000	XP_026499445.1	HEL_012692-RA
OG0000002	XP_026490714.1	HEL_005892-RA
OG0000004	XP_026497757.1, XP_026497758.1	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA
OG0000004	XP_026497755.1, XP_026497761.1, XP_026497765.1	HEL_006849-RA, HEL_006848-RA
OG0000007	XP_026496812.1	HEL_006143-RA
OG0000007	XP_026487005.1	HEL_012397-RA
OG0000007	XP_026498823.1	HEL_013500-RA
OG0000007	XP_026489575.1	HEL_009509-RA
OG0000007	XP_026489574.1	HEL_009511-RA
OG0000007	XP_026487630.1	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA
OG0000009	XP_026490612.1	HEL_011324-RA
OG0000009	XP_026490614.1	HEL_011326-RA, HEL_011321-RA
OG0000009	XP_026490617.1, XP_026490618.1	HEL_011323-RA
OG0000009	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA
OG0000011	XP_026500011.1	HEL_008992-RA
OG0000011	XP_026494591.1	HEL_008872-RA
OG0000011	XP_026494592.1	HEL_011236-RA
OG0000011	XP_026487937.1	HEL_008932-RA
OG0000011	XP_026487932.1	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA
OG0000011	XP_026487933.1	HEL_008927-RA
OG0000013	XP_026497962.1, XP_026498879.1, XP_026496138.1, XP_026497446.1, XP_026485615.1, XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1, XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1	HEL_002158-RA
OG0000016	XP_026487868.1, XP_026494832.1, XP_026497219.1, XP_026498863.1	HEL_001996-RA
OG0000018	XP_026500174.1	HEL_002556-RA
OG0000018	XP_026486406.1	HEL_002558-RA, HEL_002871-RA
OG0000018	XP_026486538.1, XP_026497909.1	HEL_002560-RA
OG0000022	XP_026484827.1	HEL_013117-RA
OG0000022	XP_026484818.1	HEL_012949-RA
OG0000022	XP_026496869.1	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA
OG0000025	XP_026490610.1	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA
OG0000025	XP_026490616.1	HEL_011319-RA
OG0000028	XP_026495729.1, XP_026495795.1	HEL_011818-RA, HEL_011811-RA
OG0000029	XP_026485191.1, XP_026485189.1	HEL_001272-RA
OG0000031	XP_026499704.1, XP_026499703.1	HEL_012127-RA
OG0000032	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1	HEL_003341-RA
OG0000034	XP_026491689.1	HEL_004513-RA
OG0000034	XP_026491224.1	HEL_003973-RA
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	HEL_003968-RA
OG0000035	XP_026492510.1	HEL_014143-RA
OG0000036	XP_026488619.1, XP_026499962.1	HEL_008947-RA, HEL_010219-RA
OG0000038	XP_026490184.1	HEL_003342-RA
OG0000038	XP_026490183.1	HEL_003339-RA
OG0000039	XP_026488878.1, XP_026488879.1	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA
OG0000039	XP_026488881.1	HEL_006830-RA
OG0000041	XP_026490916.1	HEL_014103-RA
OG0000041	XP_026491898.1, XP_026483601.1	HEL_008450-RA
OG0000041	XP_026497753.1, XP_026497752.1	HEL_014421-RA
OG0000041	XP_026497785.1, XP_026497751.1	HEL_014422-RA
OG0000045	XP_026485346.1	HEL_012373-RA
OG0000045	XP_026489199.1	HEL_010335-RA
OG0000045	XP_026488897.1	HEL_013537-RA, HEL_013538-RA
OG0000045	XP_026493800.1, XP_026493802.1	HEL_005377-RA
OG0000046	XP_026496282.1	HEL_005344-RA, HEL_005346-RA, HEL_005347-RA, HEL_005345-RA
OG0000049	XP_026484586.1	HEL_008049-RA
OG0000049	XP_026491363.1	HEL_008034-RA
OG0000050	XP_026501017.1	HEL_012554-RA
OG0000050	XP_026500975.1, XP_026500978.1, XP_026500979.1	HEL_012564-RA
OG0000052	XP_026487271.1	HEL_000724-RA
OG0000053	XP_026497094.1	HEL_006720-RA
OG0000053	XP_026497148.1, XP_026497147.1	HEL_006724-RA
OG0000053	XP_026497076.1, XP_026497075.1	HEL_006722-RA
OG0000053	XP_026497149.1	HEL_006725-RA
OG0000054	XP_026492237.1	HEL_003473-RA
OG0000055	XP_026491734.1	HEL_011387-RA
OG0000056	XP_026498825.1	HEL_013494-RA
OG0000057	XP_026496531.1	HEL_008127-RA, HEL_008126-RA
OG0000057	XP_026496524.1	HEL_008125-RA
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1	HEL_007566-RA
OG0000061	XP_026488092.1	HEL_014352-RA
OG0000061	XP_026488110.1	HEL_010281-RA
OG0000062	XP_026486062.1	HEL_000202-RA
OG0000063	XP_026483335.1, XP_026483375.1	HEL_006297-RA
