Orthogroup	Danaus_plexippus	Junonia_coenia
OG0000000	DPOGS216136-PA	JC_15655-RA
OG0000001	DPOGS206033-PA	JC_02051-RA
OG0000003	DPOGS208672-PA	JC_11525-RA
OG0000004	DPOGS214685-PA	JC_13607-RA, JC_13597-RA, JC_13588-RA, JC_13589-RA, JC_13591-RA, JC_12131-RA, JC_13605-RA, JC_13611-RA, JC_13594-RA, JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA, JC_13620-RA, JC_13616-RA, JC_16186-RA, JC_16185-RA, JC_13582-RA
OG0000007	DPOGS202008-PA	JC_08873-RA
OG0000007	DPOGS201926-PA	JC_01109-RA
OG0000007	DPOGS209071-PA	JC_01591-RA
OG0000007	DPOGS210283-PA	JC_14896-RA
OG0000007	DPOGS204071-PA	JC_14757-RA
OG0000007	DPOGS201332-PA	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA
OG0000007	DPOGS201334-PA, DPOGS201335-PA, DPOGS201333-PA, DPOGS201337-PA, DPOGS201336-PA	JC_08129-RA, JC_08130-RA, JC_08131-RA, JC_09378-RA
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	JC_16100-RA, JC_14973-RA, JC_16099-RA
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA
OG0000010	DPOGS213850-PA, DPOGS215023-PA	JC_15129-RA, JC_17221-RA, JC_15688-RA
OG0000011	DPOGS205480-PA	JC_11451-RA, JC_11450-RA
OG0000011	DPOGS200223-PA	JC_11394-RA
OG0000011	DPOGS210883-PA	JC_11383-RA
OG0000011	DPOGS208006-PA	JC_11508-RA, JC_11506-RA, JC_11505-RA
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA
OG0000012	DPOGS208243-PA, DPOGS208244-PA	JC_06297-RA
OG0000012	DPOGS208247-PA	JC_06296-RA
OG0000012	DPOGS208283-PA	JC_06291-RA
OG0000012	DPOGS208262-PA	JC_06244-RA, JC_06292-RA, JC_06271-RA
OG0000012	DPOGS208261-PA	JC_06241-RA
OG0000012	DPOGS208259-PA	JC_06279-RA
OG0000012	DPOGS208260-PA	JC_06277-RA
OG0000012	DPOGS208264-PA	JC_06269-RA
OG0000013	DPOGS211040-PA	JC_03051-RA, JC_03952-RA
OG0000016	DPOGS200806-PA	JC_00964-RA, JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA, JC_05786-RA, JC_05770-RA, JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	JC_13020-RA, JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA
OG0000020	DPOGS208960-PA	JC_14441-RA, JC_12860-RA, JC_08804-RA, JC_15272-RA
OG0000022	DPOGS202417-PA	JC_00074-RA
OG0000022	DPOGS202402-PA	JC_00072-RA
OG0000022	DPOGS200512-PA	JC_16481-RA
OG0000022	DPOGS209862-PA	JC_16435-RA
OG0000022	DPOGS202403-PA	JC_00073-RA
OG0000022	DPOGS215440-PA	JC_15640-RA
OG0000022	DPOGS213388-PA	JC_14595-RA
OG0000022	DPOGS213385-PA	JC_14602-RA
OG0000024	DPOGS200042-PA	JC_07395-RA, JC_07382-RA, JC_07383-RA, JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA, JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA, JC_07384-RA, JC_07386-RA
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	JC_16102-RA, JC_16101-RA
OG0000028	DPOGS205336-PA	JC_16613-RA, JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA, JC_11032-RA, JC_10533-RA, JC_13235-RA, JC_10565-RA, JC_10564-RA, JC_16342-RA, JC_10532-RA, JC_10671-RA, JC_10530-RA, JC_10529-RA, JC_10531-RA, JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA
OG0000031	DPOGS212301-PA	JC_07638-RA
OG0000031	DPOGS211828-PA	JC_12510-RA
OG0000032	DPOGS200472-PA	JC_08098-RA, JC_15112-RA
OG0000034	DPOGS205641-PA	JC_02761-RA
OG0000034	DPOGS205643-PA	JC_02760-RA
OG0000034	DPOGS202647-PA	JC_02341-RA, JC_02342-RA
OG0000034	DPOGS202676-PA	JC_02354-RA
OG0000034	DPOGS202644-PA	JC_02348-RA, JC_02347-RA
OG0000036	DPOGS213885-PA	JC_14663-RA
OG0000038	DPOGS214966-PA	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA, JC_14539-RA, JC_14546-RA
OG0000039	DPOGS201794-PA, DPOGS201792-PA	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA, JC_12154-RA
OG0000040	DPOGS211359-PA	JC_11683-RA, JC_07552-RA, JC_00269-RA
OG0000041	DPOGS210496-PA	JC_09842-RA
OG0000044	DPOGS216008-PA	JC_06620-RA
OG0000045	DPOGS210702-PA, DPOGS210700-PA	JC_06642-RA
OG0000045	DPOGS210663-PA	JC_16748-RA
OG0000045	DPOGS210250-PA	JC_09127-RA
OG0000045	DPOGS210048-PA	JC_04431-RA
OG0000045	DPOGS213925-PA, DPOGS213901-PA	JC_15568-RA, JC_15572-RA
OG0000046	DPOGS209145-PA	JC_05584-RA
OG0000046	DPOGS209144-PA	JC_05581-RA
OG0000048	DPOGS215280-PA	JC_00039-RA, JC_04995-RA, JC_03035-RA, JC_11358-RA, JC_03645-RA, JC_15660-RA, JC_11945-RA, JC_15167-RA, JC_14135-RA, JC_15415-RA, JC_04809-RA, JC_17159-RA, JC_08103-RA, JC_16142-RA, JC_09989-RA, JC_10760-RA, JC_15165-RA
OG0000048	DPOGS206656-PA	JC_00792-RA
OG0000048	DPOGS212307-PA	JC_03644-RA, JC_03036-RA
OG0000049	DPOGS201061-PA	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA, JC_09676-RA, JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA
OG0000050	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA	JC_10512-RA
