Orthogroup	Danaus_plexippus	Heliconius_erato_lativitta
OG0000004	DPOGS214685-PA	HEL_006852-RA, HEL_006839-RA, HEL_006838-RA, HEL_006845-RA, HEL_014408-RA, HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA, HEL_006840-RA, HEL_006849-RA, HEL_006848-RA, HEL_006841-RA, HEL_006846-RA
OG0000007	DPOGS202008-PA	HEL_006143-RA
OG0000007	DPOGS209071-PA	HEL_012397-RA
OG0000007	DPOGS210283-PA	HEL_013500-RA
OG0000007	DPOGS204060-PA, DPOGS204061-PA	HEL_009509-RA
OG0000007	DPOGS204062-PA	HEL_009511-RA
OG0000007	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA	HEL_002389-RA
OG0000007	DPOGS201328-PA	HEL_013093-RA
OG0000007	DPOGS201332-PA	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA
OG0000007	DPOGS210278-PA	HEL_009310-RA
OG0000009	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA	HEL_011326-RA, HEL_011321-RA, HEL_011323-RA
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA
OG0000009	DPOGS201056-PA	HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA
OG0000011	DPOGS205480-PA	HEL_008992-RA
OG0000011	DPOGS200223-PA	HEL_008872-RA
OG0000011	DPOGS210883-PA	HEL_011236-RA, HEL_011238-RA
OG0000011	DPOGS208006-PA	HEL_008932-RA
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	HEL_008929-RA, HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA
OG0000012	DPOGS208243-PA, DPOGS208244-PA	HEL_011034-RA
OG0000012	DPOGS208249-PA	HEL_011043-RA
OG0000012	DPOGS208247-PA	HEL_011040-RA
OG0000012	DPOGS208261-PA	HEL_011049-RA
OG0000013	DPOGS211040-PA	HEL_002158-RA
OG0000016	DPOGS200806-PA	HEL_001996-RA
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	HEL_002556-RA, HEL_002557-RA, HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA
OG0000022	DPOGS202417-PA	HEL_013117-RA
OG0000022	DPOGS202403-PA	HEL_012949-RA
OG0000022	DPOGS200511-PA	HEL_003385-RA, HEL_004628-RA, HEL_013111-RA, HEL_003381-RA, HEL_013019-RA
OG0000022	DPOGS213385-PA	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA
OG0000024	DPOGS200042-PA	HEL_003522-RA, HEL_003523-RA, HEL_003520-RA, HEL_010574-RA, HEL_010573-RA, HEL_003509-RA, HEL_003510-RA, HEL_003524-RA, HEL_003511-RA, HEL_003525-RA, HEL_003526-RA, HEL_003527-RA
OG0000025	DPOGS206751-PA, DPOGS206755-PA	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	HEL_011319-RA
OG0000028	DPOGS205336-PA	HEL_011818-RA, HEL_011811-RA
OG0000031	DPOGS212301-PA	HEL_012127-RA
OG0000032	DPOGS200472-PA	HEL_003341-RA, HEL_008364-RA
OG0000034	DPOGS205642-PA	HEL_004511-RA, HEL_004512-RA
OG0000034	DPOGS205643-PA	HEL_004513-RA
OG0000034	DPOGS202647-PA	HEL_003967-RA
OG0000034	DPOGS202676-PA	HEL_003973-RA
OG0000034	DPOGS202644-PA	HEL_003968-RA
OG0000035	DPOGS215450-PA	HEL_014143-RA
OG0000036	DPOGS213885-PA	HEL_008947-RA, HEL_010219-RA
OG0000038	DPOGS214966-PA	HEL_003342-RA, HEL_003339-RA, HEL_003338-RA, HEL_003344-RA, HEL_003333-RA, HEL_003345-RA, HEL_003332-RA, HEL_003350-RA, HEL_003331-RA, HEL_003348-RA, HEL_003349-RA, HEL_003335-RA, HEL_003346-RA, HEL_003336-RA, HEL_003334-RA, HEL_003337-RA, HEL_003343-RA
OG0000039	DPOGS201809-PA, DPOGS201793-PA, DPOGS201808-PA	HEL_014203-RA
OG0000039	DPOGS201794-PA, DPOGS201792-PA	HEL_006830-RA, HEL_006829-RA
OG0000041	DPOGS210496-PA	HEL_014103-RA
OG0000041	DPOGS206520-PA	HEL_008450-RA
OG0000041	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA	HEL_014422-RA
OG0000045	DPOGS210702-PA, DPOGS210700-PA	HEL_012373-RA
OG0000045	DPOGS210250-PA	HEL_010335-RA
OG0000045	DPOGS212775-PA	HEL_013537-RA, HEL_013538-RA
OG0000045	DPOGS213925-PA, DPOGS213901-PA	HEL_005377-RA
OG0000046	DPOGS209144-PA	HEL_005348-RA
OG0000048	DPOGS206656-PA, DPOGS212307-PA	HEL_005970-RA
OG0000049	DPOGS201061-PA	HEL_008049-RA, HEL_008038-RA, HEL_008034-RA, HEL_008036-RA, HEL_008037-RA
