Orthogroup	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene
OG0000000	HEL_012692-RA	HMEL037576g1.t1, HMEL012790g1.t1
OG0000002	HEL_005892-RA	HMEL036554g1.t1, HMEL034617g1.t1
OG0000002	HEL_005603-RA	HMEL035769g1.t1
OG0000002	HEL_005215-RA, HEL_000681-RA	HMEL013511g1.t1
OG0000002	HEL_006991-RA	HMEL033266g1.t1
OG0000002	HEL_003218-RA, HEL_006733-RA	HMEL038220g1.t1, HMEL035877g1.t1
OG0000002	HEL_005182-RA, HEL_013980-RA	HMEL030958g1.t1
OG0000002	HEL_000115-RA	HMEL034477g1.t1, HMEL035717g1.t1, HMEL030957g1.t1, HMEL034990g1.t1, HMEL007599g1.t1, HMEL036922g1.t1, HMEL030171g1.t1, HMEL014841g1.t1
OG0000002	HEL_004550-RA, HEL_005649-RA	HMEL038151g1.t1
OG0000002	HEL_011229-RA	HMEL035766g1.t1
OG0000002	HEL_006621-RA, HEL_010677-RA, HEL_005319-RA	HMEL034656g1.t1
OG0000002	HEL_000257-RA, HEL_009459-RA, HEL_012744-RA	HMEL035908g1.t1
OG0000002	HEL_008500-RA	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1
OG0000002	HEL_007729-RA, HEL_000120-RA	HMEL034431g1.t1
OG0000002	HEL_002268-RA	HMEL037919g1.t1, HMEL031235g1.t1
OG0000002	HEL_011538-RA	HMEL035050g1.t1, HMEL030343g1.t1
OG0000002	HEL_009246-RA	HMEL034530g1.t1
OG0000002	HEL_013155-RA, HEL_013115-RA	HMEL035953g1.t1, HMEL034555g1.t1
OG0000004	HEL_006852-RA	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA
OG0000004	HEL_006839-RA	HMEL022644-RA
OG0000004	HEL_006838-RA	HMEL022672-RA
OG0000004	HEL_006845-RA	HMEL022649-RA, HMEL022642-RA
OG0000004	HEL_014408-RA	HMEL022562-RA, HMEL022600-RA
OG0000004	HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA	HMEL022640-RA, HMEL022652-RA
OG0000004	HEL_006840-RA	HMEL022633-RA
OG0000004	HEL_006849-RA	HMEL022671-RA
OG0000004	HEL_006848-RA	HMEL022653-RA
OG0000004	HEL_006841-RA	HMEL022620-RA, HMEL022568-RA
OG0000004	HEL_006846-RA	HMEL022670-RA
