Orthogroup	Danaus_plexippus	Bicyclus_anynana
OG0000000	DPOGS202646-PA	Bany_04291-RA, Bany_00350-RA, Bany_05622-RA, Bany_10641-RA, Bany_06111-RA, Bany_12035-RA, Bany_10617-RA, Bany_10756-RA, Bany_12415-RA, Bany_02606-RA, Bany_10051-RA, Bany_12992-RA, Bany_04852-RA, Bany_05251-RA
OG0000000	DPOGS210389-PA	Bany_16096-RA
OG0000000	DPOGS204561-PA	Bany_13444-RA
OG0000000	DPOGS216136-PA	Bany_05506-RA, Bany_03267-RA, Bany_17740-RA, Bany_05667-RA
OG0000000	DPOGS208590-PA	Bany_08916-RA
OG0000001	DPOGS205612-PA	Bany_13515-RA
OG0000001	DPOGS206033-PA	Bany_07607-RA, Bany_13198-RA
OG0000003	DPOGS208672-PA	Bany_16601-RA
OG0000004	DPOGS214685-PA	Bany_02377-RA, Bany_01306-RA, Bany_02384-RA, Bany_02383-RA, Bany_02385-RA, Bany_02376-RA
OG0000007	DPOGS202008-PA	Bany_12085-RA
OG0000007	DPOGS201926-PA	Bany_05169-RA
OG0000007	DPOGS209071-PA	Bany_04365-RA
OG0000007	DPOGS210283-PA	Bany_17822-RA
OG0000007	DPOGS204060-PA, DPOGS204061-PA	Bany_18091-RA
OG0000007	DPOGS204071-PA	Bany_18092-RA
OG0000007	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA	Bany_03694-RA, Bany_12803-RA, Bany_12804-RA
OG0000007	DPOGS201328-PA	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA
OG0000007	DPOGS201332-PA	Bany_03693-RA, Bany_03690-RA
OG0000007	DPOGS210278-PA	Bany_17911-RA
OG0000009	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA
OG0000009	DPOGS201056-PA	Bany_06679-RA, Bany_06751-RA, Bany_06753-RA
OG0000010	DPOGS213850-PA, DPOGS215023-PA	Bany_05761-RA, Bany_07419-RA, Bany_03810-RA, Bany_12832-RA, Bany_07420-RA, Bany_12791-RA
OG0000011	DPOGS205480-PA	Bany_13339-RA
OG0000011	DPOGS210883-PA	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA
OG0000011	DPOGS208006-PA	Bany_13051-RA
OG0000011	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA	Bany_05712-RA, Bany_13053-RA
OG0000012	DPOGS208243-PA, DPOGS208244-PA	Bany_10581-RA
OG0000012	DPOGS208245-PA	Bany_10586-RA, Bany_10587-RA
OG0000012	DPOGS208249-PA	Bany_10596-RA
OG0000012	DPOGS208247-PA	Bany_10592-RA
OG0000012	DPOGS208283-PA	Bany_10603-RA, Bany_10627-RA
OG0000012	DPOGS208258-PA	Bany_10607-RA
OG0000012	DPOGS208241-PA	Bany_10582-RA, Bany_10583-RA
OG0000012	DPOGS208261-PA	Bany_10615-RA
OG0000012	DPOGS208259-PA	Bany_10610-RA
OG0000012	DPOGS208260-PA	Bany_10611-RA, Bany_10612-RA
OG0000012	DPOGS208264-PA	Bany_10623-RA, Bany_10618-RA, Bany_10622-RA, Bany_10621-RA, Bany_10619-RA, Bany_10620-RA
OG0000013	DPOGS211040-PA	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA, Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA, Bany_07407-RA, Bany_16888-RA, Bany_16890-RA, Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA, Bany_11488-RA, Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA, Bany_08606-RA
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	Bany_16974-RA, Bany_04504-RA
OG0000020	DPOGS208960-PA	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA
OG0000022	DPOGS202417-PA	Bany_00839-RA
OG0000022	DPOGS200512-PA	Bany_16283-RA
OG0000022	DPOGS215440-PA	Bany_17573-RA
OG0000022	DPOGS213385-PA	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA
OG0000024	DPOGS200042-PA	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA, Bany_08738-RA, Bany_08737-RA, Bany_08736-RA
OG0000025	DPOGS206751-PA, DPOGS206755-PA	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000028	DPOGS205336-PA	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA
OG0000031	DPOGS212301-PA	Bany_03256-RA
OG0000031	DPOGS211828-PA	Bany_11193-RA
OG0000032	DPOGS200472-PA	Bany_00996-RA, Bany_08618-RA, Bany_04078-RA, Bany_12187-RA, Bany_05278-RA, Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA, Bany_17242-RA, Bany_16906-RA, Bany_09161-RA, Bany_13902-RA, Bany_08322-RA, Bany_12629-RA
OG0000034	DPOGS205642-PA	Bany_05845-RA
OG0000034	DPOGS205643-PA	Bany_05846-RA, Bany_05861-RA
OG0000034	DPOGS202647-PA	Bany_05253-RA
OG0000034	DPOGS202676-PA	Bany_05243-RA
OG0000034	DPOGS202644-PA	Bany_05248-RA
OG0000035	DPOGS204320-PA	Bany_01586-RA, Bany_17576-RA
OG0000035	DPOGS215450-PA	Bany_17488-RA
OG0000035	DPOGS209410-PA	Bany_03344-RA
OG0000036	DPOGS213885-PA	Bany_07167-RA, Bany_18121-RA, Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	DPOGS214966-PA	Bany_01919-RA, Bany_01918-RA
OG0000039	DPOGS201809-PA, DPOGS201793-PA, DPOGS201808-PA	Bany_01637-RA
OG0000039	DPOGS201794-PA, DPOGS201792-PA	Bany_01356-RA
OG0000041	DPOGS210496-PA	Bany_11570-RA
OG0000041	DPOGS206520-PA	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA
OG0000044	DPOGS209116-PA	Bany_01938-RA
OG0000044	DPOGS216008-PA	Bany_12753-RA
OG0000046	DPOGS209144-PA	Bany_15454-RA
OG0000046	DPOGS209146-PA	Bany_15455-RA
OG0000049	DPOGS201061-PA	Bany_06008-RA, Bany_05882-RA, Bany_05877-RA, Bany_06021-RA
OG0000050	DPOGS205333-PA	Bany_14321-RA
OG0000052	DPOGS210331-PA	Bany_00561-RA
OG0000053	DPOGS201540-PA	Bany_05073-RA
OG0000053	DPOGS201419-PA	Bany_05075-RA
OG0000053	DPOGS201423-PA	Bany_05076-RA
OG0000054	DPOGS201193-PA	Bany_08678-RA
OG0000054	DPOGS201177-PA	Bany_08681-RA, Bany_08727-RA
OG0000054	DPOGS201176-PA, DPOGS201175-PA	Bany_08680-RA
OG0000055	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA, DPOGS203178-PA	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000055	DPOGS213967-PA	Bany_12890-RA, Bany_05677-RA, Bany_04762-RA
OG0000056	DPOGS210281-PA	Bany_17818-RA
OG0000056	DPOGS206182-PA	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA
OG0000057	DPOGS209909-PA	Bany_11764-RA
OG0000057	DPOGS209884-PA	Bany_11763-RA
OG0000057	DPOGS209997-PA	Bany_10000-RA
OG0000058	DPOGS212355-PA	Bany_02266-RA
OG0000058	DPOGS215426-PA	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA
OG0000060	DPOGS208010-PA, DPOGS208061-PA	Bany_15282-RA
OG0000060	DPOGS200035-PA, DPOGS208060-PA	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA
OG0000061	DPOGS201160-PA	Bany_08018-RA, Bany_08020-RA, Bany_08022-RA, Bany_08021-RA, Bany_08019-RA
OG0000062	DPOGS202468-PA, DPOGS202469-PA	Bany_10506-RA
OG0000062	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA	Bany_06854-RA
OG0000062	DPOGS207201-PA	Bany_15127-RA
OG0000063	DPOGS201994-PA	Bany_06319-RA
OG0000063	DPOGS208887-PA	Bany_12190-RA
OG0000066	DPOGS210132-PA	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA
