Orthogroup	Bicyclus_anynana	Danaus_plexippus
OG0000000	Bany_04291-RA, Bany_00350-RA, Bany_05622-RA, Bany_10641-RA, Bany_06111-RA, Bany_12035-RA, Bany_10617-RA, Bany_10756-RA, Bany_12415-RA, Bany_02606-RA, Bany_10051-RA, Bany_12992-RA, Bany_04852-RA, Bany_05251-RA	DPOGS202646-PA
OG0000000	Bany_16096-RA	DPOGS210389-PA
OG0000000	Bany_13444-RA	DPOGS204561-PA
OG0000000	Bany_05506-RA, Bany_03267-RA, Bany_17740-RA, Bany_05667-RA	DPOGS216136-PA
OG0000000	Bany_08916-RA	DPOGS208590-PA
OG0000001	Bany_13515-RA	DPOGS205612-PA
OG0000001	Bany_07607-RA, Bany_13198-RA	DPOGS206033-PA
OG0000003	Bany_16601-RA	DPOGS208672-PA
OG0000004	Bany_02377-RA, Bany_01306-RA, Bany_02384-RA, Bany_02383-RA, Bany_02385-RA, Bany_02376-RA	DPOGS214685-PA
OG0000007	Bany_12085-RA	DPOGS202008-PA
OG0000007	Bany_05169-RA	DPOGS201926-PA
OG0000007	Bany_04365-RA	DPOGS209071-PA
OG0000007	Bany_17822-RA	DPOGS210283-PA
OG0000007	Bany_18091-RA	DPOGS204060-PA, DPOGS204061-PA
OG0000007	Bany_18092-RA	DPOGS204071-PA
OG0000007	Bany_03694-RA, Bany_12803-RA, Bany_12804-RA	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA
OG0000007	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA	DPOGS201328-PA
OG0000007	Bany_03693-RA, Bany_03690-RA	DPOGS201332-PA
OG0000007	Bany_17911-RA	DPOGS210278-PA
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA
OG0000009	Bany_06679-RA, Bany_06751-RA, Bany_06753-RA	DPOGS201056-PA
OG0000010	Bany_05761-RA, Bany_07419-RA, Bany_03810-RA, Bany_12832-RA, Bany_07420-RA, Bany_12791-RA	DPOGS213850-PA, DPOGS215023-PA
OG0000011	Bany_13339-RA	DPOGS205480-PA
OG0000011	Bany_13176-RA, Bany_13172-RA, Bany_13175-RA, Bany_13170-RA	DPOGS210883-PA
OG0000011	Bany_13051-RA	DPOGS208006-PA
OG0000011	Bany_05712-RA, Bany_13053-RA	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000012	Bany_10581-RA	DPOGS208243-PA, DPOGS208244-PA
OG0000012	Bany_10586-RA, Bany_10587-RA	DPOGS208245-PA
OG0000012	Bany_10596-RA	DPOGS208249-PA
OG0000012	Bany_10592-RA	DPOGS208247-PA
OG0000012	Bany_10603-RA, Bany_10627-RA	DPOGS208283-PA
OG0000012	Bany_10607-RA	DPOGS208258-PA
OG0000012	Bany_10582-RA, Bany_10583-RA	DPOGS208241-PA
OG0000012	Bany_10615-RA	DPOGS208261-PA
OG0000012	Bany_10610-RA	DPOGS208259-PA
OG0000012	Bany_10611-RA, Bany_10612-RA	DPOGS208260-PA
OG0000012	Bany_10623-RA, Bany_10618-RA, Bany_10622-RA, Bany_10621-RA, Bany_10619-RA, Bany_10620-RA	DPOGS208264-PA
OG0000013	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA, Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA, Bany_07407-RA, Bany_16888-RA, Bany_16890-RA, Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA, Bany_11488-RA, Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA, Bany_08606-RA	DPOGS211040-PA
OG0000018	Bany_16974-RA, Bany_04504-RA	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	Bany_12772-RA, Bany_17011-RA, Bany_12664-RA, Bany_12667-RA	DPOGS208960-PA
OG0000022	Bany_00839-RA	DPOGS202417-PA
OG0000022	Bany_16283-RA	DPOGS200512-PA
OG0000022	Bany_17573-RA	DPOGS215440-PA
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	DPOGS213385-PA
OG0000024	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA, Bany_08738-RA, Bany_08737-RA, Bany_08736-RA	DPOGS200042-PA
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	DPOGS206751-PA, DPOGS206755-PA
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
